Year,Series,Land der Staatsangehörigkeit,Geschlecht,Units,GeoCode,Value
2023,Alle Länder,Andorra,ingesamt,Anzahl,W123,
2023,Alle Länder,Liechtenstein,ingesamt,Anzahl,W141,
2023,Alle Länder,Monaco,ingesamt,Anzahl,W147,
2023,Alle Länder,San Marino,ingesamt,Anzahl,W156,
2023,Alle Länder,Vatikanstadt,ingesamt,Anzahl,W167,
2023,Alle Länder,Britisch abhängige Gebiete in Europa,ingesamt,Anzahl,W195,
2023,Alle Länder,Lesotho,ingesamt,Anzahl,W226,
2023,Alle Länder,Botsuana,ingesamt,Anzahl,W227,
2023,Alle Länder,Dschibuti,ingesamt,Anzahl,W230,
2023,Alle Länder,Simbabwe,ingesamt,Anzahl,W233,
2023,Alle Länder,Gabun,ingesamt,Anzahl,W236,
2023,Alle Länder,Mauretanien,ingesamt,Anzahl,W239,
2023,Alle Länder,Kap Verde,ingesamt,Anzahl,W242,
2023,Alle Länder,Komoren,ingesamt,Anzahl,W244,
2023,Alle Länder,Kongo,ingesamt,Anzahl,W245,
2023,Alle Länder,Libysch-Arabische Dschamahirija,ingesamt,Anzahl,W248,
2023,Alle Länder,Madagaskar,ingesamt,Anzahl,W249,
2023,Alle Länder,Mali,ingesamt,Anzahl,W251,
2023,Alle Länder,Mauritius,ingesamt,Anzahl,W253,
2023,Alle Länder,Mosambik,ingesamt,Anzahl,W254,
2023,Alle Länder,Niger,ingesamt,Anzahl,W255,
2023,Alle Länder,Malawi,ingesamt,Anzahl,W256,
2023,Alle Länder,Sambia,ingesamt,Anzahl,W257,
2023,Alle Länder,Guinea-Bissau,ingesamt,Anzahl,W259,
2023,Alle Länder,Guinea,ingesamt,Anzahl,W261,
2023,Alle Länder,Ruanda,ingesamt,Anzahl,W265,
2023,Alle Länder,Namibia,ingesamt,Anzahl,W267,
2023,Alle Länder,Sao Tome und Principe,ingesamt,Anzahl,W268,
2023,Alle Länder,Seychellen,ingesamt,Anzahl,W271,
2023,Alle Länder,Äquatorialguinea,ingesamt,Anzahl,W274,
2023,Alle Länder,Swasiland,ingesamt,Anzahl,W281,
2023,Alle Länder,"Tansania, Vereinigte Republik",ingesamt,Anzahl,W282,
2023,Alle Länder,Tschad,ingesamt,Anzahl,W284,
2023,Alle Länder,Uganda,ingesamt,Anzahl,W286,
2023,Alle Länder,Zentralafrikanische Republik,ingesamt,Anzahl,W289,
2023,Alle Länder,Burundi,ingesamt,Anzahl,W291,
2023,Alle Länder,Antigua und Barbuda,ingesamt,Anzahl,W320,
2023,Alle Länder,Barbados,ingesamt,Anzahl,W322,
