Year,Gebietseinheit,Migrationserfahrung,Nationalität,Units,GeoCode,Value
2019,Ostniedersachsen,Insgesamt,,in 1000,RA_01,250.75677
2019,Südniedersachsen,Insgesamt,,in 1000,RA_02,101.77858
2019,Statistische Region Braunschweig,Insgesamt,,in 1000,,352.53535
2019,Region Hannover,Insgesamt,,in 1000,,346.35474
2019,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,196.98925
2019,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,149.36549
2019,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,114.29242
2019,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,96.04549
2019,Statistische Region Hannover,Insgesamt,,in 1000,,556.69266
2019,Nordniedersachsen,Insgesamt,,in 1000,RA_07,160.80331
2019,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,140.94448
2019,Statistische Region Lüneburg,Insgesamt,,in 1000,,301.74779
2019,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,108.68543
2019,Oldenburger Raum,Insgesamt,,in 1000,RA_10,145.1859
2019,Westniedersachsen,Insgesamt,,in 1000,RA_11,285.94455
2019,Statistische Region Weser-Ems,Insgesamt,,in 1000,,539.81588
2019,Niedersachsen,Insgesamt,,in 1000,,1750.79168
2018,Ostniedersachsen,Insgesamt,,in 1000,RA_01,240.96864
2018,Südniedersachsen,Insgesamt,,in 1000,RA_02,104.25395
2018,Statistische Region Braunschweig,Insgesamt,,in 1000,,345.22259
2018,Region Hannover,Insgesamt,,in 1000,,347.46348
2018,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,201.69758
2018,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,145.7659
2018,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,109.69589
2018,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,88.36305
2018,Statistische Region Hannover,Insgesamt,,in 1000,,545.52242
2018,Nordniedersachsen,Insgesamt,,in 1000,RA_07,162.11319
2018,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,132.56028
2018,Statistische Region Lüneburg,Insgesamt,,in 1000,,294.67346
2018,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,113.85846
2018,Oldenburger Raum,Insgesamt,,in 1000,RA_10,140.72148
2018,Westniedersachsen,Insgesamt,,in 1000,RA_11,286.10808
2018,Statistische Region Weser-Ems,Insgesamt,,in 1000,,540.68801
2018,Niedersachsen,Insgesamt,,in 1000,,1726.10649
2017,Ostniedersachsen,Insgesamt,,in 1000,RA_01,225.74771
2017,Südniedersachsen,Insgesamt,,in 1000,RA_02,104.77552
2017,Statistische Region Braunschweig,Insgesamt,,in 1000,,330.52323
2017,Region Hannover,Insgesamt,,in 1000,,334.01411
2017,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,186.12622
2017,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,147.88789
2017,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,109.20584
2017,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,85.91696
2017,Statistische Region Hannover,Insgesamt,,in 1000,,529.1369
2017,Nordniedersachsen,Insgesamt,,in 1000,RA_07,159.17363
2017,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,127.7609
2017,Statistische Region Lüneburg,Insgesamt,,in 1000,,286.93453
2017,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,98.97151
2017,Oldenburger Raum,Insgesamt,,in 1000,RA_10,139.13223
2017,Westniedersachsen,Insgesamt,,in 1000,RA_11,271.25652
2017,Statistische Region Weser-Ems,Insgesamt,,in 1000,,509.36025
2017,Niedersachsen,Insgesamt,,in 1000,,1655.95492
2016,Ostniedersachsen,Insgesamt,,in 1000,RA_01,215.38432
2016,Südniedersachsen,Insgesamt,,in 1000,RA_02,107.61361
2016,Statistische Region Braunschweig,Insgesamt,,in 1000,,322.99793
2016,Region Hannover,Insgesamt,,in 1000,,317.75385
2016,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,176.5861
2016,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,141.16775
2016,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,88.76134
2016,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,76.68262
2016,Statistische Region Hannover,Insgesamt,,in 1000,,483.19781
2016,Nordniedersachsen,Insgesamt,,in 1000,RA_07,138.45965
2016,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,128.46983
2016,Statistische Region Lüneburg,Insgesamt,,in 1000,,266.92948
2016,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,80.18923
2016,Oldenburger Raum,Insgesamt,,in 1000,RA_10,128.41272
2016,Westniedersachsen,Insgesamt,,in 1000,RA_11,275.44878
2016,Statistische Region Weser-Ems,Insgesamt,,in 1000,,484.05073
2016,Niedersachsen,Insgesamt,,in 1000,,1557.17594
2015,Ostniedersachsen,Insgesamt,,in 1000,RA_01,212.90098
2015,Südniedersachsen,Insgesamt,,in 1000,RA_02,71.73081
2015,Statistische Region Braunschweig,Insgesamt,,in 1000,,284.63179
2015,Region Hannover,Insgesamt,,in 1000,,290.07814
2015,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,167.13982
2015,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,122.93831
2015,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,74.92737
2015,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,73.36536
