Year,Herkunftsland,Geschlecht,Units,COMMENT_OBS,Value
2023,Europa,Insgesamt,in 1000,,3.0
2023,Bulgarien,Insgesamt,in 1000,,1206.0
2023,Italien,Insgesamt,in 1000,,32.0
2023,Kroatien,Insgesamt,in 1000,,41.0
2023,Polen,Insgesamt,in 1000,,14.0
2023,Rumänien,Insgesamt,in 1000,,257.0
2023,Spanien,Insgesamt,in 1000,,51.0
2023,Sonstiges Europa,Insgesamt,in 1000,,19.0
2023,Kosovo,Insgesamt,in 1000,,630.0
2023,Russische Förderation,Insgesamt,in 1000,,39.0
2023,Serbien,Insgesamt,in 1000,,165.0
2023,Türkei,Insgesamt,in 1000,,23.0
2023,Ukraine,Insgesamt,in 1000,,194.0
2023,EU-27,Insgesamt,in 1000,,112.0
2023,Afrika,Insgesamt,in 1000,,576.0
2023,Marokko,Insgesamt,in 1000,,89.0
2023,Amerika,Insgesamt,in 1000,,9.0
2023,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,43.0
2023,Afghanistan,Insgesamt,in 1000,,598.0
2023,Irak,Insgesamt,in 1000,,43.0
2023,Kasachstan,Insgesamt,in 1000,,60.0
2023,Syrien,Insgesamt,in 1000,,171.0
2023,Vietnam,Insgesamt,in 1000,,134.0
2023,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,16.0
2023,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Insgesamt,in 1000,,138.0
2023,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Insgesamt,in 1000,,112.0
2023,Insgesamt  ,Insgesamt,in 1000,,533.0
2022,Europa,Insgesamt,in 1000,,2074.0
2022,Bulgarien,Insgesamt,in 1000,,1165.0
2022,Italien,Insgesamt,in 1000,,32.0
2022,Kroatien,Insgesamt,in 1000,,40.0
2022,Polen,Insgesamt,in 1000,,13.0
2022,Rumänien,Insgesamt,in 1000,,246.0
2022,Spanien,Insgesamt,in 1000,,59.0
2022,Sonstiges Europa,Insgesamt,in 1000,,17.0
2022,Kosovo,Insgesamt,in 1000,,593.0
2022,Russische Förderation,Insgesamt,in 1000,,49.0
2022,Serbien,Insgesamt,in 1000,,180.0
2022,Türkei,Insgesamt,in 1000,,31.0
2022,Ukraine,Insgesamt,in 1000,,197.0
2022,EU-27,Insgesamt,in 1000,,46.0
2022,Afrika,Insgesamt,in 1000,,571.0
2022,Marokko,Insgesamt,in 1000,,81.0
2022,Amerika,Insgesamt,in 1000,,7.0
2022,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,40.0
2022,Afghanistan,Insgesamt,in 1000,,581.0
2022,Irak,Insgesamt,in 1000,,39.0
2022,Kasachstan,Insgesamt,in 1000,,57.0
2022,Syrien,Insgesamt,in 1000,,176.0
2022,Vietnam,Insgesamt,in 1000,,132.0
2022,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,20.0
2022,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Insgesamt,in 1000,,145.0
2022,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Insgesamt,in 1000,,128.0
2022,Insgesamt  ,Insgesamt,in 1000,,478.0
2021,Europa ,Insgesamt,in 1000,,2012.0
2021,Bulgarien,Insgesamt,in 1000,,1126.0
2021,talien ,Insgesamt,in 1000,,25.0
2021,Kroatien,Insgesamt,in 1000,,45.0
2021,Polen ,Insgesamt,in 1000,,13.0
2021,Rumänien ,Insgesamt,in 1000,,242.0
2021,Spanien,Insgesamt,in 1000,,64.0
2021,Sonstiges Europa ,Insgesamt,in 1000,,19.0
2021,Kosovo,Insgesamt,in 1000,,560.0
2021,Russische Föderation ,Insgesamt,in 1000,,52.0
2021,Serbien,Insgesamt,in 1000,,183.0
2021,Türkei ,Insgesamt,in 1000,,19.0
2021,EU-27  ,Insgesamt,in 1000,,193.0
2021,Afrika ,Insgesamt,in 1000,,566.0
2021,Marokko,Insgesamt,in 1000,,67.0
2021,Amerika ,Insgesamt,in 1000,"Aussagewert eingeschränkt, da der Zahlenwert statistisch relativ unsicher ist.",7.0
2021,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,35.0
2021,Afghanistan,Insgesamt,in 1000,,547.0
2021,Irak,Insgesamt,in 1000,,35.0
2021,Kasachstan,Insgesamt,in 1000,,55.0
2021,Syrien,Insgesamt,in 1000,,171.0
2021,Vietnam,Insgesamt,in 1000,,116.0
2021,"Ohne Angabe, unbestimmt ",Insgesamt,in 1000,,21.0
2021,Gebiet des ehemaligen Jugoslawien  (nachrichtlich),Insgesamt,in 1000,,152.0
2021,Gebiet der ehemaligen Sowjetunion  (nachrichtlich),Insgesamt,in 1000,,120.0
2021,Insgesamt,Insgesamt,in 1000,,452.0
2019,Europa ,Insgesamt,in 1000,,1926.0
2019,Bulgarien ,Insgesamt,in 1000,,1069.568
2019,Frankreich ,Insgesamt,in 1000,,23.99
2019,Griechenland ,Insgesamt,in 1000,,7.889
2019,Italien ,Insgesamt,in 1000,,24.66
2019,Kroatien ,Insgesamt,in 1000,,37.345
2019,Niederlande ,Insgesamt,in 1000,,16.246
2019,Österreich ,Insgesamt,in 1000,,41.393
2019,Polen ,Insgesamt,in 1000,,13.145
2019,Portugal ,Insgesamt,in 1000,,245.253
2019,Rumänien ,Insgesamt,in 1000,,6.647
2019,Spanien ,Insgesamt,in 1000,,44.097
2019,Vereinigtes Königreich ,Insgesamt,in 1000,,17.314
2019,Sonstiges Europa ,Insgesamt,in 1000,,19.812
2019,Bosnien und Herzegowina ,Insgesamt,in 1000,,522.297
2019,Kosovo ,Insgesamt,in 1000,,16.424
2019,Russische Föderation ,Insgesamt,in 1000,,44.127
2019,Serbien ,Insgesamt,in 1000,,179.209
2019,Türkei ,Insgesamt,in 1000,,20.809
2019,Ukraine ,Insgesamt,in 1000,,186.631
2019,EU-Staaten,Insgesamt,in 1000,,27.589
2019,Afrika ,Insgesamt,in 1000,,547.271
2019,Marokko ,Insgesamt,in 1000,,54.087
2019,"Ägypten, Algerien, Libyen, Tunesien ",Insgesamt,in 1000,,6.678
2019,Amerika ,Insgesamt,in 1000,,13.024
2019,"Asien, Australien und Ozeanien ",Insgesamt,in 1000,,35.924
2019,Irak ,Insgesamt,in 1000,,468.1
2019,Iran ,Insgesamt,in 1000,,38.106
2019,Kasachstan ,Insgesamt,in 1000,,20.597
2019,Syrien ,Insgesamt,in 1000,,152.543
2019,Afghanistan ,Insgesamt,in 1000,,94.406
2019,Vietnam ,Insgesamt,in 1000,,25.153
2019,Ohne Angabe,Insgesamt,in 1000,,18.516
2019,Insgesamt,Insgesamt,in 1000,,50.156
2018,Europa,Insgesamt,in 1000,,1750.792
2018,Bulgarien,Insgesamt,in 1000,,1062.0
2018,Griechenland,Insgesamt,in 1000,,20.0
2018,Italien,Insgesamt,in 1000,,23.0
2018,Niederlande,Insgesamt,in 1000,,39.0
2018,Polen,Insgesamt,in 1000,,48.0
2018,Rumänien,Insgesamt,in 1000,,255.0
2018,Spanien,Insgesamt,in 1000,,41.0
2018,Vereinigtes Königreich,Insgesamt,in 1000,,18.0
2018,Kosovo,Insgesamt,in 1000,,17.0
2018,Russische Föderation,Insgesamt,in 1000,,41.0
2018,Serbien,Insgesamt,in 1000,,178.0
2018,Türkei,Insgesamt,in 1000,,19.0
2018,Ukraine,Insgesamt,in 1000,,182.0
2018,EU-Staaten,Insgesamt,in 1000,,29.0
2018,Afrika,Insgesamt,in 1000,,560.0
2018,"Ägypten, Algerien, Libyen, Tunesien",Insgesamt,in 1000,,49.0
2018,Amerika,Insgesamt,in 1000,,14.0
