Year,Wanderungsherkunft,Units,Value
2006,Europa insgesamt,Anzahl,54445.0
2006,Bulgarien,Anzahl,373.0
2006,Griechenland,Anzahl,649.0
2006,Italien,Anzahl,1002.0
2006,"Moldau, Republik",Anzahl,76.0
2006,Niederlande,Anzahl,3186.0
2006,Polen,Anzahl,27269.0
2006,Rumänien,Anzahl,997.0
2006,Russische Föderation,Anzahl,7036.0
2006,Serbien,Anzahl,
2006,Spanien,Anzahl,1230.0
2006,Türkei,Anzahl,1740.0
2006,Ukraine,Anzahl,780.0
2006,Ungarn,Anzahl,2075.0
2006,EU Staaten (ab 2021 ohne GB),Anzahl,42960.0
2006,Afrika insgesamt,Anzahl,1727.0
2006,Amerika insgesamt,Anzahl,3625.0
2006,Asien insgesamt,Anzahl,7027.0
2006,Afghanistan,Anzahl,37.0
2006,Indien,Anzahl,407.0
2006,Irak,Anzahl,239.0
2006,Kasachstan,Anzahl,1874.0
2006,Libanon,Anzahl,360.0
2006,"Syrien, Arabische Republik",Anzahl,185.0
2006,Australien und Ozeanien,Anzahl,306.0
2006,Sonstige Ziele,Anzahl,2356.0
2006,ohne Angabe,Anzahl,19.0
2006,Insgesamt,Anzahl,69486.0
2007,Europa insgesamt,Anzahl,55712.0
2007,Bulgarien,Anzahl,1145.0
2007,Griechenland,Anzahl,584.0
2007,Italien,Anzahl,944.0
2007,"Moldau, Republik",Anzahl,62.0
2007,Niederlande,Anzahl,3244.0
2007,Polen,Anzahl,27559.0
2007,Rumänien,Anzahl,2956.0
2007,Russische Föderation,Anzahl,5131.0
2007,Serbien,Anzahl,
2007,Spanien,Anzahl,1306.0
2007,Türkei,Anzahl,1686.0
2007,Ukraine,Anzahl,740.0
2007,Ungarn,Anzahl,2527.0
2007,EU Staaten (ab 2021 ohne GB),Anzahl,46319.0
2007,Afrika insgesamt,Anzahl,1771.0
2007,Amerika insgesamt,Anzahl,3802.0
2007,Asien insgesamt,Anzahl,6787.0
2007,Afghanistan,Anzahl,44.0
2007,Indien,Anzahl,490.0
2007,Irak,Anzahl,383.0
2007,Kasachstan,Anzahl,1488.0
2007,Libanon,Anzahl,301.0
2007,"Syrien, Arabische Republik",Anzahl,176.0
2007,Australien und Ozeanien,Anzahl,336.0
2007,Sonstige Ziele,Anzahl,2346.0
2007,ohne Angabe,Anzahl,15.0
2007,Insgesamt,Anzahl,70754.0
2008,Europa insgesamt,Anzahl,53002.0
2008,Bulgarien,Anzahl,2099.0
2008,Griechenland,Anzahl,604.0
2008,Italien,Anzahl,1117.0
2008,"Moldau, Republik",Anzahl,67.0
2008,Niederlande,Anzahl,3144.0
2008,Polen,Anzahl,23436.0
2008,Rumänien,Anzahl,4045.0
2008,Russische Föderation,Anzahl,3925.0
2008,Serbien,Anzahl,241.0
2008,Spanien,Anzahl,1346.0
2008,Türkei,Anzahl,1605.0
2008,Ukraine,Anzahl,704.0
2008,Ungarn,Anzahl,2857.0
2008,EU Staaten (ab 2021 ohne GB),Anzahl,44666.0
2008,Afrika insgesamt,Anzahl,1686.0
2008,Amerika insgesamt,Anzahl,4193.0
2008,Asien insgesamt,Anzahl,7136.0
2008,Afghanistan,Anzahl,94.0
2008,Indien,Anzahl,573.0
2008,Irak,Anzahl,556.0
2008,Kasachstan,Anzahl,1238.0
2008,Libanon,Anzahl,302.0
2008,"Syrien, Arabische Republik",Anzahl,231.0
2008,Australien und Ozeanien,Anzahl,374.0
2008,Sonstige Ziele,Anzahl,2673.0
2008,ohne Angabe,Anzahl,15.0
2008,Insgesamt,Anzahl,69064.0
2009,Europa insgesamt,Anzahl,54452.0
2009,Bulgarien,Anzahl,2340.0
2009,Griechenland,Anzahl,600.0
2009,Italien,Anzahl,1206.0
2009,"Moldau, Republik",Anzahl,70.0
2009,Niederlande,Anzahl,2314.0
2009,Polen,Anzahl,23094.0
2009,Rumänien,Anzahl,6198.0
2009,Russische Föderation,Anzahl,3284.0
2009,Serbien,Anzahl,384.0
2009,Spanien,Anzahl,1470.0
2009,Türkei,Anzahl,1636.0
2009,Ukraine,Anzahl,681.0
2009,Ungarn,Anzahl,2688.0
2009,EU Staaten (ab 2021 ohne GB),Anzahl,46797.0
2009,Afrika insgesamt,Anzahl,1732.0
2009,Amerika insgesamt,Anzahl,4205.0
2009,Asien insgesamt,Anzahl,9945.0
2009,Afghanistan,Anzahl,287.0
2009,Indien,Anzahl,547.0
2009,Irak,Anzahl,2830.0
2009,Kasachstan,Anzahl,1023.0
2009,Libanon,Anzahl,291.0
2009,"Syrien, Arabische Republik",Anzahl,333.0
2009,Australien und Ozeanien,Anzahl,398.0
2009,Sonstige Ziele,Anzahl,3193.0
2009,ohne Angabe,Anzahl,51.0
2009,Insgesamt,Anzahl,73925.0
2010,Europa insgesamt,Anzahl,58101.0
2010,Bulgarien,Anzahl,3287.0
2010,Griechenland,Anzahl,757.0
