Year,Wanderungsziel,Value
2008,Europa insgesamt,52345.0
2008,Bulgarien,1232.0
2008,Griechenland,1049.0
2008,Italien,1359.0
2008,"Moldau, Republik",31.0
2008,Niederlande,1676.0
2008,Österreich,1127.0
2008,Polen,23944.0
2008,Rumänien,3399.0
2008,Russische Föderation,1646.0
2008,Schweiz,1828.0
2008,Serbien,193.0
2008,Spanien,
2008,Türkei,2159.0
2008,Ukraine,451.0
2008,Ungarn,2415.0
2008,"Vereinigtes Königreich, No",1434.0
2008,EU Staaten,44373.0
2008,Afrika insgesamt,1598.0
2008,Amerika insgesamt,5228.0
2008,Vereinigte Staaten,1972.0
2008,Asien insgesamt,5596.0
2008,China,1235.0
2008,Australien und Ozeanien,608.0
2008,Sonstige Ziele,2739.0
2008,unbekanntes Ausland,225.0
2008,ohne Angabe,8.0
2008,Insgesamt,68114.0
2009,Europa insgesamt,51736.0
2009,Bulgarien,1841.0
2009,Griechenland,954.0
2009,Italien,1320.0
2009,"Moldau, Republik",38.0
2009,Niederlande,1647.0
2009,Österreich,1025.0
2009,Polen,22459.0
2009,Rumänien,5282.0
2009,Russische Föderation,1189.0
2009,Schweiz,1510.0
2009,Serbien,717.0
2009,Spanien,1486.0
2009,Türkei,2076.0
2009,Ukraine,293.0
2009,Ungarn,2632.0
2009,"Vereinigtes Königreich, No",1435.0
2009,EU Staaten,44947.0
2009,Afrika insgesamt,1348.0
2009,Amerika insgesamt,4375.0
2009,Vereinigte Staaten,1844.0
2009,Asien insgesamt,5258.0
2009,China,1033.0
2009,Australien und Ozeanien,562.0
2009,Sonstige Ziele,3003.0
2009,unbekanntes Ausland,121.0
2009,ohne Angabe,19.0
2009,Insgesamt,66282.0
2010,Europa insgesamt,48102.0
2010,Bulgarien,2242.0
2010,Griechenland,698.0
2010,Italien,1232.0
2010,"Moldau, Republik",29.0
2010,Niederlande,1520.0
2010,Österreich,859.0
2010,Polen,20217.0
2010,Rumänien,6223.0
2010,Russische Föderation,1061.0
2010,Schweiz,1285.0
