Year,Gebietseinheit,Geschlecht,Aufenthaltsstatus,Units,GeoCode,Value
2020,Braunschweig  Stadt,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03101,29.8192771084337
2020,Braunschweig  Stadt,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03101,32.2996515679442
2020,Braunschweig  Stadt,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03101,30.9693053311793
2020,Salzgitter  Stadt,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03102,33.2585278276481
2020,Salzgitter  Stadt,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03102,29.5489891135303
2020,Salzgitter  Stadt,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03102,31.5371662256435
2020,Wolfsburg  Stadt,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03103,49.1075514874142
2020,Wolfsburg  Stadt,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03103,47.2698072805139
2020,Wolfsburg  Stadt,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03103,48.260547742413
2020,Gifhorn,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03151,40.1882693700217
2020,Gifhorn,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03151,36.6942148760331
2020,Gifhorn,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03151,38.5565418757237
2020,Goslar,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03153,31.2982005141388
2020,Goslar,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03153,31.6790736145575
2020,Goslar,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03153,31.4533622559653
2020,Helmstedt,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03154,46.2887989203779
2020,Helmstedt,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03154,43.0441898527005
2020,Helmstedt,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03154,44.8224852071006
2020,Northeim,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03155,36.6153846153846
2020,Northeim,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03155,35.6257046223224
2020,Northeim,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03155,36.1439312567132
2020,Peine,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03157,37.2533543804262
2020,Peine,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03157,33.8352524357839
2020,Peine,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03157,35.6695869837297
2020,Wolfenbüttel,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03158,33.8882282996433
2020,Wolfenbüttel,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03158,31.6005471956224
2020,Wolfenbüttel,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03158,32.824427480916
2020,Göttingen,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03159,32.2192110809997
2020,Göttingen,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03159,32.3435504469987
2020,Göttingen,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03159,32.295056562839
2020,Statistische Region Braunschweig,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K031,35.7788380578165
2020,Statistische Region Braunschweig,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K031,34.7499518520896
2020,Statistische Region Braunschweig,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K031,35.298873981792
2020,Hannover  Region,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03241,36.0336477185827
2020,Hannover  Region,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03241,35.4623287671233
2020,Hannover  Region,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03241,35.7641039450653
2020,Diepholz,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03251,49.9269361909401
2020,Diepholz,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03251,45.2354874041621
2020,Diepholz,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03251,47.7184841453983
2020,Hameln-Pyrmont,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03252,35.8438702583837
2020,Hameln-Pyrmont,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03252,33.2337118947998
2020,Hameln-Pyrmont,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03252,34.5647193585338
2020,Hildesheim,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03254,35.2235550708833
2020,Hildesheim,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03254,34.9617672047579
2020,Hildesheim,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03254,35.1028403525955
2020,Holzminden,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03255,24.4813278008299
2020,Holzminden,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03255,24.3373493975904
2020,Holzminden,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03255,24.3875278396437
2020,Nienburg (Weser),männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03256,42.9571303587052
2020,Nienburg (Weser),weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03256,34.2621259029928
2020,Nienburg (Weser),insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03256,38.967803030303
2020,Schaumburg,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03257,41.5355569540592
2020,Schaumburg,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03257,36.0968451944241
2020,Schaumburg,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03257,39.0376143680108
2020,Statistische Region Hannover,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K032,37.2911856580198
2020,Statistische Region Hannover,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K032,35.7695252679939
2020,Statistische Region Hannover,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K032,36.5759735118405
2020,Celle,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03351,40.8163265306122
2020,Celle,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03351,37.3601789709172
2020,Celle,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03351,39.1958041958042
2020,Cuxhaven,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03352,48.8485694347523
2020,Cuxhaven,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03352,47.4779823859087
2020,Cuxhaven,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03352,48.1730052199851
2020,Harburg,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03353,45.1945080091533
2020,Harburg,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03353,48.2506527415144
2020,Harburg,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03353,46.4624201013886
2020,Lüchow-Dannenberg,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03354,52.5641025641026
2020,Lüchow-Dannenberg,weiblich,mit Freizügigkeit nach EU-Recht,Prozent,K03354,47.0149253731343
2020,Lüchow-Dannenberg,insgesamt,mit Freizügigkeit nach EU-Recht,Prozent,K03354,50.0
2020,Lüneburg,männlich,mit Freizügigkeit nach EU-Recht,Prozent,K03355,33.7070777855641
