Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2024) zu 2005,"Braunschweig, Stadt",K03101,768
Veränderung aktuelles Jahr (2024) zu 2005,"Salzgitter, Stadt",K03102,177
Veränderung aktuelles Jahr (2024) zu 2005,"Wolfsburg, Stadt",K03103,373
Veränderung aktuelles Jahr (2024) zu 2005,Gifhorn,K03151,35
Veränderung aktuelles Jahr (2024) zu 2005,Goslar,K03153,477
Veränderung aktuelles Jahr (2024) zu 2005,Helmstedt,K03154,40
Veränderung aktuelles Jahr (2024) zu 2005,Northeim,K03155,237
Veränderung aktuelles Jahr (2024) zu 2005,Peine,K03157,-8
Veränderung aktuelles Jahr (2024) zu 2005,Wolfenbüttel,K03158,123
Veränderung aktuelles Jahr (2024) zu 2005,Göttingen,K03159,404
Veränderung aktuelles Jahr (2024) zu 2005,Statistische Region Braunschweig,K031,2626
Veränderung aktuelles Jahr (2024) zu 2005,Region Hannover,K03241,1517
Veränderung aktuelles Jahr (2024) zu 2005,"dav. Hannover, Lhst.",K03241999,335
Veränderung aktuelles Jahr (2024) zu 2005,"dav. Hannover, Umland",K03241999,1182
Veränderung aktuelles Jahr (2024) zu 2005,Diepholz,K03251,87
Veränderung aktuelles Jahr (2024) zu 2005,Hameln-Pyrmont,K03252,-74
Veränderung aktuelles Jahr (2024) zu 2005,Hildesheim,K03254,319
Veränderung aktuelles Jahr (2024) zu 2005,Holzminden,K03255,90
Veränderung aktuelles Jahr (2024) zu 2005,Nienburg (Weser),K03256,174
Veränderung aktuelles Jahr (2024) zu 2005,Schaumburg,K03257,357
Veränderung aktuelles Jahr (2024) zu 2005,Statistische Region Hannover,K032,2470
Veränderung aktuelles Jahr (2024) zu 2005,Celle,K03351,168
Veränderung aktuelles Jahr (2024) zu 2005,Cuxhaven,K03352,174
Veränderung aktuelles Jahr (2024) zu 2005,Harburg,K03353,580
Veränderung aktuelles Jahr (2024) zu 2005,Lüchow-Dannenberg,K03354,80
Veränderung aktuelles Jahr (2024) zu 2005,Lüneburg,K03355,317
Veränderung aktuelles Jahr (2024) zu 2005,Osterholz,K03356,226
Veränderung aktuelles Jahr (2024) zu 2005,Rotenburg (Wümme),K03357,293
Veränderung aktuelles Jahr (2024) zu 2005,Heidekreis,K03358,333
Veränderung aktuelles Jahr (2024) zu 2005,Stade,K03359,418
Veränderung aktuelles Jahr (2024) zu 2005,Uelzen,K03360,177
Veränderung aktuelles Jahr (2024) zu 2005,Verden,K03361,-8
Veränderung aktuelles Jahr (2024) zu 2005,Statistische Region Lüneburg,K033,2758
Veränderung aktuelles Jahr (2024) zu 2005,"Delmenhorst, Stadt",K03401,125
Veränderung aktuelles Jahr (2024) zu 2005,"Emden, Stadt",K03402,143
Veränderung aktuelles Jahr (2024) zu 2005,"Oldenburg (Oldb), Stadt",K03403,822
Veränderung aktuelles Jahr (2024) zu 2005,"Osnabrück, Stadt",K03404,410
Veränderung aktuelles Jahr (2024) zu 2005,"Wilhelmshaven, Stadt",K03405,-1
Veränderung aktuelles Jahr (2024) zu 2005,Ammerland,K03451,243
Veränderung aktuelles Jahr (2024) zu 2005,Aurich,K03452,438
Veränderung aktuelles Jahr (2024) zu 2005,Cloppenburg,K03453,193
