Year,Gebietseinheit,Kategorie,Units,GeoCode,Value
2010,Braunschweig  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03101,0.126171810645847
2010,Salzgitter  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03102,0.117194366857433
2010,Wolfsburg  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03103,0.159735201850952
2010,Gifhorn,Anteil an allen Einwohnerinnen und Einwohnern,%,K03151,0.0521306974508089
2010,Goslar,Anteil an allen Einwohnerinnen und Einwohnern,%,K03153,0.0943963528046205
2010,Helmstedt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03154,0.0527812486535396
2010,Northeim,Anteil an allen Einwohnerinnen und Einwohnern,%,K03155,0.0503379836041996
2010,Peine,Anteil an allen Einwohnerinnen und Einwohnern,%,K03157,0.0905073736889741
2010,Wolfenbüttel,Anteil an allen Einwohnerinnen und Einwohnern,%,K03158,0.0630940675188463
2010,Göttingen,Anteil an allen Einwohnerinnen und Einwohnern,%,K03159,0.054404052655988
2010,Statistische Region Braunschweig,Anteil an allen Einwohnerinnen und Einwohnern,%,K031,0.0839459440314807
2010,Hannover  Region,Anteil an allen Einwohnerinnen und Einwohnern,%,K03241,0.164822061070725
2010,dav. Hannover  Lhst.,Anteil an allen Einwohnerinnen und Einwohnern,%,K03241001,0.244123622978232
2010,dav. Hannover  Umland,Anteil an allen Einwohnerinnen und Einwohnern,%,K03241999,0.0968095510005841
2010,Diepholz,Anteil an allen Einwohnerinnen und Einwohnern,%,K03251,0.0669607319791345
2010,Hameln-Pyrmont,Anteil an allen Einwohnerinnen und Einwohnern,%,K03252,0.0603562968491417
2010,Hildesheim,Anteil an allen Einwohnerinnen und Einwohnern,%,K03254,0.086616511581865
2010,Holzminden,Anteil an allen Einwohnerinnen und Einwohnern,%,K03255,0.0491534680502458
2010,Nienburg (Weser),Anteil an allen Einwohnerinnen und Einwohnern,%,K03256,0.108014336448292
2010,Schaumburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03257,0.0771931572001295
2010,Statistische Region Hannover,Anteil an allen Einwohnerinnen und Einwohnern,%,K032,0.123392080556934
2010,Celle,Anteil an allen Einwohnerinnen und Einwohnern,%,K03351,0.0761785266176734
2010,Cuxhaven,Anteil an allen Einwohnerinnen und Einwohnern,%,K03352,0.0568680660866789
2010,Harburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03353,0.0838504787983862
2010,Lüchow-Dannenberg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03354,0.0121919005140918
2010,Lüneburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03355,0.0970222079321296
2010,Osterholz,Anteil an allen Einwohnerinnen und Einwohnern,%,K03356,0.0598877328470807
2010,Rotenburg (Wümme),Anteil an allen Einwohnerinnen und Einwohnern,%,K03357,0.0628585377761504
2010,Heidekreis,Anteil an allen Einwohnerinnen und Einwohnern,%,K03358,0.0572942777340113
2010,Stade,Anteil an allen Einwohnerinnen und Einwohnern,%,K03359,0.0771056956759937
2010,Uelzen,Anteil an allen Einwohnerinnen und Einwohnern,%,K03360,0.0467985534992555
2010,Verden,Anteil an allen Einwohnerinnen und Einwohnern,%,K03361,0.0877271909303581
2010,Statistische Region Lüneburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K033,0.0707938245093184
2010,Delmenhorst  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03401,0.287785263780745
2010,Emden  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03402,0.0697458152510849
2010,Oldenburg(Oldb)  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03403,0.144290356594501
2010,Osnabrück  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03404,0.141970155801583
2010,Wilhelmshaven  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03405,0.131572475529979
2010,Ammerland,Anteil an allen Einwohnerinnen und Einwohnern,%,K03451,0.0533880207450595
2010,Aurich,Anteil an allen Einwohnerinnen und Einwohnern,%,K03452,0.0730363541098827
2010,Cloppenburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03453,0.0562600351467186
2010,Emsland,Anteil an allen Einwohnerinnen und Einwohnern,%,K03454,0.0485536134110191
2010,Friesland,Anteil an allen Einwohnerinnen und Einwohnern,%,K03455,0.0813269342757887
2010,Grafschaft Bentheim,Anteil an allen Einwohnerinnen und Einwohnern,%,K03456,0.0977437484727539
2010,Leer,Anteil an allen Einwohnerinnen und Einwohnern,%,K03457,0.0734646792750675
2010,Oldenburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03458,0.0746374192737386
2010,Osnabrück,Anteil an allen Einwohnerinnen und Einwohnern,%,K03459,0.0592491919926542
2010,Vechta,Anteil an allen Einwohnerinnen und Einwohnern,%,K03460,0.121145862573315
2010,Wesermarsch,Anteil an allen Einwohnerinnen und Einwohnern,%,K03461,0.0826245978936236
2010,Wittmund,Anteil an allen Einwohnerinnen und Einwohnern,%,K03462,0.0523743016759777
2010,Statistische Region Weser-Ems,Anteil an allen Einwohnerinnen und Einwohnern,%,K034,0.0877732826198812
2010,Niedersachsen,Anteil an allen Einwohnerinnen und Einwohnern,%,K030,0.0929872132794278
2011,Braunschweig  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03101,0.1181155645965
2011,Salzgitter  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03102,0.143019434413925
2011,Wolfsburg  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03103,0.167922639776986
2011,Gifhorn,Anteil an allen Einwohnerinnen und Einwohnern,%,K03151,0.0515026482895853
2011,Goslar,Anteil an allen Einwohnerinnen und Einwohnern,%,K03153,0.0759448325273151
2011,Helmstedt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03154,0.0604934062187222
2011,Northeim,Anteil an allen Einwohnerinnen und Einwohnern,%,K03155,0.0615312490843564
2011,Peine,Anteil an allen Einwohnerinnen und Einwohnern,%,K03157,0.0952637037606115
2011,Wolfenbüttel,Anteil an allen Einwohnerinnen und Einwohnern,%,K03158,0.0830392360390285
2011,Göttingen,Anteil an allen Einwohnerinnen und Einwohnern,%,K03159,0.0961331073794485
2011,Statistische Region Braunschweig,Anteil an allen Einwohnerinnen und Einwohnern,%,K031,0.0952430506203172
2011,Hannover  Region,Anteil an allen Einwohnerinnen und Einwohnern,%,K03241,0.195802097053115
2011,dav. Hannover  Lhst.,Anteil an allen Einwohnerinnen und Einwohnern,%,K03241001,0.284404840181752
