Year,Land der Staatsangehörigkeit,Value
2005,Europa insgesamt,7178.0
2005,Griechenland,71.0
2005,Italien,71.0
2005,Kosovo,
2005,Polen,914.0
2005,Rumänien,72.0
2005,Russische Föderation,496.0
2005,Serbien 2),1630.0
2005,Türkei,2897.0
2005,Ukraine,322.0
2005,Vereinigtes Königreich GB Nordirland,50.0
2005,EU Staaten,1533.0
2005,Afrika insgesamt,568.0
2005,Tunesien,111.0
2005,Amerika insgesamt,213.0
2005,Asien insgesamt,2704.0
2005,Afganistan,236.0
2005,Libanon,395.0
2005,Indien,52.0
2005,Irak,516.0
2005,Iran Islamische Republik,348.0
2005,Pakistan,87.0
2005,Syrien Arabische Republik,171.0
2005,Vietnam,137.0
2005,Australien und Ozeanien,1.0
2005,Sonstige Ziele,222.0
2005,staatenlos,150.0
2005,Insgesamt,10886.0
2006,Europa insgesamt,7567.0
2006,Griechenland,96.0
2006,Italien,85.0
2006,Kosovo,
2006,Polen,864.0
2006,Rumänien,90.0
2006,Russische Föderation,475.0
2006,Serbien 2),1800.0
2006,Türkei,2944.0
2006,Ukraine,492.0
2006,Vereinigtes Königreich GB Nordirland,41.0
2006,EU Staaten,1534.0
2006,Afrika insgesamt,525.0
2006,Tunesien,81.0
2006,Amerika insgesamt,250.0
2006,Asien insgesamt,2851.0
2006,Afganistan,227.0
2006,Libanon,454.0
2006,Indien,44.0
2006,Irak,251.0
2006,Iran Islamische Republik,386.0
2006,Pakistan,76.0
2006,Syrien Arabische Republik,183.0
2006,Vietnam,160.0
2006,Australien und Ozeanien,2.0
2006,Sonstige Ziele,246.0
2006,staatenlos,171.0
2006,Insgesamt,11441.0
2007,Europa insgesamt,5866.0
2007,Griechenland,109.0
2007,Italien,70.0
2007,Kosovo,
2007,Polen,583.0
2007,Rumänien,209.0
2007,Russische Föderation,405.0
2007,Serbien 2),1198.0
2007,Türkei,2162.0
2007,Ukraine,493.0
2007,Vereinigtes Königreich GB Nordirland,36.0
2007,EU Staaten,1289.0
2007,Afrika insgesamt,521.0
2007,Tunesien,112.0
2007,Amerika insgesamt,266.0
2007,Asien insgesamt,2375.0
2007,Afganistan,230.0
2007,Libanon,377.0
2007,Indien,33.0
2007,Irak,286.0
2007,Iran Islamische Republik,362.0
2007,Pakistan,46.0
2007,Syrien Arabische Republik,210.0
2007,Vietnam,158.0
2007,Australien und Ozeanien,1.0
2007,Sonstige Ziele,222.0
2007,staatenlos,136.0
2007,Insgesamt,9251.0
2008,Europa insgesamt,4488.0
2008,Griechenland,98.0
2008,Italien,88.0
2008,Kosovo,
2008,Polen,548.0
2008,Rumänien,124.0
2008,Russische Föderation,188.0
2008,Serbien 2),540.0
2008,Türkei,2020.0
2008,Ukraine,185.0
2008,Vereinigtes Königreich GB Nordirland,39.0
2008,EU Staaten,1232.0
2008,Afrika insgesamt,564.0
2008,Tunesien,76.0
2008,Amerika insgesamt,233.0
2008,Asien insgesamt,2272.0
2008,Afganistan,219.0
2008,Libanon,367.0
2008,Indien,38.0
2008,Irak,306.0
2008,Iran Islamische Republik,303.0
2008,Pakistan,52.0
2008,Syrien Arabische Republik,208.0
2008,Vietnam,110.0
2008,Australien und Ozeanien,0.0
2008,Sonstige Ziele,147.0
2008,staatenlos,99.0
2008,Insgesamt,7704.0
2009,Europa insgesamt,3947.0
2009,Griechenland,69.0
2009,Italien,53.0
2009,Kosovo,34.0
2009,Polen,434.0
2009,Rumänien,119.0
2009,Russische Föderation,257.0
