Year,Staatsangehörigkeit,Erreichter Abschluss,Besuchte Schule,Value
2019,Deutsche,Allgemeine Hochschulreife,Insgesamt,5152.0
2019,Deutsche,Fachhochschulreife,Insgesamt,11557.0
2019,Deutsche,Schulischer Teil der Fachhochschulreife,Insgesamt,990.0
2019,Deutsche,Realschulabschluss,Insgesamt,12611.0
2019,Deutsche,Hauptschulabschluss,Insgesamt,2753.0
2019,Deutsche,Erfolgreicher Besuch,Insgesamt,44373.0
2019,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr,Insgesamt,3371.0
2019,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,8491.0
2019,Deutsche,Erreichte Abschlüsse insgesamt,Insgesamt,89298.0
2019,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,22021.0
2019,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,Insgesamt,131.0
2019,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,445.0
2019,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Insgesamt,54.0
2019,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,1002.0
2019,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,1567.0
2019,Ausländerinnen und Ausländer,Erfolgreicher Besuch,Insgesamt,2209.0
2019,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr,Insgesamt,2953.0
2019,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,1351.0
2019,Ausländerinnen und Ausländer,Erreichte Abschlüsse insgesamt,Insgesamt,9712.0
2019,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,4115.0
2018,Deutsche,Allgemeine Hochschulreife,Insgesamt,5385.0
2018,Deutsche,Fachhochschulreife,Insgesamt,12507.0
2018,Deutsche,Schulischer Teil der Fachhochschulreife,Insgesamt,1162.0
2018,Deutsche,Realschulabschluss,Insgesamt,13211.0
2018,Deutsche,Hauptschulabschluss,Insgesamt,2845.0
2018,Deutsche,Erfolgreicher Besuch,Insgesamt,45797.0
2018,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr,Insgesamt,3328.0
2018,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,9019.0
2018,Deutsche,Erreichte Abschlüsse insgesamt,Insgesamt,93254.0
2018,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,22839.0
2018,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,Insgesamt,180.0
2018,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,562.0
2018,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Insgesamt,50.0
2018,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,821.0
2018,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,1662.0
2018,Ausländerinnen und Ausländer,Erfolgreicher Besuch,Insgesamt,2058.0
2018,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr,Insgesamt,4343.0
2018,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,1352.0
2018,Ausländerinnen und Ausländer,Erreichte Abschlüsse insgesamt,Insgesamt,11028.0
2018,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,4212.0
2017,Deutsche,Allgemeine Hochschulreife,Insgesamt,5844.0
2017,Deutsche,Fachhochschulreife,Insgesamt,13130.0
2017,Deutsche,Schulischer Teil der Fachhochschulreife,Insgesamt,1182.0
2017,Deutsche,Realschulabschluss,Insgesamt,15537.0
2017,Deutsche,Hauptschulabschluss,Insgesamt,2792.0
2017,Deutsche,Erfolgreicher Besuch,Insgesamt,47119.0
2017,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr,Insgesamt,3554.0
2017,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,9362.0
