Year,Altersgruppe,Schulabschluss,Migrationsstatus,Units,Value
2025,18 – 25,Ohne Abschluss,Insgesamt,%,7.80471672764102
2025,25 – 35,Ohne Abschluss,Insgesamt,%,7.09648179767702
2025,15 – 65,Ohne Abschluss,Insgesamt,%,6.86888288896389
2025,18 – 25,Hauptschulabschluss,Insgesamt,%,12.3333540026043
2025,25 – 35,Hauptschulabschluss,Insgesamt,%,10.1003393832079
2025,15 – 65,Hauptschulabschluss,Insgesamt,%,17.0954269321633
2025,18 – 25,Realschulabschluss,Insgesamt,%,32.8372708294578
2025,25 – 35,Realschulabschluss,Insgesamt,%,28.8465186871561
2025,15 – 65,Realschulabschluss,Insgesamt,%,33.7272190347621
2025,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,47.0267253673963
2025,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,53.9577141170767
2025,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,42.3084711441107
2024,18 – 25,Ohne Abschluss,Insgesamt,%,7.64741035856574
2024,25 – 35,Ohne Abschluss,Insgesamt,%,7.57622867566279
2024,15 – 65,Ohne Abschluss,Insgesamt,%,6.94288210046064
2024,18 – 25,Hauptschulabschluss,Insgesamt,%,13.0398406374502
2024,25 – 35,Hauptschulabschluss,Insgesamt,%,10.5383164396907
2024,15 – 65,Hauptschulabschluss,Insgesamt,%,17.9424820007499
2024,18 – 25,Realschulabschluss,Insgesamt,%,31.9183266932271
2024,25 – 35,Realschulabschluss,Insgesamt,%,29.1213233007898
2024,15 – 65,Realschulabschluss,Insgesamt,%,34.2376424700606
2024,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,47.394422310757
2024,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,52.7641315838567
2024,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,40.8769934287288
2023,18 – 25,Ohne Abschluss,Insgesamt,%,7.74004683840749
2023,25 – 35,Ohne Abschluss,Insgesamt,%,6.89329655230284
2023,15 – 65,Ohne Abschluss,Insgesamt,%,6.60199254887187
2023,18 – 25,Hauptschulabschluss,Insgesamt,%,12.8805620608899
2023,25 – 35,Hauptschulabschluss,Insgesamt,%,11.068922476636
2023,15 – 65,Hauptschulabschluss,Insgesamt,%,18.56670434091
2023,18 – 25,Realschulabschluss,Insgesamt,%,32.7634660421546
2023,25 – 35,Realschulabschluss,Insgesamt,%,31.4928832901541
2023,15 – 65,Realschulabschluss,Insgesamt,%,35.1509062748545
2023,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,46.615925058548
2023,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,50.5459465696095
2023,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,39.6803968353636
2022,18 – 25,Ohne Abschluss,Insgesamt,%,6.16781100896078
2022,25 – 35,Ohne Abschluss,Insgesamt,%,5.95599995763116
2022,15 – 65,Ohne Abschluss,Insgesamt,%,5.62222231565847
2022,18 – 25,Hauptschulabschluss,Insgesamt,%,10.9197408743551
2022,25 – 35,Hauptschulabschluss,Insgesamt,%,10.4587486362529
2022,15 – 65,Hauptschulabschluss,Insgesamt,%,17.6598705814584
2022,18 – 25,Realschulabschluss,Insgesamt,%,34.8190387524729
2022,25 – 35,Realschulabschluss,Insgesamt,%,32.6716732514909
2022,15 – 65,Realschulabschluss,Insgesamt,%,35.9298331181964
2022,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,48.0934093642112
2022,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,50.9135781546251
2022,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,40.7878637531377
2021,18 – 25,Ohne Abschluss,Insgesamt,%,6.08014107965122
2021,25 – 35,Ohne Abschluss,Insgesamt,%,6.16894947806143
2021,15 – 65,Ohne Abschluss,Insgesamt,%,5.5177068478891
2021,18 – 25,Hauptschulabschluss,Insgesamt,%,11.0649554227491
2021,25 – 35,Hauptschulabschluss,Insgesamt,%,10.7034917368658
2021,15 – 65,Hauptschulabschluss,Insgesamt,%,18.7880044515722
2021,18 – 25,Realschulabschluss,Insgesamt,%,35.0563338885079
2021,25 – 35,Realschulabschluss,Insgesamt,%,32.9421473431505
2021,15 – 65,Realschulabschluss,Insgesamt,%,36.0488488115741
2021,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,47.7966101694915
2021,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,50.1854114419223
2021,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,39.6452283123379
2019,18 – 25,Ohne Abschluss,Insgesamt,%,4.67535046814551
2019,25 – 35,Ohne Abschluss,Insgesamt,%,4.74913006634145
2019,15 – 65,Ohne Abschluss,Insgesamt,%,4.1453676331601
2019,18 – 25,Hauptschulabschluss,Insgesamt,%,12.2398443213927
2019,25 – 35,Hauptschulabschluss,Insgesamt,%,13.7767730991181
2019,15 – 65,Hauptschulabschluss,Insgesamt,%,22.4409548673615
2019,18 – 25,Realschulabschluss,Insgesamt,%,35.2865221283734
2019,25 – 35,Realschulabschluss,Insgesamt,%,35.471306016721
2019,15 – 65,Realschulabschluss,Insgesamt,%,36.8567886630311
2019,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,47.7982830820884
2019,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,46.0027908178194
2019,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,36.5568890425676
2018,18 – 25,Ohne Abschluss,Insgesamt,%,4.69829888868067
2018,25 – 35,Ohne Abschluss,Insgesamt,%,4.64854158681157
2018,15 – 65,Ohne Abschluss,Insgesamt,%,4.20696238944428
2018,18 – 25,Hauptschulabschluss,Insgesamt,%,12.9014671856899
2018,25 – 35,Hauptschulabschluss,Insgesamt,%,14.8041431602725
2018,15 – 65,Hauptschulabschluss,Insgesamt,%,23.5805729388685
2018,18 – 25,Realschulabschluss,Insgesamt,%,35.5556401356863
2018,25 – 35,Realschulabschluss,Insgesamt,%,36.0772996848019
