Year,Migrationsstatus,Altersgruppe,Bildungsstand,Geschlecht,Units,Value
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Ingesamt,1000,623.0
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,317.0
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,305.0
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,Ingesamt,1000,435.0
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,219.0
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,216.0
2022,mit Migrationshintergrund,18 - 25,Insgesamt,Ingesamt,1000,188.0
2022,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,98.0
2022,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,90.0
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Ingesamt,1000,618.0
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,318.0
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,300.0
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,Ingesamt,1000,434.0
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,217.0
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,216.0
2021,mit Migrationshintergrund,18 - 25,Insgesamt,Ingesamt,1000,184.0
2021,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,101.0
2021,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,83.0
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Ingesamt,1000,4279.0
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1001,2143.0
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1002,2136.0
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,Ingesamt,1003,3196.0
