Year,Gebietseinheit,Erreichter Schulabschluss,Berufsbildende Schule,Nationalität,Units,Value
2021,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,83615.0
2021,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,4355.0
2021,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,10565.0
2021,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,919.0
2021,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4114.0
2021,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,950.0
2021,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,41165.0
2021,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3643.0
2021,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,8039.0
2021,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,19422.0
2021,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,10228.0
2021,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,140.0
2021,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,581.0
2021,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,67.0
2021,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1013.0
2021,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,260.0
2021,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2745.0
2021,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1952.0
2021,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1799.0
2021,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,3411.0
2020,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,88196.0
2020,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,4509.0
2020,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,11549.0
2020,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1019.0
2020,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4190.0
2020,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1109.0
2020,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,43809.0
2020,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3380.0
2020,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,7791.0
2020,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,20570.0
2020,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,10180.0
2020,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,136.0
2020,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,490.0
2020,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,51.0
2020,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,832.0
2020,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,257.0
2020,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2559.0
2020,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2185.0
2020,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1576.0
2020,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,3823.0
2019,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,89298.0
2019,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5135.0
2019,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,11557.0
2019,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,990.0
2019,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4156.0
2019,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,872.0
2019,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,44373.0
2019,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3371.0
2019,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,8491.0
2019,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,22021.0
2019,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,9712.0
2019,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,131.0
2019,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,445.0
2019,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,54.0
2019,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,487.0
2019,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,190.0
2019,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2209.0
2019,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2953.0
2019,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1351.0
2019,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,4115.0
2018,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,93254.0
2018,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5370.0
2018,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,12507.0
2018,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1162.0
2018,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4452.0
2018,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,812.0
2018,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,45797.0
2018,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3328.0
2018,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9019.0
2018,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,22839.0
2018,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,11028.0
2018,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,179.0
2018,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,562.0
2018,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,50.0
2018,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,351.0
2018,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,113.0
2018,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2058.0
2018,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,4343.0
2018,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1352.0
2018,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,4212.0
2017,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,98520.0
2017,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5823.0
2017,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,13130.0
2017,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1182.0
2017,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,5814.0
2017,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,792.0
2017,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,47119.0
2017,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3554.0
2017,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9362.0
2017,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,23711.0
2017,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,10785.0
2017,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,168.0
2017,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,528.0
2017,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,62.0
2017,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,354.0
2017,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,78.0
2017,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1895.0
2017,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5186.0
2017,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1167.0
2017,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,3703.0
2016,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,99911.0
2016,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5774.0
2016,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,13455.0
2016,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1119.0
2016,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,5857.0
2016,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,982.0
2016,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,47300.0
2016,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3438.0
2016,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9488.0
2016,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,21879.0
2016,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,7025.0
