Year,Gebietseinheit,Altersgruppe,Nationalität,GeoCode,Value
2020,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,103.0
2020,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,141.0
2020,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,83.0
2020,Gifhorn,im Alter bis unter 18 Jahren,Deutsche,K03151,55.0
2020,Goslar,im Alter bis unter 18 Jahren,Deutsche,K03153,127.0
2020,Helmstedt,im Alter bis unter 18 Jahren,Deutsche,K03154,81.0
2020,Northeim,im Alter bis unter 18 Jahren,Deutsche,K03155,87.0
2020,Peine,im Alter bis unter 18 Jahren,Deutsche,K03157,98.0
2020,Wolfenbüttel,im Alter bis unter 18 Jahren,Deutsche,K03158,75.0
2020,Göttingen,im Alter bis unter 18 Jahren,Deutsche,K03159,80.0
2020,Statistische Region Braunschweig,im Alter bis unter 18 Jahren,Deutsche,K031,90.0
2020,Hannover  Region,im Alter bis unter 18 Jahren,Deutsche,K03241,128.0
2020,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,175.0
2020,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,94.0
2020,Diepholz,im Alter bis unter 18 Jahren,Deutsche,K03251,65.0
2020,Hameln-Pyrmont,im Alter bis unter 18 Jahren,Deutsche,K03252,109.0
2020,Hildesheim,im Alter bis unter 18 Jahren,Deutsche,K03254,97.0
2020,Holzminden,im Alter bis unter 18 Jahren,Deutsche,K03255,105.0
2020,Nienburg (Weser),im Alter bis unter 18 Jahren,Deutsche,K03256,99.0
2020,Schaumburg,im Alter bis unter 18 Jahren,Deutsche,K03257,78.0
2020,Statistische Region Hannover,im Alter bis unter 18 Jahren,Deutsche,K032,110.0
2020,Celle,im Alter bis unter 18 Jahren,Deutsche,K03351,99.0
2020,Cuxhaven,im Alter bis unter 18 Jahren,Deutsche,K03352,84.0
2020,Harburg,im Alter bis unter 18 Jahren,Deutsche,K03353,63.0
2020,Lüchow-Dannenberg,im Alter bis unter 18 Jahren,Deutsche,K03354,103.0
2020,Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K03355,77.0
