Year,Migrationsstatus,Hauhaltsnettoeinkommen,Haushaltsgröße,Comment_OBS,Value
2024,Insgesamt,Insgesamt,insgesamt,,3905
2024,Insgesamt,unter 500,insgesamt,,53
2024,Insgesamt,500 - 1000,insgesamt,,229
2024,Insgesamt,1000 - 1250,insgesamt,,202
2024,Insgesamt,1250 - 1500,insgesamt,,202
2024,Insgesamt,1500 - 2000,insgesamt,,464
2024,Insgesamt,2000 - 2500,insgesamt,,490
2024,Insgesamt,2500 - 3000,insgesamt,,385
2024,Insgesamt,3000 - 3500,insgesamt,,348
2024,Insgesamt,3500 - 4000,insgesamt,,302
2024,Insgesamt,4000 - 5000,insgesamt,,468
2024,Insgesamt,5000 und mehr,insgesamt,,762
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2902
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,33
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,152
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,insgesamt,,145
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,insgesamt,,157
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,341
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,375
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,287
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,258
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,220
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,347
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,586
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,269
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,insgesamt,gesperrt,
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,insgesamt,gesperrt,
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,12
