Year,Migrationsstatus,Lebensform,mit oder ohne ledige Kinder,Value
2011,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,2227.8
2011,ohne Migrationshintergrund,Insgesamt,Insgesamt,1831.3
2011,mit Migrationshintergrund,Insgesamt,Insgesamt,396.5
2011,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,1740.2
2011,ohne Migrationshintergrund,Ehepaare,Insgesamt,1421.8
2011,mit Migrationshintergrund,Ehepaare,Insgesamt,318.3
2011,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,248.8
2011,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,212.9
2011,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,35.9
2011,mit und ohne Migrationshintergrund,Alleinerziehende,Insgesamt,238.9
2011,ohne Migrationshintergrund,Alleinerziehende,Insgesamt,196.6
2011,mit Migrationshintergrund,Alleinerziehende,Insgesamt,42.3
2012,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,2223.8
2012,ohne Migrationshintergrund,Insgesamt,Insgesamt,1817.1
2012,mit Migrationshintergrund,Insgesamt,Insgesamt,406.6
2012,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,1741.7
2012,ohne Migrationshintergrund,Ehepaare,Insgesamt,1412.7
2012,mit Migrationshintergrund,Ehepaare,Insgesamt,329.0
2012,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,246.2
2012,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,208.8
2012,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,37.4
2012,mit und ohne Migrationshintergrund,Alleinerziehende,Insgesamt,235.8
2012,ohne Migrationshintergrund,Alleinerziehende,Insgesamt,195.6
2012,mit Migrationshintergrund,Alleinerziehende,Insgesamt,40.2
2013,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,2226.9
2013,ohne Migrationshintergrund,Insgesamt,Insgesamt,1778.6
2013,mit Migrationshintergrund,Insgesamt,Insgesamt,448.3
2013,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,1733.2
2013,ohne Migrationshintergrund,Ehepaare,Insgesamt,1383.2
2013,mit Migrationshintergrund,Ehepaare,Insgesamt,350.0
2013,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,254.1
2013,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,202.8
2013,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,51.3
2013,mit und ohne Migrationshintergrund,Alleinerziehende,Insgesamt,239.6
2013,ohne Migrationshintergrund,Alleinerziehende,Insgesamt,192.6
2013,mit Migrationshintergrund,Alleinerziehende,Insgesamt,47.0
2014,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,2235.2
2014,ohne Migrationshintergrund,Insgesamt,Insgesamt,1807.8
2014,mit Migrationshintergrund,Insgesamt,Insgesamt,427.5
2014,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,1731.2
2014,ohne Migrationshintergrund,Ehepaare,Insgesamt,1392.2
2014,mit Migrationshintergrund,Ehepaare,Insgesamt,339.0
2014,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,266.1
