Year,Gebietseinheit,Units,GeoCode,Value
2021 / 2005,"Braunschweig, Stadt",%,K03101,1.44736681167515
2021 / 2005,"Salzgitter, Stadt",%,K03102,-3.74282902920372
2021 / 2005,"Wolfsburg, Stadt",%,K03103,2.26899561877573
2021 / 2005,Gifhorn,%,K03151,1.49516822781777
2021 / 2005,Goslar,%,K03153,-11.4901090774635
2021 / 2005,Helmstedt,%,K03154,-6.51669070783333
2021 / 2005,Northeim,%,K03155,-10.1745176903674
2021 / 2005,Peine,%,K03157,1.76770866615644
2021 / 2005,Wolfenbüttel,%,K03158,-5.72196742052823
2021 / 2005,Göttingen,%,K03159,-6.15937721981415
2021 / 2005,Statistische Region Braunschweig,%,K031,-3.5754816154529
2021 / 2005,Hannover  Region,%,K03241,2.56950776354999
2021 / 2005,"dav. Hannover, Lhst.",%,K03241001,3.91736745461279
2021 / 2005,"dav. Hannover, Umland",%,K03241999,1.43518261658513
2021 / 2005,Diepholz,%,K03251,1.52680609423423
2021 / 2005,Hameln-Pyrmont,%,K03252,-6.80492992992993
2021 / 2005,Hildesheim,%,K03254,-5.46030697453577
2021 / 2005,Holzminden,%,K03255,-10.3390744115609
2021 / 2005,Nienburg (Weser),%,K03256,-3.25494557877175
2021 / 2005,Schaumburg,%,K03257,-4.49935671702193
2021 / 2005,Statistische Region Hannover,%,K032,-0.649747056151362
2021 / 2005,Celle,%,K03351,-1.38617877266449
2021 / 2005,Cuxhaven,%,K03352,-2.76359632884507
2021 / 2005,Harburg,%,K03353,6.5009283496053
2021 / 2005,Lüchow-Dannenberg,%,K03354,-5.60835021031313
2021 / 2005,Lüneburg,%,K03355,5.52208434744444
2021 / 2005,Osterholz,%,K03356,2.05160500616457
2021 / 2005,Rotenburg (Wümme),%,K03357,0.0764215314632297
2021 / 2005,Heidekreis,%,K03358,0.164005663101529
2021 / 2005,Stade,%,K03359,5.10039445222038
2021 / 2005,Uelzen,%,K03360,-4.17371570043326
2021 / 2005,Verden,%,K03361,3.29867844038066
2021 / 2005,Statistische Region Lüneburg,%,K033,1.60773836314419
2021 / 2005,"Delmenhorst, Stadt",%,K03401,2.11549607460878
2021 / 2005,Emden  Stadt,%,K03402,-4.19786044532142
2021 / 2005,"Oldenburg(Oldb), Stadt",%,K03403,7.45687888247722
2021 / 2005,"Osnabrück, Stadt",%,K03404,0.744747091213205
2021 / 2005,"Wilhelmshaven, Stadt",%,K03405,-10.2032267330525
2021 / 2005,Ammerland,%,K03451,9.13271953818674
2021 / 2005,Aurich,%,K03452,0.156210552890684
2021 / 2005,Cloppenburg,%,K03453,11.782166767325
2021 / 2005,Emsland,%,K03454,6.87192022909626
2021 / 2005,Friesland,%,K03455,-2.40701297676804
2021 / 2005,Grafschaft Bentheim,%,K03456,3.18352895672483
2021 / 2005,Leer,%,K03457,4.46212194649089
2021 / 2005,Oldenburg,%,K03458,5.05841836937589
2021 / 2005,Osnabrück,%,K03459,0.584505729602809
2021 / 2005,Vechta,%,K03460,9.36850930128927
2021 / 2005,Wesermarsch,%,K03461,-5.64950653507602
2021 / 2005,Wittmund,%,K03462,-0.861027711633364
2021 / 2005,Statistische Region Weser-Ems,%,K034,3.18155138097621
2021 / 2005,Niedersachsen,%,K030,0.413875700436305
2021 / 2016,"Braunschweig, Stadt",%,K03101,0.0627345003558976
2021 / 2016,"Salzgitter, Stadt",%,K03102,2.58708534908339
2021 / 2016,"Wolfsburg, Stadt",%,K03103,-0.0773912692974324
2021 / 2016,Gifhorn,%,K03151,2.13197095376137
2021 / 2016,Goslar,%,K03153,-3.02815474984809
2021 / 2016,Helmstedt,%,K03154,-0.13224043715847
2021 / 2016,Northeim,%,K03155,-2.32104732534693
2021 / 2016,Peine,%,K03157,3.50665054413543
2021 / 2016,Wolfenbüttel,%,K03158,-1.45229416189319
2021 / 2016,Göttingen,%,K03159,-0.491912648611423
2021 / 2016,Statistische Region Braunschweig,%,K031,-0.421733939695801
2021 / 2016,Hannover  Region,%,K03241,1.14112859890204
2021 / 2016,"dav. Hannover, Lhst.",%,K03241001,0.708241647765816
2021 / 2016,"dav. Hannover, Umland",%,K03241999,1.51734882854987
2021 / 2016,Diepholz,%,K03251,2.27268478707892
2021 / 2016,Hameln-Pyrmont,%,K03252,0.45993755100114
2021 / 2016,Hildesheim,%,K03254,-0.823663171572432
2021 / 2016,Holzminden,%,K03255,-2.50771012712988
2021 / 2016,Nienburg (Weser),%,K03256,0.945851846939452
2021 / 2016,Schaumburg,%,K03257,1.21762288260374
2021 / 2016,Statistische Region Hannover,%,K032,0.823949837967631
2021 / 2016,Celle,%,K03351,1.09231279253362
2021 / 2016,Cuxhaven,%,K03352,0.757181870037304
2021 / 2016,Harburg,%,K03353,3.79893761939691
2021 / 2016,Lüchow-Dannenberg,%,K03354,-3.30354293009895
2021 / 2016,Lüneburg,%,K03355,2.44025254677151
2021 / 2016,Osterholz,%,K03356,1.29865556132736
2021 / 2016,Rotenburg (Wümme),%,K03357,1.07073070632699
2021 / 2016,Heidekreis,%,K03358,1.88786859065762
2021 / 2016,Stade,%,K03359,3.22013056474752
2021 / 2016,Uelzen,%,K03360,-0.254480248252462
2021 / 2016,Verden,%,K03361,2.86828326339634
2021 / 2016,Statistische Region Lüneburg,%,K033,1.85662209134402
2021 / 2016,"Delmenhorst, Stadt",%,K03401,1.57095502011189
2021 / 2016,Emden  Stadt,%,K03402,-2.30993805973093
2021 / 2016,"Oldenburg(Oldb), Stadt",%,K03403,4.00354025514253
2021 / 2016,"Osnabrück, Stadt",%,K03404,1.62004396470509
2021 / 2016,"Wilhelmshaven, Stadt",%,K03405,-1.27376801105336
2021 / 2016,Ammerland,%,K03451,4.15036850990242
2021 / 2016,Aurich,%,K03452,0.647994968260932
2021 / 2016,Cloppenburg,%,K03453,5.61268469168478
2021 / 2016,Emsland,%,K03454,3.72752654246795
2021 / 2016,Friesland,%,K03455,1.09397344228805
2021 / 2016,Grafschaft Bentheim,%,K03456,2.25560584393566
2021 / 2016,Leer,%,K03457,2.90842027359324
2021 / 2016,Oldenburg,%,K03458,2.70822965911918
2021 / 2016,Osnabrück,%,K03459,0.969339168172387
2021 / 2016,Vechta,%,K03460,5.03314812934298
2021 / 2016,Wesermarsch,%,K03461,-0.906554309214581
2021 / 2016,Wittmund,%,K03462,0.493239815997062
2021 / 2016,Statistische Region Weser-Ems,%,K034,2.3251966207511
2021 / 2016,Niedersachsen,%,K030,1.26702511379723
2021 / 2020,"Braunschweig, Stadt",%,K03101,0.105406721086574
2021 / 2020,"Salzgitter, Stadt",%,K03102,-0.165597982015289
2021 / 2020,"Wolfsburg, Stadt",%,K03103,0.0880167958656331
2021 / 2020,Gifhorn,%,K03151,0.390459692936178
2021 / 2020,Goslar,%,K03153,-0.473687336659539
2021 / 2020,Helmstedt,%,K03154,-0.151882689744094
2021 / 2020,Northeim,%,K03155,-0.00531220593145737
2021 / 2020,Peine,%,K03157,0.821530579193781
2021 / 2020,Wolfenbüttel,%,K03158,-0.114777858764588
2021 / 2020,Göttingen,%,K03159,-0.0737882062364928
2021 / 2020,Statistische Region Braunschweig,%,K031,0.0532511157900561
2021 / 2020,Hannover  Region,%,K03241,0.191373893173379
2021 / 2020,"dav. Hannover, Lhst.",%,K03241001,0.352589369140285
2021 / 2020,"dav. Hannover, Umland",%,K03241999,0.0527941462880725
2021 / 2020,Diepholz,%,K03251,0.351718698411534
2021 / 2020,Hameln-Pyrmont,%,K03252,0.257773589985193
2021 / 2020,Hildesheim,%,K03254,-0.25084947579357
2021 / 2020,Holzminden,%,K03255,-0.491403991055023
2021 / 2020,Nienburg (Weser),%,K03256,0.105224218011427
2021 / 2020,Schaumburg,%,K03257,-0.188124187215131
2021 / 2020,Statistische Region Hannover,%,K032,0.100339711617616
2021 / 2020,Celle,%,K03351,0.294894807844536
2021 / 2020,Cuxhaven,%,K03352,0.390793960548419
2021 / 2020,Harburg,%,K03353,0.59840009999375
2021 / 2020,Lüchow-Dannenberg,%,K03354,-0.0639135723563491
2021 / 2020,Lüneburg,%,K03355,0.485249816810052
2021 / 2020,Osterholz,%,K03356,0.361130495464061
2021 / 2020,Rotenburg (Wümme),%,K03357,0.313096555329937
2021 / 2020,Heidekreis,%,K03358,1.43876211094155
2021 / 2020,Stade,%,K03359,0.554643864100079
2021 / 2020,Uelzen,%,K03360,0.35434176695547
2021 / 2020,Verden,%,K03361,0.678180470146975
2021 / 2020,Statistische Region Lüneburg,%,K033,0.525813452046301
2021 / 2020,"Delmenhorst, Stadt",%,K03401,0.0245151800575462
2021 / 2020,Emden  Stadt,%,K03402,-0.703773509243293
2021 / 2020,"Oldenburg(Oldb), Stadt",%,K03403,0.462250523274668
2021 / 2020,"Osnabrück, Stadt",%,K03404,0.493840692229468
2021 / 2020,"Wilhelmshaven, Stadt",%,K03405,-0.215457048238439
2021 / 2020,Ammerland,%,K03451,0.662193675732034
2021 / 2020,Aurich,%,K03452,0.129878324517031
2021 / 2020,Cloppenburg,%,K03453,0.780851754020112
2021 / 2020,Emsland,%,K03454,0.750007600401301
2021 / 2020,Friesland,%,K03455,0.0
2021 / 2020,Grafschaft Bentheim,%,K03456,0.60264991913903
2021 / 2020,Leer,%,K03457,0.546992996390313
2021 / 2020,Oldenburg,%,K03458,0.474643826967984
2021 / 2020,Osnabrück,%,K03459,0.578349852978404
2021 / 2020,Vechta,%,K03460,0.770365627914098
2021 / 2020,Wesermarsch,%,K03461,-0.106185893091139
2021 / 2020,Wittmund,%,K03462,0.123727868395372
2021 / 2020,Statistische Region Weser-Ems,%,K034,0.454286957075762
2021 / 2020,Niedersachsen,%,K030,0.294998851116291
