Year,Staatsangehörigkeit,Erreichter Abschluss,Schulform,Value
2019,Allgemeine Hochschulreife2),Deutsche,Insgesamt,5152
2019,Fachhochschulreife,Deutsche,Insgesamt,11557
2019,Schulischer Teil der Fachhochschulreife,Deutsche,Insgesamt,990
2019,Realschulabschluss,Deutsche,Insgesamt,12611
2019,Hauptschulabschluss,Deutsche,Insgesamt,2753
2019,Erfolgreicher Besuch3),Deutsche,Insgesamt,44373
2019,Entlassungen aus dem Berufsvorbereitungsjahr4),Deutsche,Insgesamt,3371
2019,Ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,8491
2019,Insgesamt,Deutsche,Insgesamt,89298
2019,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,22021
2019,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,131
2019,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,445
2019,Schulischer Teil der Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,54
2019,Realschulabschluss,Ausländerinnen und Ausländer,Insgesamt,1002
2019,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,1567
2019,Erfolgreicher Besuch3),Ausländerinnen und Ausländer,Insgesamt,2209
2019,Entlassungen aus dem Berufsvorbereitungsjahr4),Ausländerinnen und Ausländer,Insgesamt,2953
2019,Ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1351
2019,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,9712
2019,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,4115
2018,Fachhochschulreife,Deutsche,Insgesamt,12507
2018,Schulischer Teil der Fachhochschulreife,Deutsche,Insgesamt,1162
2018,Realschulabschluss,Deutsche,Insgesamt,13211
2018,Hauptschulabschluss,Deutsche,Insgesamt,2845
2018,Erfolgreicher Besuch3),Deutsche,Insgesamt,45797
2018,Entlassungen aus dem Berufsvorbereitungsjahr4),Deutsche,Insgesamt,3328
2018,Ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,9019
2018,Insgesamt,Deutsche,Insgesamt,93254
2018,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,22839
2018,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,180
2018,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,562
2018,Schulischer Teil der Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,50
2018,Realschulabschluss,Ausländerinnen und Ausländer,Insgesamt,821
2018,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,1662
2018,Erfolgreicher Besuch3),Ausländerinnen und Ausländer,Insgesamt,2058
2018,Entlassungen aus dem Berufsvorbereitungsjahr4),Ausländerinnen und Ausländer,Insgesamt,4343
2018,Ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1352
2018,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,11028
2018,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,4212
2017,Allgemeine Hochschulreife2),Deutsche,Insgesamt,5844
2017,Fachhochschulreife,Deutsche,Insgesamt,13130
2017,Schulischer Teil der Fachhochschulreife,Deutsche,Insgesamt,1182
2017,Realschulabschluss,Deutsche,Insgesamt,15537
2017,Hauptschulabschluss,Deutsche,Insgesamt,2792
2017,Erfolgreicher Besuch3),Deutsche,Insgesamt,47119
2017,Entlassungen aus dem Berufsvorbereitungsjahr4),Deutsche,Insgesamt,3554
2017,Ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,9362
2017,Insgesamt,Deutsche,Insgesamt,98520
2017,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,23711
2017,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,168
2017,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,528
2017,Schulischer Teil der Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,62
2017,Realschulabschluss,Ausländerinnen und Ausländer,Insgesamt,824
2017,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,955
