Year,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value_2,Value
2005,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,352.0,352.0
2005,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,68.0,68.0
2005,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,91.0,91.0
2005,Gifhorn,Ukraine,Anzahl,K03151,96.0,96.0
2005,Goslar,Ukraine,Anzahl,K03153,92.0,92.0
2005,Helmstedt,Ukraine,Anzahl,K03154,45.0,45.0
2005,Northeim,Ukraine,Anzahl,K03155,59.0,59.0
2005,Peine,Ukraine,Anzahl,K03157,37.0,37.0
2005,Wolfenbüttel,Ukraine,Anzahl,K03158,53.0,53.0
2005,Göttingen,Ukraine,Anzahl,K03159,528.0,528.0
2005,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1421.0,1421.0
2005,Region Hannover,Ukraine,Anzahl,K03241,5859.0,5859.0
2005,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,4768.0,4768.0
2005,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,1091.0,1091.0
2005,Diepholz,Ukraine,Anzahl,K03251,118.0,118.0
2005,Hameln-Pyrmont,Ukraine,Anzahl,K03252,508.0,508.0
2005,Hildesheim,Ukraine,Anzahl,K03254,188.0,188.0
2005,Holzminden,Ukraine,Anzahl,K03255,23.0,23.0
2005,Nienburg (Weser),Ukraine,Anzahl,K03256,58.0,58.0
2005,Schaumburg,Ukraine,Anzahl,K03257,109.0,109.0
2005,Statistische Region Hannover,Ukraine,Anzahl,K032,6863.0,6863.0
2005,Celle,Ukraine,Anzahl,K03351,113.0,113.0
2005,Cuxhaven,Ukraine,Anzahl,K03352,67.0,67.0
2005,Harburg,Ukraine,Anzahl,K03353,123.0,123.0
2005,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,20.0,20.0
2005,Lüneburg,Ukraine,Anzahl,K03355,88.0,88.0
2005,Osterholz,Ukraine,Anzahl,K03356,52.0,52.0
2005,Rotenburg (Wümme),Ukraine,Anzahl,K03357,77.0,77.0
2005,Heidekreis,Ukraine,Anzahl,K03358,91.0,91.0
2005,Stade,Ukraine,Anzahl,K03359,109.0,109.0
2005,Uelzen,Ukraine,Anzahl,K03360,33.0,33.0
2005,Verden,Ukraine,Anzahl,K03361,64.0,64.0
2005,Statistische Region Lüneburg,Ukraine,Anzahl,K033,837.0,837.0
2005,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,270.0,270.0
2005,"Emden, Stadt",Ukraine,Anzahl,K03402,32.0,32.0
2005,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,247.0,247.0
2005,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,952.0,952.0
2005,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,54.0,54.0
2005,Ammerland,Ukraine,Anzahl,K03451,32.0,32.0
2005,Aurich,Ukraine,Anzahl,K03452,39.0,39.0
2005,Cloppenburg,Ukraine,Anzahl,K03453,105.0,105.0
2005,Emsland,Ukraine,Anzahl,K03454,122.0,122.0
2005,Friesland,Ukraine,Anzahl,K03455,27.0,27.0
2005,Grafschaft Bentheim,Ukraine,Anzahl,K03456,47.0,47.0
2005,Leer,Ukraine,Anzahl,K03457,62.0,62.0
2005,Oldenburg,Ukraine,Anzahl,K03458,38.0,38.0
2005,Osnabrück,Ukraine,Anzahl,K03459,260.0,260.0
2005,Vechta,Ukraine,Anzahl,K03460,123.0,123.0
2005,Wesermarsch,Ukraine,Anzahl,K03461,70.0,70.0
2005,Wittmund,Ukraine,Anzahl,K03462,11.0,11.0
2005,Statistische Region Weser-Ems,Ukraine,Anzahl,K034,2491.0,2491.0
2005,Niedersachsen,Ukraine,Anzahl,K030,11612.0,11612.0
2011,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,373.0,373.0
2011,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,71.0,71.0
2011,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,102.0,102.0
2011,Gifhorn,Ukraine,Anzahl,K03151,83.0,83.0
2011,Goslar,Ukraine,Anzahl,K03153,97.0,97.0
2011,Helmstedt,Ukraine,Anzahl,K03154,39.0,39.0
2011,Northeim,Ukraine,Anzahl,K03155,71.0,71.0
2011,Peine,Ukraine,Anzahl,K03157,54.0,54.0
2011,Wolfenbüttel,Ukraine,Anzahl,K03158,44.0,44.0
2011,Göttingen,Ukraine,Anzahl,K03159,436.0,436.0
2011,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1370.0,1370.0
2011,Region Hannover,Ukraine,Anzahl,K03241,4842.0,4842.0
2011,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3859.0,3859.0
2011,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,983.0,983.0
2011,Diepholz,Ukraine,Anzahl,K03251,134.0,134.0
2011,Hameln-Pyrmont,Ukraine,Anzahl,K03252,375.0,375.0
2011,Hildesheim,Ukraine,Anzahl,K03254,190.0,190.0
2011,Holzminden,Ukraine,Anzahl,K03255,29.0,29.0
2011,Nienburg (Weser),Ukraine,Anzahl,K03256,61.0,61.0
2011,Schaumburg,Ukraine,Anzahl,K03257,111.0,111.0
2011,Statistische Region Hannover,Ukraine,Anzahl,K032,5742.0,5742.0
2011,Celle,Ukraine,Anzahl,K03351,107.0,107.0
2011,Cuxhaven,Ukraine,Anzahl,K03352,73.0,73.0
2011,Harburg,Ukraine,Anzahl,K03353,144.0,144.0
2011,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,20.0,20.0
2011,Lüneburg,Ukraine,Anzahl,K03355,97.0,97.0
2011,Osterholz,Ukraine,Anzahl,K03356,48.0,48.0
2011,Rotenburg (Wümme),Ukraine,Anzahl,K03357,71.0,71.0
2011,Heidekreis,Ukraine,Anzahl,K03358,81.0,81.0
2011,Stade,Ukraine,Anzahl,K03359,105.0,105.0
2011,Uelzen,Ukraine,Anzahl,K03360,36.0,36.0
2011,Verden,Ukraine,Anzahl,K03361,62.0,62.0
2011,Statistische Region Lüneburg,Ukraine,Anzahl,K033,844.0,844.0
2011,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,220.0,220.0
2011,"Emden, Stadt",Ukraine,Anzahl,K03402,28.0,28.0
2011,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,221.0,221.0
2011,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,665.0,665.0
2011,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,36.0,36.0
2011,Ammerland,Ukraine,Anzahl,K03451,41.0,41.0
2011,Aurich,Ukraine,Anzahl,K03452,35.0,35.0
2011,Cloppenburg,Ukraine,Anzahl,K03453,118.0,118.0
2011,Emsland,Ukraine,Anzahl,K03454,154.0,154.0
2011,Friesland,Ukraine,Anzahl,K03455,37.0,37.0
2011,Grafschaft Bentheim,Ukraine,Anzahl,K03456,59.0,59.0
2011,Leer,Ukraine,Anzahl,K03457,81.0,81.0
2011,Oldenburg,Ukraine,Anzahl,K03458,40.0,40.0
2011,Osnabrück,Ukraine,Anzahl,K03459,264.0,264.0
2011,Vechta,Ukraine,Anzahl,K03460,115.0,115.0
2011,Wesermarsch,Ukraine,Anzahl,K03461,53.0,53.0
2011,Wittmund,Ukraine,Anzahl,K03462,13.0,13.0
2011,Statistische Region Weser-Ems,Ukraine,Anzahl,K034,2180.0,2180.0
2011,Niedersachsen,Ukraine,Anzahl,K030,10136.0,10136.0
2012,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,360.0,360.0
2012,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,82.0,82.0
2012,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,119.0,119.0
2012,Gifhorn,Ukraine,Anzahl,K03151,81.0,81.0
2012,Goslar,Ukraine,Anzahl,K03153,94.0,94.0
2012,Helmstedt,Ukraine,Anzahl,K03154,41.0,41.0
2012,Northeim,Ukraine,Anzahl,K03155,68.0,68.0
2012,Peine,Ukraine,Anzahl,K03157,57.0,57.0
2012,Wolfenbüttel,Ukraine,Anzahl,K03158,41.0,41.0
2012,Göttingen,Ukraine,Anzahl,K03159,412.0,412.0
2012,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1355.0,1355.0
2012,Region Hannover,Ukraine,Anzahl,K03241,4700.0,4700.0
2012,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3724.0,3724.0
2012,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,976.0,976.0
2012,Diepholz,Ukraine,Anzahl,K03251,148.0,148.0
2012,Hameln-Pyrmont,Ukraine,Anzahl,K03252,360.0,360.0
2012,Hildesheim,Ukraine,Anzahl,K03254,187.0,187.0
2012,Holzminden,Ukraine,Anzahl,K03255,35.0,35.0
2012,Nienburg (Weser),Ukraine,Anzahl,K03256,63.0,63.0
2012,Schaumburg,Ukraine,Anzahl,K03257,105.0,105.0
2012,Statistische Region Hannover,Ukraine,Anzahl,K032,5598.0,5598.0
2012,Celle,Ukraine,Anzahl,K03351,111.0,111.0
2012,Cuxhaven,Ukraine,Anzahl,K03352,68.0,68.0
2012,Harburg,Ukraine,Anzahl,K03353,145.0,145.0
2012,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,18.0,18.0
2012,Lüneburg,Ukraine,Anzahl,K03355,100.0,100.0
2012,Osterholz,Ukraine,Anzahl,K03356,49.0,49.0
2012,Rotenburg (Wümme),Ukraine,Anzahl,K03357,73.0,73.0
2012,Heidekreis,Ukraine,Anzahl,K03358,82.0,82.0
2012,Stade,Ukraine,Anzahl,K03359,114.0,114.0
2012,Uelzen,Ukraine,Anzahl,K03360,36.0,36.0
2012,Verden,Ukraine,Anzahl,K03361,62.0,62.0
