Year,Gebietseinheit,Geschlecht,Units,GeoCode,Value
2021,"Braunschweig, Stadt",männlich,%,K03101,35.9
2021,"Braunschweig, Stadt",weiblich,%,K03101,36.7
2021,"Braunschweig, Stadt",insgesamt,%,K03101,36.3
2021,"Salzgitter, Stadt",männlich,%,K03102,37.0
2021,"Salzgitter, Stadt",weiblich,%,K03102,38.7
2021,"Salzgitter, Stadt",insgesamt,%,K03102,37.8
2021,"Wolfsburg, Stadt",männlich,%,K03103,34.8
2021,"Wolfsburg, Stadt",weiblich,%,K03103,34.9
2021,"Wolfsburg, Stadt",insgesamt,%,K03103,34.8
2021,Gifhorn,männlich,%,K03151,37.4
2021,Gifhorn,weiblich,%,K03151,37.4
2021,Gifhorn,insgesamt,%,K03151,37.4
2021,Goslar,männlich,%,K03153,36.1
2021,Goslar,weiblich,%,K03153,37.1
2021,Goslar,insgesamt,%,K03153,36.6
2021,Helmstedt,männlich,%,K03154,35.3
2021,Helmstedt,weiblich,%,K03154,36.6
2021,Helmstedt,insgesamt,%,K03154,35.9
2021,Northeim,männlich,%,K03155,36.3
2021,Northeim,weiblich,%,K03155,36.3
2021,Northeim,insgesamt,%,K03155,36.3
2021,Peine,männlich,%,K03157,35.1
2021,Peine,weiblich,%,K03157,35.9
2021,Peine,insgesamt,%,K03157,35.5
2021,Wolfenbüttel,männlich,%,K03158,34.6
2021,Wolfenbüttel,weiblich,%,K03158,35.4
2021,Wolfenbüttel,insgesamt,%,K03158,35.0
2021,Göttingen,männlich,%,K03159,35.8
2021,Göttingen,weiblich,%,K03159,36.7
2021,Göttingen,insgesamt,%,K03159,36.2
2021,Statistische Region Braunschweig,männlich,%,K031,36.0
2021,Statistische Region Braunschweig,weiblich,%,K031,36.6
2021,Statistische Region Braunschweig,insgesamt,%,K031,36.3
2021,Hannover  Region,männlich,%,K03241,36.9
2021,Hannover  Region,weiblich,%,K03241,38.0
2021,Hannover  Region,insgesamt,%,K03241,37.5
2021,Diepholz,männlich,%,K03251,37.6
2021,Diepholz,weiblich,%,K03251,38.8
2021,Diepholz,insgesamt,%,K03251,38.2
2021,Hameln-Pyrmont,männlich,%,K03252,34.6
2021,Hameln-Pyrmont,weiblich,%,K03252,35.1
2021,Hameln-Pyrmont,insgesamt,%,K03252,34.8
2021,Hildesheim,männlich,%,K03254,35.9
2021,Hildesheim,weiblich,%,K03254,37.1
2021,Hildesheim,insgesamt,%,K03254,36.5
2021,Holzminden,männlich,%,K03255,35.4
2021,Holzminden,weiblich,%,K03255,36.9
2021,Holzminden,insgesamt,%,K03255,36.1
2021,Nienburg (Weser),männlich,%,K03256,37.4
2021,Nienburg (Weser),weiblich,%,K03256,38.8
2021,Nienburg (Weser),insgesamt,%,K03256,38.0
2021,Schaumburg,männlich,%,K03257,34.5
2021,Schaumburg,weiblich,%,K03257,34.3
2021,Schaumburg,insgesamt,%,K03257,34.4
2021,Statistische Region Hannover,männlich,%,K032,35.4
2021,Statistische Region Hannover,weiblich,%,K032,36.1
2021,Statistische Region Hannover,insgesamt,%,K032,35.7
2021,Celle,männlich,%,K03351,35.5
2021,Celle,weiblich,%,K03351,36.1
2021,Celle,insgesamt,%,K03351,35.8
2021,Cuxhaven,männlich,%,K03352,35.4
2021,Cuxhaven,weiblich,%,K03352,35.7
2021,Cuxhaven,insgesamt,%,K03352,35.6
2021,Harburg,männlich,%,K03353,36.6
2021,Harburg,weiblich,%,K03353,38.1
2021,Harburg,insgesamt,%,K03353,37.3
2021,Lüchow-Dannenberg,männlich,%,K03354,36.7
2021,Lüchow-Dannenberg,weiblich,%,K03354,38.1
2021,Lüchow-Dannenberg,insgesamt,%,K03354,37.3
2021,Lüneburg,männlich,%,K03355,34.6
2021,Lüneburg,weiblich,%,K03355,35.7
2021,Lüneburg,insgesamt,%,K03355,35.1
2021,Osterholz,männlich,%,K03356,34.6
2021,Osterholz,weiblich,%,K03356,35.0
2021,Osterholz,insgesamt,%,K03356,34.8
2021,Rotenburg (Wümme),männlich,%,K03357,34.8
2021,Rotenburg (Wümme),weiblich,%,K03357,36.1
2021,Rotenburg (Wümme),insgesamt,%,K03357,35.4
2021,Heidekreis,männlich,%,K03358,36.1
2021,Heidekreis,weiblich,%,K03358,35.9
2021,Heidekreis,insgesamt,%,K03358,36.0
2021,Stade,männlich,%,K03359,34.7
2021,Stade,weiblich,%,K03359,35.4
2021,Stade,insgesamt,%,K03359,35.0
2021,Uelzen,männlich,%,K03360,34.6
2021,Uelzen,weiblich,%,K03360,34.6
2021,Uelzen,insgesamt,%,K03360,34.6
2021,Verden,männlich,%,K03361,34.8
2021,Verden,weiblich,%,K03361,35.1
2021,Verden,insgesamt,%,K03361,35.0
2021,Statistische Region Lüneburg,männlich,%,K033,37.1
2021,Statistische Region Lüneburg,weiblich,%,K033,38.0
2021,Statistische Region Lüneburg,insgesamt,%,K033,37.5
2021,"Delmenhorst, Stadt",männlich,%,K03401,35.4
2021,"Delmenhorst, Stadt",weiblich,%,K03401,35.3
2021,"Delmenhorst, Stadt",insgesamt,%,K03401,35.4
2021,Emden  Stadt,männlich,%,K03402,34.1
2021,Emden  Stadt,weiblich,%,K03402,34.7
2021,Emden  Stadt,insgesamt,%,K03402,34.3
2021,"Oldenburg(Oldb), Stadt",männlich,%,K03403,32.7
2021,"Oldenburg(Oldb), Stadt",weiblich,%,K03403,32.0
2021,"Oldenburg(Oldb), Stadt",insgesamt,%,K03403,32.4
2021,"Osnabrück, Stadt",männlich,%,K03404,33.0
2021,"Osnabrück, Stadt",weiblich,%,K03404,33.8
2021,"Osnabrück, Stadt",insgesamt,%,K03404,33.4
2021,"Wilhelmshaven, Stadt",männlich,%,K03405,36.1
2021,"Wilhelmshaven, Stadt",weiblich,%,K03405,36.8
2021,"Wilhelmshaven, Stadt",insgesamt,%,K03405,36.4
2021,Ammerland,männlich,%,K03451,32.3
2021,Ammerland,weiblich,%,K03451,32.5
2021,Ammerland,insgesamt,%,K03451,32.4
2021,Aurich,männlich,%,K03452,34.8
2021,Aurich,weiblich,%,K03452,34.9
2021,Aurich,insgesamt,%,K03452,34.9
2021,Cloppenburg,männlich,%,K03453,34.2
2021,Cloppenburg,weiblich,%,K03453,34.7
2021,Cloppenburg,insgesamt,%,K03453,34.4
2021,Emsland,männlich,%,K03454,33.8
2021,Emsland,weiblich,%,K03454,32.9
2021,Emsland,insgesamt,%,K03454,33.4
2021,Friesland,männlich,%,K03455,36.1
2021,Friesland,weiblich,%,K03455,34.7
2021,Friesland,insgesamt,%,K03455,35.5
2021,Grafschaft Bentheim,männlich,%,K03456,35.1
2021,Grafschaft Bentheim,weiblich,%,K03456,35.2
2021,Grafschaft Bentheim,insgesamt,%,K03456,35.1
2021,Leer,männlich,%,K03457,41.4
2021,Leer,weiblich,%,K03457,41.2
2021,Leer,insgesamt,%,K03457,41.3
2021,Oldenburg,männlich,%,K03458,35.1
2021,Oldenburg,weiblich,%,K03458,34.8
2021,Oldenburg,insgesamt,%,K03458,35.0
2021,Osnabrück,männlich,%,K03459,34.4
2021,Osnabrück,weiblich,%,K03459,35.2
2021,Osnabrück,insgesamt,%,K03459,34.8
2021,Vechta,männlich,%,K03460,36.3
2021,Vechta,weiblich,%,K03460,36.4
2021,Vechta,insgesamt,%,K03460,36.4
2021,Wesermarsch,männlich,%,K03461,34.0
2021,Wesermarsch,weiblich,%,K03461,33.3
2021,Wesermarsch,insgesamt,%,K03461,33.7
2021,Wittmund,männlich,%,K03462,36.2
2021,Wittmund,weiblich,%,K03462,36.4
2021,Wittmund,insgesamt,%,K03462,36.3
2021,Statistische Region Weser-Ems,männlich,%,K034,35.6
2021,Statistische Region Weser-Ems,weiblich,%,K034,36.5
2021,Statistische Region Weser-Ems,insgesamt,%,K034,36.0
