Year,Altersgruppe,Units,Geschlecht,Value
0 – 3,in 1000,Männlich,(41,1)
3 – 6,in 1000,Männlich,(38,4)
6 – 15,in 1000,Männlich,117.68768,
15 – 20,in 1000,Männlich,62.02948,
20 – 40,in 1000,Männlich,293.56019,
40 – 65,in 1000,Männlich,272.82487,
65 – 80,in 1000,Männlich,63.22189,
80 und älter,in 1000,Männlich,12.31427,
Insgesamt,in 1000,Männlich,901.27669,
0 – 3,in 1000,Männlich,39.06125,
3 – 6,in 1000,Männlich,36.04102,
6 – 15,in 1000,Männlich,116.42134,
15 – 20,in 1000,Männlich,59.58151,
20 – 40,in 1000,Männlich,299.2321,
40 – 65,in 1000,Männlich,265.2847,
65 – 80,in 1000,Männlich,64.1912,
80 und älter,in 1000,Männlich,10.58344,
Insgesamt,in 1000,Männlich,890.39656,
0 – 3,in 1000,Männlich,40.11215,
3 – 6,in 1000,Männlich,36.38889,
6 – 15,in 1000,Männlich,116.34834,
15 – 20,in 1000,Männlich,65.22342,
20 – 40,in 1000,Männlich,280.37849,
40 – 65,in 1000,Männlich,252.68516,
65 – 80,in 1000,Männlich,59.82807,
80 und älter,in 1000,Männlich,13.96052,
Insgesamt,in 1000,Männlich,864.92504,
0 – 3,in 1000,Männlich,39.5,
3 – 6,in 1000,Männlich,39.4,
6 – 15,in 1000,Männlich,107.3,
15 – 20,in 1000,Männlich,59.3,
20 – 40,in 1000,Männlich,256.4,
40 – 65,in 1000,Männlich,241.4,
65 – 80,in 1000,Männlich,55.1,
80 und älter,in 1000,Männlich,13,
Insgesamt,in 1000,Männlich,811.4,
0 – 3,in 1000,Männlich,36.3,
3 – 6,in 1000,Männlich,31.9,
6 – 15,in 1000,Männlich,98.1,
15 – 20,in 1000,Männlich,52.4,
20 – 40,in 1000,Männlich,208.3,
40 – 65,in 1000,Männlich,218.7,
65 – 80,in 1000,Männlich,56.3,
80 und älter,in 1000,Männlich,10.1,
Insgesamt,in 1000,Männlich,712.1,
0 – 3,in 1000,Männlich,32.1,
3 – 6,in 1000,Männlich,30.2,
6 – 15,in 1000,Männlich,97.1,
15 – 20,in 1000,Männlich,49.9,
20 – 40,in 1000,Männlich,198.2,
40 – 65,in 1000,Männlich,209.1,
65 – 80,in 1000,Männlich,55.8,
80 und älter,in 1000,Männlich,9.4,
Insgesamt,in 1000,Männlich,681.7,
0 – 3,in 1000,Männlich,32.5,
3 – 6,in 1000,Männlich,32.7,
6 – 15,in 1000,Männlich,91.6,
15 – 20,in 1000,Männlich,48.3,
20 – 40,in 1000,Männlich,201.8,
40 – 65,in 1000,Männlich,210.1,
65 – 80,in 1000,Männlich,53.1,
80 und älter,in 1000,Männlich,8.6,
Insgesamt,in 1000,Männlich,678.7,
0 – 3,in 1000,Männlich,29.1,
3 – 6,in 1000,Männlich,32.7,
6 – 15,in 1000,Männlich,98.5,
15 – 20,in 1000,Männlich,54,
20 – 40,in 1000,Männlich,213,
40 – 65,in 1000,Männlich,217.6,
65 – 80,in 1000,Männlich,57.5,
80 und älter,in 1000,Männlich,9.2,
Insgesamt,in 1000,Männlich,711.7,
0 – 3,in 1000,Männlich,31.3,
3 – 6,in 1000,Männlich,28.1,
6 – 15,in 1000,Männlich,99.4,
15 – 20,in 1000,Männlich,53.6,
20 – 40,in 1000,Männlich,211.9,
40 – 65,in 1000,Männlich,209.4,
65 – 80,in 1000,Männlich,55,
80 und älter,in 1000,Männlich,8.7,
Insgesamt,in 1000,Männlich,697.3,
0 – 3,in 1000,Männlich,29643.8,
3 – 6,in 1000,Männlich,34164.18,
6 – 15,in 1000,Männlich,91291.25,
15 – 20,in 1000,Männlich,52348.7,
20 – 40,in 1000,Männlich,200935.84,
40 – 65,in 1000,Männlich,209070.29,
65 – 80,in 1000,Männlich,49345.26,
80 und älter,in 1000,Männlich,8480.54,
Insgesamt,in 1000,Männlich,675279.86,
0 – 3,in 1000,Weiblich,42.1385,
3 – 6,in 1000,Weiblich,37.17029,
6 – 15,in 1000,Weiblich,109.78659,
15 – 20,in 1000,Weiblich,55.1153,
20 – 40,in 1000,Weiblich,256.22624,
40 – 65,in 1000,Weiblich,260.36651,
65 – 80,in 1000,Weiblich,69.25161,
80 und älter,in 1000,Weiblich,19.45996,
Insgesamt,in 1000,Weiblich,849.51499,
0 – 3,in 1000,Weiblich,37.8791,
3 – 6,in 1000,Weiblich,38.64803,
6 – 15,in 1000,Weiblich,103.20057,
15 – 20,in 1000,Weiblich,56.27779,
20 – 40,in 1000,Weiblich,252.66542,
40 – 65,in 1000,Weiblich,259.90301,
65 – 80,in 1000,Weiblich,66.4311,
80 und älter,in 1000,Weiblich,20.70491,
Insgesamt,in 1000,Weiblich,835.70994,
0 – 3,in 1000,Weiblich,38.32562,
3 – 6,in 1000,Weiblich,35.64433,
6 – 15,in 1000,Weiblich,102.05597,
15 – 20,in 1000,Weiblich,52.76758,
20 – 40,in 1000,Weiblich,233.58628,
40 – 65,in 1000,Weiblich,246.05445,
65 – 80,in 1000,Weiblich,62.43287,
80 und älter,in 1000,Weiblich,20.16277,
Insgesamt,in 1000,Weiblich,791.02988,
0 – 3,in 1000,Weiblich,36.9,
3 – 6,in 1000,Weiblich,31.4,
6 – 15,in 1000,Weiblich,95.1,
15 – 20,in 1000,Weiblich,46.5,
20 – 40,in 1000,Weiblich,222.2,
40 – 65,in 1000,Weiblich,232.3,
65 – 80,in 1000,Weiblich,62.8,
80 und älter,in 1000,Weiblich,18.6,
Insgesamt,in 1000,Weiblich,745.8,
0 – 3,in 1000,Weiblich,30.3,
3 – 6,in 1000,Weiblich,32.3,
6 – 15,in 1000,Weiblich,84.3,
15 – 20,in 1000,Weiblich,43.9,
20 – 40,in 1000,Weiblich,204,
40 – 65,in 1000,Weiblich,220.9,
65 – 80,in 1000,Weiblich,55.8,
80 und älter,in 1000,Weiblich,16.4,
Insgesamt,in 1000,Weiblich,688.1,
0 – 3,in 1000,Weiblich,31.5,
3 – 6,in 1000,Weiblich,30,
6 – 15,in 1000,Weiblich,86.1,
15 – 20,in 1000,Weiblich,44.6,
20 – 40,in 1000,Weiblich,196,
40 – 65,in 1000,Weiblich,215.2,
65 – 80,in 1000,Weiblich,52.3,
80 und älter,in 1000,Weiblich,18.1,
Insgesamt,in 1000,Weiblich,673.8,
0 – 3,in 1000,Weiblich,25.3,
3 – 6,in 1000,Weiblich,29.1,
6 – 15,in 1000,Weiblich,90.6,
15 – 20,in 1000,Weiblich,45.9,
20 – 40,in 1000,Weiblich,203.1,
40 – 65,in 1000,Weiblich,206.2,
65 – 80,in 1000,Weiblich,48.6,
80 und älter,in 1000,Weiblich,18.1,
Insgesamt,in 1000,Weiblich,666.9,
0 – 3,in 1000,Weiblich,28.1,
3 – 6,in 1000,Weiblich,30.2,
6 – 15,in 1000,Weiblich,94.6,
15 – 20,in 1000,Weiblich,50,
20 – 40,in 1000,Weiblich,210.4,
40 – 65,in 1000,Weiblich,217,
65 – 80,in 1000,Weiblich,54.8,
80 und älter,in 1000,Weiblich,16.1,
Insgesamt,in 1000,Weiblich,701.3,
0 – 3,in 1000,Weiblich,27.3,
3 – 6,in 1000,Weiblich,31.8,
