Year,Herkunftsland,Insgesamt,Value
2019,Europa ,Insgesamt,1069.568
2019,Bulgarien ,Insgesamt,23.99
2019,Frankreich ,Insgesamt,7.889
2019,Griechenland ,Insgesamt,24.66
2019,Italien ,Insgesamt,37.345
2019,Kroatien ,Insgesamt,16.246
2019,Niederlande ,Insgesamt,41.393
2019,Österreich ,Insgesamt,13.145
2019,Polen ,Insgesamt,245.253
2019,Portugal ,Insgesamt,6.647
2019,Rumänien ,Insgesamt,44.097
2019,Spanien ,Insgesamt,17.314
2019,Vereinigtes Königreich ,Insgesamt,19.812
2019, Sonstiges Europa ,Insgesamt,522.297
2019,Bosnien und Herzegowina ,Insgesamt,16.424
2019,Kosovo ,Insgesamt,44.127
2019,Russische Föderation ,Insgesamt,179.209
2019,Serbien ,Insgesamt,20.809
2019,Türkei ,Insgesamt,186.631
2019,Ukraine ,Insgesamt,27.589
2019,EU-Staaten,Insgesamt,547.271
2019,Afrika ,Insgesamt,54.087
2019,Marokko ,Insgesamt,6.678
2019,Ägypten  Algerien  Libyen  Tunesien ,Insgesamt,13.024
2019,Amerika ,Insgesamt,35.924
2019,Asien  Australien und Ozeanien ,Insgesamt,468.1
2019,Irak ,Insgesamt,38.106
2019,Iran ,Insgesamt,20.597
2019,Kasachstan ,Insgesamt,152.543
2019,Syrien ,Insgesamt,94.406
2019,Afghanistan ,Insgesamt,25.153
2019,Vietnam ,Insgesamt,18.516
2019,Ohne Angabe,Insgesamt,50.156
2019,Insgesamt,Insgesamt,1750.792
2018,Europa,Insgesamt,1062
2018,Bulgarien,Insgesamt,20
2018,Griechenland,Insgesamt,23
2018,Italien,Insgesamt,39
2018,Niederlande,Insgesamt,48
2018,Polen,Insgesamt,255
2018,Rumänien,Insgesamt,41
2018,Spanien,Insgesamt,18
2018,Vereinigtes Königreich,Insgesamt,17
2018,Kosovo,Insgesamt,41
2018,Russische Föderation,Insgesamt,178
2018,Serbien,Insgesamt,19
2018,Türkei,Insgesamt,182
2018,Ukraine,Insgesamt,29
2018,EU-Staaten,Insgesamt,560
2018,Afrika,Insgesamt,49
2018,Ägypten  Algerien  Libyen  Tunesien,Insgesamt,14
2018,Amerika,Insgesamt,35
2018,Asien  Australien und Ozeanien,Insgesamt,471
2018,Irak,Insgesamt,31
2018,Iran,Insgesamt,20
2018,Kasachstan,Insgesamt,163
2018,Syrien,Insgesamt,99
2018,Afghanistan,Insgesamt,21
2018,Vietnam,Insgesamt,22
2018,Ohne Angabe,Insgesamt,39
2018,Insgesamt,Insgesamt,1726
2017,Europa,Insgesamt,1063.6
2017,Bulgarien,Insgesamt,18.7
2017,Griechenland,Insgesamt,20.8
2017,Italien,Insgesamt,35.2
2017,Niederlande,Insgesamt,41.6
2017,Polen,Insgesamt,245.1
2017,Rumänien,Insgesamt,38.2
2017,Spanien,Insgesamt,16.3
2017,Vereinigtes Königreich,Insgesamt,16.2
2017,Kosovo,Insgesamt,39.3
2017,Russische Föderation,Insgesamt,203
2017,Serbien,Insgesamt,23.6
2017,Türkei,Insgesamt,186.8
2017,Ukraine,Insgesamt,27.3
2017,EU-Staaten,Insgesamt,525.8
2017,Afrika,Insgesamt,50.2
2017,Ägypten  Algerien  Libyen  Tunesien,Insgesamt,13.8
2017,Amerika,Insgesamt,31.4
2017,Asien  Australien und Ozeanien,Insgesamt,446.1
2017,Irak,Insgesamt,33.5
2017,Iran,Insgesamt,18.4
2017,Kasachstan,Insgesamt,159.9
2017,Syrien,Insgesamt,85.3
2017,Afghanistan,Insgesamt,18.9
2017,Vietnam,Insgesamt,17.8
2017,Ohne Angabe,Insgesamt,64.7
2017,Insgesamt,Insgesamt,1656
2015,Europa,Insgesamt,883.3
2015,Türkei,Insgesamt,192.9
2015,Polen,Insgesamt,163.1
2015,Russische Föderation,Insgesamt,153
2015,Niederlande,Insgesamt,45.8
2015,Italien,Insgesamt,34.1
2015,Rumänien,Insgesamt,24.9
2015,Sowjetunion,Insgesamt,24.6
2015,Griechenland,Insgesamt,20.7
2015,Serbien,Insgesamt,20.6
2015,Kosovo,Insgesamt,19.4
2015,Ukraine,Insgesamt,19
2015,Spanien,Insgesamt,15.2
2015,Bulgarien,Insgesamt,14.7
2015,Österreich,Insgesamt,13.1
2015,EU-Staaten,Insgesamt,398.6
2015,Afrika,Insgesamt,28.7
2015,Amerika,Insgesamt,23.5
2015,Asien  Australien und Ozeanien,Insgesamt,310.3
2015,Kasachstan,Insgesamt,138.4
2015,Syrien,Insgesamt,23.2
2015,Libanon,Insgesamt,19.3
2015,Vietnam,Insgesamt,17.6
2015,Iran,Insgesamt,15.7
2015,Irak,Insgesamt,14.6
2015,Ohne Angabe,Insgesamt,154.4
2015,Insgesamt,Insgesamt,1400.2
2014,Europa,Insgesamt,896
2014,Türkei,Insgesamt,193
2014,Russische Föderation,Insgesamt,176.4
2014,Polen,Insgesamt,165.3
2014,Niederlande,Insgesamt,47.8
2014,Italien,Insgesamt,32.8
2014,Sowjetunion,Insgesamt,29.5
2014,Ukraine,Insgesamt,25.8
2014,Serbien,Insgesamt,22.5
2014,Rumänien,Insgesamt,21.5
2014,Kosovo,Insgesamt,19.7
2014,Griechenland,Insgesamt,18.4
2014,Spanien,Insgesamt,15.3
2014,Vereinigtes Königreich,Insgesamt,13.9
2014,Kroatien,Insgesamt,11.9
2014,Österreich,Insgesamt,11.1
2014,EU-Staaten,Insgesamt,389
2014,Afrika,Insgesamt,33
2014,Amerika,Insgesamt,22
2014,Asien  Australien und Ozeanien,Insgesamt,278
2014,Kasachstan,Insgesamt,129.2
2014,Vietnam,Insgesamt,17.8
2014,Libanon,Insgesamt,17.8
2014,Iran,Insgesamt,13.3
2014,Syrien,Insgesamt,10.7
2014,Ohne Angabe,Insgesamt,126
2014,Insgesamt,Insgesamt,1356
2019,Europa ,dav. Männer,540.302
2019,Bulgarien ,dav. Männer,12.865
2019,Frankreich ,dav. Männer,/
2019,Griechenland ,dav. Männer,14.11
2019,Italien ,dav. Männer,22.067
2019,Kroatien ,dav. Männer,8.937
2019,Niederlande ,dav. Männer,25.547
2019,Österreich ,dav. Männer,6.445
2019,Polen ,dav. Männer,120.11
2019,Portugal ,dav. Männer,/
2019,Rumänien ,dav. Männer,23.337
2019,Spanien ,dav. Männer,10.167
2019,Vereinigtes Königreich ,dav. Männer,12.516
2019, Sonstiges Europa ,dav. Männer,253.935
2019,Bosnien und Herzegowina ,dav. Männer,7.748
2019,Kosovo ,dav. Männer,22.157
2019,Russische Föderation ,dav. Männer,83.476
2019,Serbien ,dav. Männer,10.463
2019,Türkei ,dav. Männer,94.712
2019,Ukraine ,dav. Männer,12.117
2019,EU-Staaten,dav. Männer,286.367
2019,Afrika ,dav. Männer,34.247
2019,Marokko ,dav. Männer,/
2019,Ägypten  Algerien  Libyen  Tunesien ,dav. Männer,9.355
2019,Amerika ,dav. Männer,17.595
2019,Asien  Australien und Ozeanien ,dav. Männer,246.272
2019,Irak ,dav. Männer,20.61
2019,Iran ,dav. Männer,12.776
2019,Kasachstan ,dav. Männer,75.487
2019,Syrien ,dav. Männer,55.947
2019,Afghanistan ,dav. Männer,14.985
2019,Vietnam ,dav. Männer,9.132
2019,Ohne Angabe,dav. Männer,25.944
2019,Insgesamt,dav. Männer,901.277
2018,Europa,dav. Männer,537
2018,Bulgarien,dav. Männer,11
2018,Griechenland,dav. Männer,12
2018,Italien,dav. Männer,23
2018,Niederlande,dav. Männer,29
2018,Polen,dav. Männer,125
2018,Rumänien,dav. Männer,22
2018,Spanien,dav. Männer,9
2018,Vereinigtes Königreich,dav. Männer,11
2018,Kosovo,dav. Männer,22
2018,Russische Föderation,dav. Männer,85
2018,Serbien,dav. Männer,10
2018,Türkei,dav. Männer,92
2018,Ukraine,dav. Männer,12
2018,EU-Staaten,dav. Männer,291
2018,Afrika,dav. Männer,33
2018,Ägypten  Algerien  Libyen  Tunesien,dav. Männer,9
2018,Amerika,dav. Männer,15
2018,Asien  Australien und Ozeanien,dav. Männer,249
2018,Irak,dav. Männer,20
2018,Iran,dav. Männer,12
2018,Kasachstan,dav. Männer,81
2018,Syrien,dav. Männer,58
2018,Afghanistan,dav. Männer,12
2018,Vietnam,dav. Männer,11
2018,Ohne Angabe,dav. Männer,21
2018,Insgesamt,dav. Männer,890
2017,Europa,dav. Männer,547
2017,Bulgarien,dav. Männer,10.2
2017,Griechenland,dav. Männer,11.7
2017,Italien,dav. Männer,22.4
2017,Niederlande,dav. Männer,26.1
2017,Polen,dav. Männer,119
