Year,Wanderungsziel,Value
2005,Europa insgesamt,41701.0
2005,Bulgarien,396.0
2005,Griechenland,1008.0
2005,Italien,1375.0
2005,Kroatien,438.0
2005,Litauen,321.0
2005,Moldau  Republik,34.0
2005,Niederlande,1191.0
2005,Österreich,804.0
2005,Polen,20880.0
2005,Rumänien,584.0
2005,Schweiz,771.0
2005,Serbien (ab 2008),
2005,Spanien,1446.0
2005,Türkei,2012.0
2005,Ukraine,441.0
2005,Ungarn,1435.0
2005,Vereinigtes Königreich  Nordirland,1329.0
2005,EU Staaten,35054.0
2005,Afrika insgesamt,1545.0
2005,Amerika insgesamt,3678.0
2005,Vereinigte Staaten,1677.0
2005,Asien insgesamt,5059.0
2005,China,962.0
2005,Australien und Ozeanien,396.0
2005,Sonstige Ziele,2997.0
2005,ohne Angabe,0.0
2005,Insgesamt,55376.0
2006,Europa insgesamt,44056.0
2006,Bulgarien,304.0
2006,Griechenland,904.0
2006,Italien,1280.0
2006,Kroatien,352.0
2006,Litauen,495.0
2006,Moldau  Republik,41.0
2006,Niederlande,1342.0
2006,Österreich,852.0
2006,Polen,22721.0
2006,Rumänien,726.0
2006,Schweiz,1060.0
2006,Serbien (ab 2008),
2006,Spanien,1649.0
2006,Türkei,2046.0
2006,Ukraine,395.0
2006,Ungarn,1719.0
2006,Vereinigtes Königreich  Nordirland,1428.0
2006,EU Staaten,37538.0
2006,Afrika insgesamt,1512.0
2006,Amerika insgesamt,3627.0
2006,Vereinigte Staaten,1584.0
2006,Asien insgesamt,4600.0
2006,China,937.0
2006,Australien und Ozeanien,413.0
2006,Sonstige Ziele,2129.0
2006,ohne Angabe,7.0
2006,Insgesamt,56337.0
2007,Europa insgesamt,46198.0
2007,Bulgarien,592.0
2007,Griechenland,832.0
2007,Italien,1226.0
2007,Kroatien,435.0
2007,Litauen,571.0
2007,Moldau  Republik,30.0
2007,Niederlande,1555.0
2007,Österreich,897.0
2007,Polen,23694.0
2007,Rumänien,1668.0
2007,Schweiz,1264.0
2007,Serbien (ab 2008),
2007,Spanien,1504.0
2007,Türkei,1889.0
2007,Ukraine,329.0
2007,Ungarn,2058.0
2007,Vereinigtes Königreich  Nordirland,1242.0
2007,EU Staaten,40122.0
2007,Afrika insgesamt,1367.0
2007,Amerika insgesamt,4031.0
2007,Vereinigte Staaten,1604.0
2007,Asien insgesamt,4615.0
2007,China,858.0
2007,Australien und Ozeanien,502.0
2007,Sonstige Ziele,2314.0
2007,ohne Angabe,2.0
2007,Insgesamt,59027.0
2008,Europa insgesamt,52345.0
2008,Bulgarien,1232.0
2008,Griechenland,1049.0
2008,Italien,1359.0
2008,Kroatien,395.0
2008,Litauen,535.0
2008,Moldau  Republik,31.0
2008,Niederlande,1676.0
2008,Österreich,1127.0
2008,Polen,23944.0
2008,Rumänien,3399.0
2008,Schweiz,1828.0
2008,Serbien (ab 2008),193.0
2008,Spanien,1707.0
2008,Türkei,2159.0
2008,Ukraine,451.0
2008,Ungarn,2415.0
2008,Vereinigtes Königreich  Nordirland,1434.0
2008,EU Staaten,44373.0
2008,Afrika insgesamt,1598.0
2008,Amerika insgesamt,5228.0
2008,Vereinigte Staaten,1972.0
2008,Asien insgesamt,5596.0
2008,China,1235.0
2008,Australien und Ozeanien,608.0
2008,Sonstige Ziele,2739.0
2008,ohne Angabe,8.0
2008,Insgesamt,68114.0
2009,Europa insgesamt,51736.0
2009,Bulgarien,1841.0
2009,Griechenland,954.0
2009,Italien,1320.0
2009,Kroatien,485.0
2009,Litauen,424.0
2009,Moldau  Republik,38.0
2009,Niederlande,1647.0
2009,Österreich,1025.0
2009,Polen,22459.0
2009,Rumänien,5282.0
2009,Schweiz,1510.0
2009,Serbien (ab 2008),717.0
2009,Spanien,1486.0
2009,Türkei,2076.0
2009,Ukraine,293.0
2009,Ungarn,2632.0
2009,Vereinigtes Königreich  Nordirland,1435.0
2009,EU Staaten,44947.0
2009,Afrika insgesamt,1348.0
2009,Amerika insgesamt,4375.0
2009,Vereinigte Staaten,1844.0
2009,Asien insgesamt,5258.0
2009,China,1033.0
2009,Australien und Ozeanien,562.0
2009,Sonstige Ziele,3003.0
2009,ohne Angabe,19.0
2009,Insgesamt,66282.0
2010,Europa insgesamt,48102.0
2010,Bulgarien,2242.0
2010,Griechenland,698.0
2010,Italien,1232.0
2010,Kroatien,312.0
2010,Litauen,423.0
2010,Moldau  Republik,29.0
2010,Niederlande,1520.0
2010,Österreich,859.0
2010,Polen,20217.0
2010,Rumänien,6223.0
2010,Schweiz,1285.0
2010,Serbien (ab 2008),907.0
2010,Spanien,1320.0
2010,Türkei,1817.0
2010,Ukraine,242.0
2010,Ungarn,2054.0
2010,Vereinigtes Königreich  Nordirland,1176.0
2010,EU Staaten,41807.0
2010,Afrika insgesamt,1208.0
