Year,Gebietseinheit,GeoCode,Value
2005,Braunschweig Stadt,K03101,8.2
2005,Salzgitter Stadt,K03102,9.9
2005,Wolfsburg Stadt,K03103,9.8
2005,Gifhorn,K03151,4.3
2005,Goslar,K03153,4.9
2005,Helmstedt,K03154,3.7
2005,Northeim,K03155,3.9
2005,Peine,K03157,5.0
2005,Wolfenbüttel,K03158,3.8
2005,Göttingen,K03159,5.8
2005,Statistische Region Braunschweig,K031,6.0
2005,Hannover Region,K03241,10.2
2005,Hannover Landeshauptstadt,K03241001,14.5
2005,Diepholz,K03251,3.8
2005,Hameln-Pyrmont,K03252,6.8
2005,Hildesheim,K03254,5.0
2005,Holzminden,K03255,4.4
2005,Nienburg (Weser),K03256,4.3
2005,Schaumburg,K03257,5.8
2005,Statistische Region Hannover,K032,7.7
2005,Celle,K03351,4.2
2005,Cuxhaven,K03352,4.2
2005,Harburg,K03353,4.5
2005,Lüchow-Dannenberg,K03354,2.4
2005,Lüneburg,K03355,3.9
2005,Osterholz,K03356,3.5
2005,Rotenburg (Wümme),K03357,3.9
2005,Heidekreis,K03358,4.1
2005,Stade,K03359,4.0
2005,Uelzen,K03360,2.8
2005,Verden,K03361,5.0
2005,Statistische Region Lüneburg,K033,4.0
2005,Delmenhorst.Stadt,K03401,8.8
2005,Emden Stadt,K03402,5.3
2005,Oldenburg (Oldb) Stadt,K03403,6.2
2005,Osnabrück Stadt,K03404,9.2
2005,Wilhelmshaven Stadt,K03405,4.6
2005,Ammerland,K03451,2.8
2005,Aurich,K03452,2.8
2005,Cloppenburg,K03453,4.0
2005,Emsland,K03454,4.0
2005,Friesland,K03455,2.7
2005,Grafschaft Bentheim,K03456,9.8
2005,Leer,K03457,3.9
2005,Oldenburg,K03458,3.4
2005,Osnabrück,K03459,4.5
2005,Vechta,K03460,6.7
2005,Wesermarsch,K03461,5.5
2005,Wittmund,K03462,2.2
2005,Statistische Region Weser-Ems,K034,5.0
2005,Niedersachsen,K030,5.7
2006,Braunschweig Stadt,K03101,8.2
2006,Salzgitter Stadt,K03102,9.8
2006,Wolfsburg Stadt,K03103,9.9
2006,Gifhorn,K03151,4.2
2006,Goslar,K03153,4.8
2006,Helmstedt,K03154,3.7
2006,Northeim,K03155,3.8
2006,Peine,K03157,4.9
2006,Wolfenbüttel,K03158,3.7
2006,Göttingen,K03159,5.7
2006,Statistische Region Braunschweig,K031,5.9
2006,Hannover Region,K03241,10.1
2006,Hannover Landeshauptstadt,K03241001,14.5
2006,Diepholz,K03251,3.7
2006,Hameln-Pyrmont,K03252,6.6
2006,Hildesheim,K03254,4.9
2006,Holzminden,K03255,4.2
2006,Nienburg (Weser),K03256,4.3
2006,Schaumburg,K03257,5.5
2006,Statistische Region Hannover,K032,7.6
2006,Celle,K03351,4.1
2006,Cuxhaven,K03352,4.1
2006,Harburg,K03353,4.3
2006,Lüchow-Dannenberg,K03354,2.4
2006,Lüneburg,K03355,3.8
2006,Osterholz,K03356,3.5
2006,Rotenburg (Wümme),K03357,3.9
2006,Heidekreis,K03358,4.2
2006,Stade,K03359,4.0
2006,Uelzen,K03360,2.8
2006,Verden,K03361,5.0
2006,Statistische Region Lüneburg,K033,4.0
2006,Delmenhorst.Stadt,K03401,8.6
2006,Emden Stadt,K03402,5.1
2006,Oldenburg (Oldb) Stadt,K03403,6.1
2006,Osnabrück Stadt,K03404,9.0
2006,Wilhelmshaven Stadt,K03405,4.4
2006,Ammerland,K03451,2.8
2006,Aurich,K03452,2.8
2006,Cloppenburg,K03453,4.1
2006,Emsland,K03454,4.5
2006,Friesland,K03455,2.7
2006,Grafschaft Bentheim,K03456,10.4
2006,Leer,K03457,4.0
2006,Oldenburg,K03458,3.4
2006,Osnabrück,K03459,4.5
2006,Vechta,K03460,6.7
2006,Wesermarsch,K03461,5.6
2006,Wittmund,K03462,2.1
2006,Statistische Region Weser-Ems,K034,5.1
2006,Niedersachsen,K030,5.7
2007,Braunschweig Stadt,K03101,8.0
2007,Salzgitter Stadt,K03102,9.7
2007,Wolfsburg Stadt,K03103,9.8
2007,Gifhorn,K03151,4.1
2007,Goslar,K03153,4.8
2007,Helmstedt,K03154,3.6
2007,Northeim,K03155,3.7
2007,Peine,K03157,4.8
2007,Wolfenbüttel,K03158,3.6
2007,Göttingen,K03159,5.5
2007,Statistische Region Braunschweig,K031,5.8
2007,Hannover Region,K03241,10.1
2007,Hannover Landeshauptstadt,K03241001,14.4
2007,Diepholz,K03251,3.8
2007,Hameln-Pyrmont,K03252,6.5
2007,Hildesheim,K03254,4.8
2007,Holzminden,K03255,4.2
2007,Nienburg (Weser),K03256,4.2
2007,Schaumburg,K03257,5.4
2007,Statistische Region Hannover,K032,7.6
2007,Celle,K03351,4.0
2007,Cuxhaven,K03352,4.1
2007,Harburg,K03353,4.3
2007,Lüchow-Dannenberg,K03354,2.5
2007,Lüneburg,K03355,3.7
2007,Osterholz,K03356,3.4
2007,Rotenburg (Wümme),K03357,3.9
2007,Heidekreis,K03358,4.1
2007,Stade,K03359,4.0
2007,Uelzen,K03360,2.8
2007,Verden,K03361,4.9
2007,Statistische Region Lüneburg,K033,3.9
2007,Delmenhorst.Stadt,K03401,8.4
2007,Emden Stadt,K03402,5.1
2007,Oldenburg (Oldb) Stadt,K03403,6.1
2007,Osnabrück Stadt,K03404,8.9
2007,Wilhelmshaven Stadt,K03405,4.4
2007,Ammerland,K03451,2.8
2007,Aurich,K03452,2.8
2007,Cloppenburg,K03453,4.3
2007,Emsland,K03454,4.9
2007,Friesland,K03455,2.7
2007,Grafschaft Bentheim,K03456,10.7
2007,Leer,K03457,4.2
2007,Oldenburg,K03458,3.5
2007,Osnabrück,K03459,4.6
2007,Vechta,K03460,6.6
2007,Wesermarsch,K03461,5.5
2007,Wittmund,K03462,2.1
2007,Statistische Region Weser-Ems,K034,5.2
2007,Niedersachsen,K030,5.7
2008,Braunschweig Stadt,K03101,7.8
2008,Salzgitter Stadt,K03102,9.7
2008,Wolfsburg Stadt,K03103,9.8
2008,Gifhorn,K03151,4.0
2008,Goslar,K03153,4.8
2008,Helmstedt,K03154,3.5
2008,Northeim,K03155,3.6
2008,Peine,K03157,4.8
2008,Wolfenbüttel,K03158,3.6
2008,Göttingen,K03159,5.4
2008,Statistische Region Braunschweig,K031,5.7
2008,Hannover Region,K03241,9.9
2008,Hannover Landeshauptstadt,K03241001,14.2
2008,Diepholz,K03251,3.7
2008,Hameln-Pyrmont,K03252,6.5
2008,Hildesheim,K03254,4.7
2008,Holzminden,K03255,4.1
2008,Nienburg (Weser),K03256,4.2
2008,Schaumburg,K03257,5.2
2008,Statistische Region Hannover,K032,7.5
2008,Celle,K03351,4.1
2008,Cuxhaven,K03352,4.0
2008,Harburg,K03353,4.3
2008,Lüchow-Dannenberg,K03354,2.7
2008,Lüneburg,K03355,3.6
2008,Osterholz,K03356,3.4
2008,Rotenburg (Wümme),K03357,3.8
2008,Heidekreis,K03358,4.0
2008,Stade,K03359,4.0
2008,Uelzen,K03360,2.6
2008,Verden,K03361,4.9
2008,Statistische Region Lüneburg,K033,3.9
2008,Delmenhorst.Stadt,K03401,8.3
2008,Emden Stadt,K03402,5.0
2008,Oldenburg (Oldb) Stadt,K03403,5.8
2008,Osnabrück Stadt,K03404,8.9
2008,Wilhelmshaven Stadt,K03405,4.4
2008,Ammerland,K03451,2.8
2008,Aurich,K03452,2.7
2008,Cloppenburg,K03453,4.6
2008,Emsland,K03454,5.2
2008,Friesland,K03455,2.6
2008,Grafschaft Bentheim,K03456,11.3
2008,Leer,K03457,4.3
2008,Oldenburg,K03458,3.5
2008,Osnabrück,K03459,4.8
2008,Vechta,K03460,6.7
2008,Wesermarsch,K03461,5.5
2008,Wittmund,K03462,2.1
2008,Statistische Region Weser-Ems,K034,5.2
2008,Niedersachsen,K030,5.7
2009,Braunschweig Stadt,K03101,7.8
2009,Salzgitter Stadt,K03102,9.7
2009,Wolfsburg Stadt,K03103,9.7
2009,Gifhorn,K03151,4.0
2009,Goslar,K03153,4.8
2009,Helmstedt,K03154,3.5
2009,Northeim,K03155,3.6
2009,Peine,K03157,4.8
2009,Wolfenbüttel,K03158,3.5
2009,Göttingen,K03159,5.5
2009,Statistische Region Braunschweig,K031,5.7
2009,Hannover Region,K03241,9.9
2009,Hannover Landeshauptstadt,K03241001,14.1
2009,Diepholz,K03251,3.7
2009,Hameln-Pyrmont,K03252,6.5
2009,Hildesheim,K03254,4.7
2009,Holzminden,K03255,4.0
2009,Nienburg (Weser),K03256,4.2
2009,Schaumburg,K03257,5.2
2009,Statistische Region Hannover,K032,7.4
2009,Celle,K03351,4.1
2009,Cuxhaven,K03352,4.0
2009,Harburg,K03353,4.4
2009,Lüchow-Dannenberg,K03354,2.9
2009,Lüneburg,K03355,3.6
2009,Osterholz,K03356,3.3
2009,Rotenburg (Wümme),K03357,3.8
2009,Heidekreis,K03358,4.1
2009,Stade,K03359,4.1
2009,Uelzen,K03360,2.6
2009,Verden,K03361,4.8
2009,Statistische Region Lüneburg,K033,3.9
2009,Delmenhorst.Stadt,K03401,8.3
2009,Emden Stadt,K03402,4.6
2009,Oldenburg (Oldb) Stadt,K03403,5.8
2009,Osnabrück Stadt,K03404,8.9
2009,Wilhelmshaven Stadt,K03405,4.6
2009,Ammerland,K03451,2.9
2009,Aurich,K03452,2.7
2009,Cloppenburg,K03453,4.8
2009,Emsland,K03454,5.3
2009,Friesland,K03455,2.6
2009,Grafschaft Bentheim,K03456,11.5
2009,Leer,K03457,4.2
2009,Oldenburg,K03458,3.7
2009,Osnabrück,K03459,4.8
2009,Vechta,K03460,6.9
2009,Wesermarsch,K03461,5.4
2009,Wittmund,K03462,2.1
2009,Statistische Region Weser-Ems,K034,5.3
2009,Niedersachsen,K030,5.7
2010,Braunschweig Stadt,K03101,7.8
2010,Salzgitter Stadt,K03102,9.5
2010,Wolfsburg Stadt,K03103,9.7
2010,Gifhorn,K03151,4.0
2010,Goslar,K03153,4.8
2010,Helmstedt,K03154,3.6
2010,Northeim,K03155,3.6
2010,Peine,K03157,4.8
2010,Wolfenbüttel,K03158,3.6
2010,Göttingen,K03159,5.5
2010,Statistische Region Braunschweig,K031,5.7
2010,Hannover Region,K03241,9.8
2010,Hannover Landeshauptstadt,K03241001,14.0
2010,Diepholz,K03251,3.8
2010,Hameln-Pyrmont,K03252,6.7
2010,Hildesheim,K03254,4.8
2010,Holzminden,K03255,4.1
2010,Nienburg (Weser),K03256,4.2
2010,Schaumburg,K03257,5.1
2010,Statistische Region Hannover,K032,7.5
2010,Celle,K03351,4.2
2010,Cuxhaven,K03352,4.0
2010,Harburg,K03353,4.5
2010,Lüchow-Dannenberg,K03354,3.0
2010,Lüneburg,K03355,3.6
