Year,Kategorie,Altersgrupppe,Units,Value
2024,Inobhutnahmen aufgrund unbegleiteter Einreise aus dem Ausland,,Fälle,1881.0
2023,Inobhutnahmen aufgrund unbegleiteter Einreise aus dem Ausland,,Fälle,2688.0
2022,Inobhutnahmen aufgrund unbegleiteter Einreise aus dem Ausland,,Fälle,1489.0
2021,Inobhutnahmen aufgrund unbegleiteter Einreise aus dem Ausland,,Fälle,665.0
2020,Inobhutnahmen aufgrund unbegleiteter Einreise aus dem Ausland,,Fälle,511.0
2019,Inobhutnahmen aufgrund unbegleiteter Einreise aus dem Ausland,,Fälle,596.0
2018,Inobhutnahmen aufgrund unbegleiteter Einreise aus dem Ausland,,Fälle,870.0
2017,Inobhutnahmen aufgrund unbegleiteter Einreise aus dem Ausland,,Fälle,1360.0
2024,Vorläufige Inobhutnahme nach §42a SGB VIII,,Fälle,691.0
2023,Vorläufige Inobhutnahme nach §42a SGB VIII,,Fälle,1145.0
2022,Vorläufige Inobhutnahme nach §42a SGB VIII,,Fälle,781.0
2021,Vorläufige Inobhutnahme nach §42a SGB VIII,,Fälle,357.0
2020,Vorläufige Inobhutnahme nach §42a SGB VIII,,Fälle,274.0
2019,Vorläufige Inobhutnahme nach §42a SGB VIII,,Fälle,291.0
2018,Vorläufige Inobhutnahme nach §42a SGB VIII,,Fälle,381.0
2017,Vorläufige Inobhutnahme nach §42a SGB VIII,,Fälle,502.0
2024,Vorläufige Inobhutnahme nach §42a SGB VIII,unter 3 Jahren,Fälle,
2023,Vorläufige Inobhutnahme nach §42a SGB VIII,unter 3 Jahren,Fälle,2.0
2022,Vorläufige Inobhutnahme nach §42a SGB VIII,unter 3 Jahren,Fälle,4.0
2021,Vorläufige Inobhutnahme nach §42a SGB VIII,unter 3 Jahren,Fälle,2.0
2020,Vorläufige Inobhutnahme nach §42a SGB VIII,unter 3 Jahren,Fälle,4.0
2019,Vorläufige Inobhutnahme nach §42a SGB VIII,unter 3 Jahren,Fälle,5.0
2018,Vorläufige Inobhutnahme nach §42a SGB VIII,unter 3 Jahren,Fälle,6.0
2017,Vorläufige Inobhutnahme nach §42a SGB VIII,unter 3 Jahren,Fälle,1.0
2024,Vorläufige Inobhutnahme nach §42a SGB VIII,3 bis unter 6 Jahren,Fälle,4.0
2023,Vorläufige Inobhutnahme nach §42a SGB VIII,3 bis unter 6 Jahren,Fälle,1.0
2022,Vorläufige Inobhutnahme nach §42a SGB VIII,3 bis unter 6 Jahren,Fälle,3.0
2021,Vorläufige Inobhutnahme nach §42a SGB VIII,3 bis unter 6 Jahren,Fälle,1.0
2020,Vorläufige Inobhutnahme nach §42a SGB VIII,3 bis unter 6 Jahren,Fälle,4.0
2019,Vorläufige Inobhutnahme nach §42a SGB VIII,3 bis unter 6 Jahren,Fälle,4.0
2018,Vorläufige Inobhutnahme nach §42a SGB VIII,3 bis unter 6 Jahren,Fälle,6.0
2017,Vorläufige Inobhutnahme nach §42a SGB VIII,3 bis unter 6 Jahren,Fälle,3.0
2024,Vorläufige Inobhutnahme nach §42a SGB VIII,6 bis unter 9 Jahren,Fälle,2.0
2023,Vorläufige Inobhutnahme nach §42a SGB VIII,6 bis unter 9 Jahren,Fälle,11.0
2022,Vorläufige Inobhutnahme nach §42a SGB VIII,6 bis unter 9 Jahren,Fälle,11.0
2021,Vorläufige Inobhutnahme nach §42a SGB VIII,6 bis unter 9 Jahren,Fälle,8.0
2020,Vorläufige Inobhutnahme nach §42a SGB VIII,6 bis unter 9 Jahren,Fälle,3.0
2019,Vorläufige Inobhutnahme nach §42a SGB VIII,6 bis unter 9 Jahren,Fälle,7.0
2018,Vorläufige Inobhutnahme nach §42a SGB VIII,6 bis unter 9 Jahren,Fälle,8.0
2017,Vorläufige Inobhutnahme nach §42a SGB VIII,6 bis unter 9 Jahren,Fälle,6.0
2024,Vorläufige Inobhutnahme nach §42a SGB VIII,9 bis unter 12 Jahren,Fälle,11.0
2023,Vorläufige Inobhutnahme nach §42a SGB VIII,9 bis unter 12 Jahren,Fälle,18.0
2022,Vorläufige Inobhutnahme nach §42a SGB VIII,9 bis unter 12 Jahren,Fälle,12.0
2021,Vorläufige Inobhutnahme nach §42a SGB VIII,9 bis unter 12 Jahren,Fälle,8.0
2020,Vorläufige Inobhutnahme nach §42a SGB VIII,9 bis unter 12 Jahren,Fälle,16.0
2019,Vorläufige Inobhutnahme nach §42a SGB VIII,9 bis unter 12 Jahren,Fälle,14.0
2018,Vorläufige Inobhutnahme nach §42a SGB VIII,9 bis unter 12 Jahren,Fälle,14.0
2017,Vorläufige Inobhutnahme nach §42a SGB VIII,9 bis unter 12 Jahren,Fälle,8.0
2024,Vorläufige Inobhutnahme nach §42a SGB VIII,12 bis unter 14 Jahren,Fälle,33.0
2023,Vorläufige Inobhutnahme nach §42a SGB VIII,12 bis unter 14 Jahren,Fälle,69.0
2022,Vorläufige Inobhutnahme nach §42a SGB VIII,12 bis unter 14 Jahren,Fälle,43.0
2021,Vorläufige Inobhutnahme nach §42a SGB VIII,12 bis unter 14 Jahren,Fälle,19.0
2020,Vorläufige Inobhutnahme nach §42a SGB VIII,12 bis unter 14 Jahren,Fälle,27.0
2019,Vorläufige Inobhutnahme nach §42a SGB VIII,12 bis unter 14 Jahren,Fälle,13.0
