Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2023) zu 2005,"Braunschweig, Stadt",K03101,439
Veränderung aktuelles Jahr (2023) zu 2005,"Salzgitter, Stadt",K03102,230
Veränderung aktuelles Jahr (2023) zu 2005,"Wolfsburg, Stadt",K03103,481
Veränderung aktuelles Jahr (2023) zu 2005,Gifhorn,K03151,-19
Veränderung aktuelles Jahr (2023) zu 2005,Goslar,K03153,261
Veränderung aktuelles Jahr (2023) zu 2005,Helmstedt,K03154,61
Veränderung aktuelles Jahr (2023) zu 2005,Northeim,K03155,97
Veränderung aktuelles Jahr (2023) zu 2005,Peine,K03157,50
Veränderung aktuelles Jahr (2023) zu 2005,Wolfenbüttel,K03158,38
Veränderung aktuelles Jahr (2023) zu 2005,Göttingen,K03159,333
Veränderung aktuelles Jahr (2023) zu 2005,Statistische Region Braunschweig,K031,1971
Veränderung aktuelles Jahr (2023) zu 2005,Region Hannover,K03241,-210
Veränderung aktuelles Jahr (2023) zu 2005,"dav. Hannover, Lhst.",K03241001,-233
Veränderung aktuelles Jahr (2023) zu 2005,"dav. Hannover, Umland",K03241999,23
Veränderung aktuelles Jahr (2023) zu 2005,Diepholz,K03251,60
Veränderung aktuelles Jahr (2023) zu 2005,Hameln-Pyrmont,K03252,-186
Veränderung aktuelles Jahr (2023) zu 2005,Hildesheim,K03254,90
Veränderung aktuelles Jahr (2023) zu 2005,Holzminden,K03255,36
Veränderung aktuelles Jahr (2023) zu 2005,Nienburg (Weser),K03256,-1
Veränderung aktuelles Jahr (2023) zu 2005,Schaumburg,K03257,70
Veränderung aktuelles Jahr (2023) zu 2005,Statistische Region Hannover,K032,-141
Veränderung aktuelles Jahr (2023) zu 2005,Celle,K03351,5
Veränderung aktuelles Jahr (2023) zu 2005,Cuxhaven,K03352,217
Veränderung aktuelles Jahr (2023) zu 2005,Harburg,K03353,475
Veränderung aktuelles Jahr (2023) zu 2005,Lüchow-Dannenberg,K03354,44
Veränderung aktuelles Jahr (2023) zu 2005,Lüneburg,K03355,340
Veränderung aktuelles Jahr (2023) zu 2005,Osterholz,K03356,115
Veränderung aktuelles Jahr (2023) zu 2005,Rotenburg (Wümme),K03357,134
Veränderung aktuelles Jahr (2023) zu 2005,Heidekreis,K03358,252
