Year,Gebietseinheit,Kategorie,Value
2009,Niedersachsen,Insgesamt bis unter 3 Jahre,11.9
2009,Deutschland,Insgesamt bis unter 3 Jahre,20.2
2010,Niedersachsen,Insgesamt bis unter 3 Jahre,15.8
2010,Deutschland,Insgesamt bis unter 3 Jahre,23.0
2011,Niedersachsen,Insgesamt bis unter 3 Jahre,18.6
2011,Deutschland,Insgesamt bis unter 3 Jahre,25.2
2012,Niedersachsen,Insgesamt bis unter 3 Jahre,22.1
2012,Deutschland,Insgesamt bis unter 3 Jahre,27.6
2013,Niedersachsen,Insgesamt bis unter 3 Jahre,24.4
2013,Deutschland,Insgesamt bis unter 3 Jahre,29.3
2014,Niedersachsen,Insgesamt bis unter 3 Jahre,27.9
2014,Deutschland,Insgesamt bis unter 3 Jahre,32.3
2015,Niedersachsen,Insgesamt bis unter 3 Jahre,28.3
2015,Deutschland,Insgesamt bis unter 3 Jahre,32.9
2016,Niedersachsen,Insgesamt bis unter 3 Jahre,28.4
2016,Deutschland,Insgesamt bis unter 3 Jahre,32.7
2017,Niedersachsen,Insgesamt bis unter 3 Jahre,29.6
2017,Deutschland,Insgesamt bis unter 3 Jahre,33.1
2018,Niedersachsen,Insgesamt bis unter 3 Jahre,30.9
2018,Deutschland,Insgesamt bis unter 3 Jahre,33.6
2019,Niedersachsen,Insgesamt bis unter 3 Jahre,32.1
2019,Deutschland,Insgesamt bis unter 3 Jahre,34.3
2020,Niedersachsen,Insgesamt bis unter 3 Jahre,32.9
2020,Deutschland,Insgesamt bis unter 3 Jahre,35.0
2021,Niedersachsen,Insgesamt bis unter 3 Jahre,31.9
2021,Deutschland,Insgesamt bis unter 3 Jahre,34.4
2022,Niedersachsen,Insgesamt bis unter 3 Jahre,33.8
2022,Deutschland,Insgesamt bis unter 3 Jahre,35.5
2009,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,88.1
2009,Deutschland,Insgesamt 3 bis unter 6 Jahre,91.6
2010,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,89.5
2010,Deutschland,Insgesamt 3 bis unter 6 Jahre,92.2
2011,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,91.6
2011,Deutschland,Insgesamt 3 bis unter 6 Jahre,93.0
2012,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,92.6
2012,Deutschland,Insgesamt 3 bis unter 6 Jahre,93.4
2013,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,93.6
2013,Deutschland,Insgesamt 3 bis unter 6 Jahre,93.6
2014,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,93.7
2014,Deutschland,Insgesamt 3 bis unter 6 Jahre,93.6
2015,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,94.8
2015,Deutschland,Insgesamt 3 bis unter 6 Jahre,94.9
2016,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,93.2
2016,Deutschland,Insgesamt 3 bis unter 6 Jahre,93.6
2017,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,93.2
2017,Deutschland,Insgesamt 3 bis unter 6 Jahre,93.4
2018,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,92.8
2018,Deutschland,Insgesamt 3 bis unter 6 Jahre,93.0
2019,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,92.7
2019,Deutschland,Insgesamt 3 bis unter 6 Jahre,93.0
2020,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,92.2
2020,Deutschland,Insgesamt 3 bis unter 6 Jahre,92.5
2021,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,91.6
2021,Deutschland,Insgesamt 3 bis unter 6 Jahre,91.9
2022,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,91.9
2022,Deutschland,Insgesamt 3 bis unter 6 Jahre,91.7
2009,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,6.1
2009,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,10.5
2010,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,8.0
2010,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,12.2
2011,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,9.236
2011,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,13.966
2012,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,12.0
2012,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,16.0
2013,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,13.0
2013,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,17.0
2014,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,15.0
2014,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,20.0
2015,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,15.0
2015,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,22.0
2016,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,15.0
2016,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,21.0
2017,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,15.0
2017,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,20.0
2018,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,15.0
2018,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,20.0
2019,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,16.0
2019,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,21.0
2020,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,17.0
2020,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,21.0
2021,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,17.0
2021,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,21.0
2022,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,17.0
2022,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,22.0
2009,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,75.6
2009,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,83.6
2010,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,79.3
2010,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,85.7
2011,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,82.67
2011,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,84.924
2012,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,79.0
2012,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,87.0
