Year,AGS,Gebietseinheit,Kinderbetreuung,Units,GeoCode,Value
2021,101,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,35.6571877866597
2021,102,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,46.9445314948292
2021,103,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,30.896273917422
2021,151,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,24.9313396399146
2021,153,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,19.1654676258993
2021,154,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,13.0390835579515
2021,155,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,23.3149750852347
2021,157,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,23.2814526588846
2021,158,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,17.7386421643696
2021,159,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,29.8158135748448
2021,1,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,27.5290378276566
2021,241,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,38.3225279493593
2021,241001,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,47.6677667766777
2021,241999,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,30.2314506143442
2021,251,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,21.8566728651123
2021,252,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,34.6473029045643
2021,254,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,29.3716168510238
2021,255,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,23.2134056185313
2021,256,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,20.7654512542022
2021,257,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,26.3357172907026
2021,2,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,33.1160720694853
2021,351,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,20.1652335187995
2021,352,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,15.546875
2021,353,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,21.8144195164452
2021,354,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,12.2005988023952
2021,355,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,20.9272376046362
2021,356,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,17.0100502512563
2021,357,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,17.5226586102719
2021,358,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,23.8338361568809
2021,359,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,17.4232598357112
2021,360,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,21.9750195160031
2021,361,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,23.3468559837728
2021,3,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,19.6436392942867
2021,401,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,44.3062200956938
2021,402,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,25.3198653198653
2021,403,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,32.8233410425191
2021,404,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,28.7807737397421
2021,405,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,29.3793793793794
2021,451,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,19.1878413678461
2021,452,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,14.6605211841872
2021,453,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,23.5154017148301
2021,454,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,20.3492013780144
2021,455,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,11.637519872814
2021,456,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,24.577861163227
2021,457,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,16.3790003595829
2021,458,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,16.9833450621628
2021,459,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,19.1765185487159
2021,460,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,22.4991162955108
2021,461,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,21.7873224800831
2021,462,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,11.3080684596577
2021,4,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,21.6988308542137
2021,0,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,25.4044317434742
2020,101,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,36.077355285509
2020,102,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,45.1092117758784
2020,103,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,29.7735924664396
2020,151,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,18.9227386934673
2020,153,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,21.4670065137355
2020,154,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,13.0891950688905
2020,155,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,21.613907628438
2020,157,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,25.252308353017
2020,158,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,16.7771545130036
2020,159,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,26.9834795023455
2020,1,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,26.2510108680645
2020,241,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,38.3061442293032
2020,241001,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,47.3969156731926
2021,241999,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,30.4157964685779
2020,251,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,21.5260813335249
2020,252,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,33.3483754512635
2020,254,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,29.0226813917587
2020,255,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,23.8916256157635
2020,256,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,21.5836526181354
2020,257,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,26.9541206457094
2020,2,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,33.0769561294204
2020,351,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,21.3195386702849
2020,352,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,16.3981496251396
2020,353,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,22.5205479452055
2020,354,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,12.0
2020,355,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,19.1765459788529
2020,356,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,18.8162762022195
2020,357,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,17.6968996726362
2020,358,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,24.3212149102623
2020,359,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,15.81408944753
2020,360,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,22.4776003116478
2020,361,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,18.9267886855241
2020,3,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,19.4150953380488
2020,401,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,42.143906020558
2020,402,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,26.3261296660118
2020,403,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,31.2421355383786
2020,404,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,30.3012404016539
2020,405,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,28.2419272168119
2020,451,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,20.9204038506692
2020,452,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,14.7329324372126
2020,453,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,25.0557502389296
2020,454,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,21.1459754433834
2020,455,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,11.6182572614108
2020,456,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,25.6716417910448
2020,457,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,16.2533936651584
2020,458,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,15.7281553398058
2020,459,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,18.9811352115017
2020,460,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,24.9606712113267
2020,461,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,22.5081551286698
2020,462,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,12.2721749696233
2020,4,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,22.1122190379195
2020,0,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,25.2555865975166
2019,101,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,35.4681103921828
2019,102,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,43.2249758609591
2019,103,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,40.3768791022655
2019,151,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,17.7857844742876
2019,153,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,21.9605534294966
2019,154,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,12.9743404409107
2019,155,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,21.9447396386823
2019,157,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,24.0621531631521
2019,158,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,18.227915665866
2019,159,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,26.5962898431895
2019,1,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,26.9283662985884
2019,241,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,38.2177343993355
2019,241001,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,47.5728155339806
2019,241999,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,29.9917069125323
2019,251,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,22.8625620075868
2019,252,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,30.9734513274336
2019,254,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,27.0609756097561
2019,255,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,24.4432936302434
2019,256,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,20.4234443583785
2019,257,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,28.3376963350785
2019,2,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,32.8141225337487
2019,351,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,20.2740201179327
2019,352,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,16.8186258547704
2019,353,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,20.996559760293
2019,354,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,13.0862329803328
