Year,Nationality,GeoCode,Value
2019,EuropaL1000,542155,
2019,Türkei,L163,88735.0
2019,Polen,L152,98015.0
2019,Serbien,L170,19115.0
2019,Niederlande,L148,29865.0
2019,Rumänien,L154,58980.0
2019,Italien,L137,28825.0
2019,Russische Föderation,L160,22260.0
2019,Griechenland,L134,18815.0
2019,Bulgarien,L125,28360.0
2019,Spanien,L161,11970.0
2019,Ukraine,L166,11345.0
2019,Vereinigtes Königreich,L168,6750.0
2019,Portugal,L153,8740.0
2019,Kroatien,L130,11915.0
2019,Ungarn,L165,9465.0
2019,EU Staaten,L999,359185.0
2019,Afrika,L2000,42015.0
2019,Amerika,L3000,17580.0
2019,Asien,L4000,226045.0
2019,Syrien,L475,84805.0
2019,Irak ,L438,41035.0
2019,Afghanistan,L423,21190.0
2019,China,L479,10490.0
2019,Vietnam,L432,8760.0
2019,Australien und Ozeanien,L5000,1065.0
2019,Sonstige Ausprägungen,L,12270.0
2019,Staatenlos,L997,3540.0
2019,Ungeklärt und ohne Angabe,L998,8730.0
2019,Insgesamt,L9999,841165.0
