Year,Migrationshuntergrund,Geschlecht,Migrationserfahrung,Units,Value
ohne Migrationshintergrund,insgesamt,,%,10,5
ohne Migrationshintergrund,männlich,,%,9,5
ohne Migrationshintergrund,weiblich,,%,8,5
ohne Migrationshintergrund,insgesamt,,%,12,5
ohne Migrationshintergrund,männlich,,%,11,5
ohne Migrationshintergrund,weiblich,,%,10,5
mit Migrationshintergrund,insgesamt,mit eigener Migrationserfahrung,%,20,5
mit Migrationshintergrund,männlich,mit eigener Migrationserfahrung,%,19,5
mit Migrationshintergrund,weiblich,mit eigener Migrationserfahrung,%,18,5
mit Migrationshintergrund,insgesamt,mit eigener Migrationserfahrung,%,30,5
mit Migrationshintergrund,männlich,mit eigener Migrationserfahrung,%,31,5
mit Migrationshintergrund,weiblich,mit eigener Migrationserfahrung,%,20,5
mit Migrationshintergrund,insgesamt,ohne eigene Migrationserfahrung,%,(99,"5"")"""
mit Migrationshintergrund,männlich,ohne eigene Migrationserfahrung,%,(19,"5"")"""
mit Migrationshintergrund,weiblich,ohne eigene Migrationserfahrung,%,18,5
mit Migrationshintergrund,insgesamt,ohne eigene Migrationserfahrung,%,/,
mit Migrationshintergrund,männlich,ohne eigene Migrationserfahrung,%,31,5
mit Migrationshintergrund,weiblich,ohne eigene Migrationserfahrung,%,20,5
