Year,Nationalität,Geschlecht,Units,Value
2021,Insgesamt,Insgesamt,Prozent,24.3
2020,Insgesamt,Insgesamt,Prozent,25.0
2019,Insgesamt,Insgesamt,Prozent,26.3
2018,Insgesamt,Insgesamt,Prozent,26.2
2017,Insgesamt,Insgesamt,Prozent,26.1
2016,Insgesamt,Insgesamt,Prozent,26.4
2015,Insgesamt,Insgesamt,Prozent,26.5
2014,Insgesamt,Insgesamt,Prozent,27.8
2013,Insgesamt,Insgesamt,Prozent,29.0
2012,Insgesamt,Insgesamt,Prozent,29.5
2011,Insgesamt,Insgesamt,Prozent,29.7
2021,Insgesamt,Männer,Prozent,31.0
2020,Insgesamt,Männer,Prozent,31.4
2019,Insgesamt,Männer,Prozent,32.5
2018,Insgesamt,Männer,Prozent,32.1
2017,Insgesamt,Männer,Prozent,31.4
2016,Insgesamt,Männer,Prozent,31.4
2015,Insgesamt,Männer,Prozent,31.4
2014,Insgesamt,Männer,Prozent,33.5
2013,Insgesamt,Männer,Prozent,34.8
2012,Insgesamt,Männer,Prozent,35.2
2011,Insgesamt,Männer,Prozent,35.0
2021,Insgesamt,Frauen,Prozent,17.1
2020,Insgesamt,Frauen,Prozent,18.1
2019,Insgesamt,Frauen,Prozent,19.4
2018,Insgesamt,Frauen,Prozent,19.7
2017,Insgesamt,Frauen,Prozent,20.4
2016,Insgesamt,Frauen,Prozent,20.9
2015,Insgesamt,Frauen,Prozent,21.0
2014,Insgesamt,Frauen,Prozent,21.6
2013,Insgesamt,Frauen,Prozent,22.9
2012,Insgesamt,Frauen,Prozent,23.4
2011,Insgesamt,Frauen,Prozent,24.1
2021,Deutsche,Insgesamt,Prozent,25.9
2020,Deutsche,Insgesamt,Prozent,26.5
2019,Deutsche,Insgesamt,Prozent,28.1
2018,Deutsche,Insgesamt,Prozent,28.3
2017,Deutsche,Insgesamt,Prozent,28.5
2016,Deutsche,Insgesamt,Prozent,28.9
2015,Deutsche,Insgesamt,Prozent,29.0
2014,Deutsche,Insgesamt,Prozent,29.5
2013,Deutsche,Insgesamt,Prozent,30.5
2012,Deutsche,Insgesamt,Prozent,30.8
2011,Deutsche,Insgesamt,Prozent,30.9
2021,Deutsche,Männer,Prozent,33.4
2020,Deutsche,Männer,Prozent,33.7
2019,Deutsche,Männer,Prozent,35.2
2018,Deutsche,Männer,Prozent,35.2
2017,Deutsche,Männer,Prozent,34.9
2016,Deutsche,Männer,Prozent,35.2
2015,Deutsche,Männer,Prozent,35.2
2014,Deutsche,Männer,Prozent,35.8
2013,Deutsche,Männer,Prozent,36.5
2012,Deutsche,Männer,Prozent,36.8
2011,Deutsche,Männer,Prozent,36.4
2021,Deutsche,Frauen,Prozent,18.0
2020,Deutsche,Frauen,Prozent,19.0
2019,Deutsche,Frauen,Prozent,20.6
2018,Deutsche,Frauen,Prozent,21.0
2017,Deutsche,Frauen,Prozent,21.7
2016,Deutsche,Frauen,Prozent,22.3
2015,Deutsche,Frauen,Prozent,22.5
2014,Deutsche,Frauen,Prozent,22.8
2013,Deutsche,Frauen,Prozent,23.9
2012,Deutsche,Frauen,Prozent,24.4
2011,Deutsche,Frauen,Prozent,25.0
2021,Ausländerinnen und Ausländer,Insgesamt,Prozent,11.8
2020,Ausländerinnen und Ausländer,Insgesamt,Prozent,12.1
2019,Ausländerinnen und Ausländer,Insgesamt,Prozent,12.6
2018,Ausländerinnen und Ausländer,Insgesamt,Prozent,11.5
2017,Ausländerinnen und Ausländer,Insgesamt,Prozent,9.3
2016,Ausländerinnen und Ausländer,Insgesamt,Prozent,7.4
2015,Ausländerinnen und Ausländer,Insgesamt,Prozent,6.0
2014,Ausländerinnen und Ausländer,Insgesamt,Prozent,8.2
2013,Ausländerinnen und Ausländer,Insgesamt,Prozent,9.8
2012,Ausländerinnen und Ausländer,Insgesamt,Prozent,10.2
2011,Ausländerinnen und Ausländer,Insgesamt,Prozent,11.2
2021,Ausländerinnen und Ausländer,Männer,Prozent,13.7
2020,Ausländerinnen und Ausländer,Männer,Prozent,14.2
2019,Ausländerinnen und Ausländer,Männer,Prozent,14.9
2018,Ausländerinnen und Ausländer,Männer,Prozent,13.5
2017,Ausländerinnen und Ausländer,Männer,Prozent,9.9
2016,Ausländerinnen und Ausländer,Männer,Prozent,7.1
2015,Ausländerinnen und Ausländer,Männer,Prozent,6.2
2014,Ausländerinnen und Ausländer,Männer,Prozent,9.4
2013,Ausländerinnen und Ausländer,Männer,Prozent,11.2
2012,Ausländerinnen und Ausländer,Männer,Prozent,11.2
2011,Ausländerinnen und Ausländer,Männer,Prozent,12.5
2021,Ausländerinnen und Ausländer,Frauen,Prozent,9.5
2020,Ausländerinnen und Ausländer,Frauen,Prozent,9.3
2019,Ausländerinnen und Ausländer,Frauen,Prozent,9.2
2018,Ausländerinnen und Ausländer,Frauen,Prozent,8.6
2017,Ausländerinnen und Ausländer,Frauen,Prozent,8.5
2016,Ausländerinnen und Ausländer,Frauen,Prozent,7.8
2015,Ausländerinnen und Ausländer,Frauen,Prozent,5.7
2014,Ausländerinnen und Ausländer,Frauen,Prozent,6.8
2013,Ausländerinnen und Ausländer,Frauen,Prozent,8.3
2012,Ausländerinnen und Ausländer,Frauen,Prozent,9.0
2011,Ausländerinnen und Ausländer,Frauen,Prozent,9.6
