Year,Kategorie,Migrationsstatus,Geschlecht,Units,Value
2025,Erwerbsquote,Insgesamt,Männer,%,83.0079402871821
2025,Erwerbsquote,Insgesamt,Frauen ,%,75.4266641972487
2025,Erwerbsquote,Insgesamt,Insgesamt,%,79.250850463019
2024,Erwerbsquote,Insgesamt,Männer,%,82.4008385324141
2024,Erwerbsquote,Insgesamt,Frauen ,%,74.995780822563
2024,Erwerbsquote,Insgesamt,Insgesamt,%,78.732232786949
2023,Erwerbsquote,Insgesamt,Männer,%,82.5154558014248
2023,Erwerbsquote,Insgesamt,Frauen ,%,74.5533479349186
2023,Erwerbsquote,Insgesamt,Insgesamt,%,78.5608975790928
2022,Erwerbsquote,Insgesamt,Männer,%,82.4322389122618
2022,Erwerbsquote,Insgesamt,Frauen ,%,74.5214498116439
2022,Erwerbsquote,Insgesamt,Insgesamt,%,78.506299944828
2021,Erwerbsquote,Insgesamt,Männer,%,81.2015729795684
2021,Erwerbsquote,Insgesamt,Frauen ,%,72.8859576458278
2021,Erwerbsquote,Insgesamt,Insgesamt,%,77.0849234862562
2019,Erwerbsquote,Insgesamt,Männer,%,83.03
2019,Erwerbsquote,Insgesamt,Frauen ,%,73.76
2019,Erwerbsquote,Insgesamt,Insgesamt,%,78.46
2018,Erwerbsquote,Insgesamt,Männer,%,82.14
2018,Erwerbsquote,Insgesamt,Frauen ,%,73.53
2018,Erwerbsquote,Insgesamt,Insgesamt,%,77.91
2017,Erwerbsquote,Insgesamt,Männer,%,81.61
2017,Erwerbsquote,Insgesamt,Frauen ,%,72.73
2017,Erwerbsquote,Insgesamt,Insgesamt,%,77.26
2016,Erwerbsquote,Insgesamt,Männer,%,81.13
2016,Erwerbsquote,Insgesamt,Frauen ,%,71.46
2016,Erwerbsquote,Insgesamt,Insgesamt,%,76.38
2015,Erwerbsquote,Insgesamt,Männer,%,81.4
2015,Erwerbsquote,Insgesamt,Frauen ,%,71.95
2015,Erwerbsquote,Insgesamt,Insgesamt,%,76.71
2014,Erwerbsquote,Insgesamt,Männer,%,82.1
2014,Erwerbsquote,Insgesamt,Frauen ,%,71.74
2014,Erwerbsquote,Insgesamt,Insgesamt,%,76.96
2013,Erwerbsquote,Insgesamt,Männer,%,82.15
2013,Erwerbsquote,Insgesamt,Frauen ,%,71.68
2013,Erwerbsquote,Insgesamt,Insgesamt,%,76.93
2012,Erwerbsquote,Insgesamt,Männer,%,81.54
2012,Erwerbsquote,Insgesamt,Frauen ,%,70.56
2012,Erwerbsquote,Insgesamt,Insgesamt,%,76.09
2011,Erwerbsquote,Insgesamt,Männer,%,81.68
2011,Erwerbsquote,Insgesamt,Frauen ,%,70.57
2011,Erwerbsquote,Insgesamt,Insgesamt,%,76.15
2005,Erwerbsquote,Insgesamt,Männer,%,79.62
2005,Erwerbsquote,Insgesamt,Frauen ,%,64.12
2005,Erwerbsquote,Insgesamt,Insgesamt,%,71.94
2025,Erwerbsquote,ohne Migrationshintergrund,Männer,%,84.6747380624276
2025,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,79.1589005998428
2025,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,81.9240080164716
2024,Erwerbsquote,ohne Migrationshintergrund,Männer,%,84.1001145734157
2024,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,78.9471963737006
2024,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,81.5401063729006
2023,Erwerbsquote,ohne Migrationshintergrund,Männer,%,84.1031222723497
2023,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,78.5882204113474
2023,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,81.3490392208476
2022,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.7555637885421
2022,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,77.9807687280067
2022,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,80.8711072573989
2021,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.6492779174985
2021,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,76.1787411542532
2021,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,79.4148234018771
2019,Erwerbsquote,ohne Migrationshintergrund,Männer,%,84.49
2019,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,76.93
2019,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,80.72
2018,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.7
2018,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,76.65
2018,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,80.2
2017,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.41
2017,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,75.9
2017,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,79.69
2016,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.69
