Year,Migrationsstatus,Überwiegender Lebensunterhalt,Units,Value
2021,ohne Migrationshintergrund,Insgesamt,in 1 000,6021.0
2021,mit Migrationshintergrund,Insgesamt,in 1 000,1892.0
2020,ohne Migrationshintergrund,Insgesamt,in 1 000,
2020,mit Migrationshintergrund,Insgesamt,in 1 000,
2019,ohne Migrationshintergrund,Insgesamt,in 1 000,6103.5
2019,mit Migrationshintergrund,Insgesamt,in 1 000,1786.4
2018,ohne Migrationshintergrund,Insgesamt,in 1 000,6106.2
2018,mit Migrationshintergrund,Insgesamt,in 1 000,1761.3
2017,ohne Migrationshintergrund,Insgesamt,in 1 000,6227.0
2017,mit Migrationshintergrund,Insgesamt,in 1 000,1701.0
2016,ohne Migrationshintergrund,Insgesamt,in 1 000,6399.0
2016,mit Migrationshintergrund,Insgesamt,in 1 000,1594.0
2015,ohne Migrationshintergrund,Insgesamt,in 1 000,6457.0
2015,mit Migrationshintergrund,Insgesamt,in 1 000,1408.0
2014,ohne Migrationshintergrund,Insgesamt,in 1 000,6429.0
2014,mit Migrationshintergrund,Insgesamt,in 1 000,1362.0
2013,ohne Migrationshintergrund,Insgesamt,in 1 000,6373.0
2013,mit Migrationshintergrund,Insgesamt,in 1 000,1409.0
2012,ohne Migrationshintergrund,Insgesamt,in 1 000,6490.0
2012,mit Migrationshintergrund,Insgesamt,in 1 000,1311.0
2011,ohne Migrationshintergrund,Insgesamt,in 1 000,6517.0
2011,mit Migrationshintergrund,Insgesamt,in 1 000,1273.0
2021,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2753.0
2021,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,768.0
2020,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,
2020,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,
2019,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2876.7
2019,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,727.7
2018,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2833.6
2018,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,713.1
2017,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2869.0
2017,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,642.0
2016,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2881.0
2016,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,594.0
2015,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2863.0
2015,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,532.0
2014,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2820.0
2014,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,520.0
2013,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2761.0
2013,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,550.0
2012,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2787.0
2012,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,488.0
2011,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,2794.0
2011,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,in 1 000,473.0
2021,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,150.0
2021,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,173.0
2020,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,
2020,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,
2019,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,150.4
2019,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,135.5
2018,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,155.7
2018,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,134.4
2017,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,164.0
2017,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,123.0
2016,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,178.0
2016,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,108.0
2015,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,202.0
2015,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,112.0
2014,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,211.0
2014,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,99.0
2013,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,211.0
2013,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,110.0
2012,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,214.0
2012,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,103.0
2011,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,232.0
2011,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,in 1 000,112.0
2021,ohne Migrationshintergrund,Rente und Pension,in 1 000,1573.0
2021,mit Migrationshintergrund,Rente und Pension,in 1 000,194.0
2020,ohne Migrationshintergrund,Rente und Pension,in 1 000,
