Year,Migrationsstatus,Haushaltsnettoeinkommen,Haushaltsgröße,COMMENT_OBS,Value
2023,Insgesamt,Insgesamt,insgesamt,,3947
2023,Insgesamt,unter 500,insgesamt,,55
2023,Insgesamt,500 - 1000,insgesamt,,256
2023,Insgesamt,1000 - 1250,insgesamt,,205
2023,Insgesamt,1250 - 1500,insgesamt,,213
2023,Insgesamt,1500 - 2000,insgesamt,,502
2023,Insgesamt,2000 - 2500,insgesamt,,515
2023,Insgesamt,2500 - 3000,insgesamt,,392
2023,Insgesamt,3000 - 3500,insgesamt,,350
2023,Insgesamt,3500 - 4000,insgesamt,,302
2023,Insgesamt,4000 - 5000,insgesamt,,475
2023,Insgesamt,5000 und mehr,insgesamt,,681
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2965
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,34
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,174
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,insgesamt,,154
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,insgesamt,,158
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,372
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,400
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,295
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,262
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,225
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,361
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,529
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,256
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,12
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,21
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,25
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,27
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,30
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,53
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,83
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,726
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,21
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,81
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,insgesamt,,50
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,insgesamt,,51
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,118
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,94
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,72
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,62
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,47
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,61
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,68
2022,Insgesamt,Insgesamt,insgesamt,,3914
2022,Insgesamt,unter 500,insgesamt,,68
2022,Insgesamt,500 - 1000,insgesamt,,291
2022,Insgesamt,1000 - 1250,insgesamt,,221
2022,Insgesamt,1250 - 1500,insgesamt,,230
2022,Insgesamt,1500 - 2000,insgesamt,,527
2022,Insgesamt,2000 - 2500,insgesamt,,503
2022,Insgesamt,2500 - 3000,insgesamt,,399
2022,Insgesamt,3000 - 3500,insgesamt,,342
2022,Insgesamt,3500 - 4000,insgesamt,,301
2022,Insgesamt,4000 - 5000,insgesamt,,435
2022,Insgesamt,5000 und mehr,insgesamt,,597
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2971
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,49
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,207
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,insgesamt,,171
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,insgesamt,,171
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,395
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,392
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,302
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,260
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,226
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,333
