Year,Migrationsstatus,Lebensform,mit oder ohne ledige Kinder,Units,Value
2011,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,2227.8
2011,ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,1831.3
2011,mit Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,396.5
2011,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1740.2
2011,ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1421.8
2011,mit Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,318.3
2011,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,248.8
2011,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,212.9
2011,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,35.9
2011,mit und ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,238.9
2011,ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,196.6
2011,mit Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,42.3
2012,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,2223.8
2012,ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,1817.1
2012,mit Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,406.6
2012,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1741.7
2012,ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1412.7
2012,mit Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,329.0
2012,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,246.2
2012,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,208.8
2012,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,37.4
2012,mit und ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,235.8
2012,ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,195.6
2012,mit Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,40.2
2013,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,2226.9
2013,ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,1778.6
2013,mit Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,448.3
2013,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1733.2
2013,ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1383.2
2013,mit Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,350.0
2013,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,254.1
2013,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,202.8
2013,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,51.3
2013,mit und ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,239.6
2013,ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,192.6
2013,mit Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,47.0
2014,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,2235.2
2014,ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,1807.8
2014,mit Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,427.5
2014,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1731.2
2014,ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1392.2
2014,mit Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,339.0
2014,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,266.1
2014,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,221.4
2014,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,44.7
2014,mit und ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,237.9
2014,ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,194.2
2014,mit Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,43.7
2015,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,2240.5
2015,ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,1804.0
2015,mit Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,436.5
2015,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1718.0
2015,ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1375.2
2015,mit Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,342.9
2015,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,273.2
2015,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,226.9
2015,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,46.3
2015,mit und ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,249.2
2015,ohne Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,201.9
2015,mit Migrationshintergrund,Alleinerziehende,Insgesamt,in 1 000,47.3
2016,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,2256.1
2016,ohne Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,1779.4
2016,mit Migrationshintergrund,Insgesamt,Insgesamt,in 1 000,476.8
2016,mit und ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1728.0
2016,ohne Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,1358.0
2016,mit Migrationshintergrund,Ehepaare,Insgesamt,in 1 000,370.0
2016,mit und ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,267.3
2016,ohne Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,217.1
2016,mit Migrationshintergrund,Lebensgemeinschaften,Insgesamt,in 1 000,50.1
