Value,Disaggregation combinations using this value,Number of indicators
0,160,1
1,158,1
101,158,1
102,150,1
103,154,1
151,148,1
153,150,1
154,144,1
155,148,1
157,154,1
158,140,1
159,152,1
2,160,1
241,160,1
241001,156,1
241999,160,1
251,150,1
252,150,1
254,152,1
255,134,1
256,154,1
257,152,1
3,160,1
351,154,1
352,148,1
353,158,1
354,142,1
355,148,1
356,134,1
357,148,1
358,158,1
359,148,1
360,134,1
361,152,1
4,160,1
401,152,1
402,146,1
403,152,1
404,152,1
405,146,1
451,148,1
452,152,1
453,154,1
454,158,1
455,144,1
456,152,1
457,154,1
458,148,1
459,154,1
460,158,1
461,144,1
462,132,1
