Value,Disaggregation combinations using this value,Number of indicators
0 – 3,6,1
0 - 5,3,1
0 - 6,52,1
1 bis 2 Jahre,5,1
12 bis 13 Jahre,5,1
14 bis 17 Jahre,5,1
15 - 20,55,2
15 – 20,6,1
15 – 25,9,1
15 – 65,21,2
18 – 25,18,2
18 bis 26 Jahre,5,1
20 - 40,55,2
20 – 40,6,1
25 – 35,21,2
25 – 45,6,1
27 bis 63 Jahre,5,1
3 – 6,6,1
3 bis 5 Jahre,5,1
35 – 45,9,1
40 - 65,55,2
40 – 65,6,1
45 – 55,9,1
45 – 65,6,1
5 - 15,3,1
55 – 65,9,1
6 - 15,52,1
6 – 15,6,1
6 bis 11 Jahre,5,1
64 Jahre und älter,5,1
65 - 80,55,2
65 – 80,6,1
65 und älter,6,1
80 und älter,58,2
80 u.ä.,3,1
Alter unbekannt,4,1
im Alter bis unter 18 Jahren,104,1
im Alter von 18 bis unter 65 Jahren,104,1
im Alter von 65 Jahren und älter,104,1
Insgesamt,67,4
unter 1 Jahr,5,1
