Value,Disaggregation combinations using this value,Number of indicators
Antrag auf Aufenthaltstitel gestellt,150,1
insgesamt,150,1
mit Freizügigkeit nach EU-Recht,150,1
ohne Aufenthaltstitel Aufenthaltsgestattung,150,1
ohne Aufenthaltstitel Duldung,150,1
ohne Aufenthaltstitel insgesamt,150,1
ohne Aufenthaltstitel Ohne Duldung oder Gestattung ,150,1
ohne Aufenthaltstitel Ohne Duldung oder Gestattung,1,1
von Erfordernis auf einen Aufenthaltstitel befreit - heimatlose Ausländer,150,1
zeitlich befristet besondere Aufenthaltsrechte,150,1
zeitlich befristet familiäre Gründe,150,1
zeitlich befristet völkerrechtliche o. humanitäre o. politische Gründe,150,1
zeitlich befristet zum Zweck der Ausbildung,150,1
zeitlich befristet zum Zweck der Erwerbstätigkeit,150,1
zeitlich befristet,150,1
zeitlich unbefristet,150,1
