Value,Disaggregation combinations using this value,Number of indicators
Asylberechtigte und GFK-Flüchtlinge,204,4
Aufenthaltsgestattung zum Asylverfahren,204,4
Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,153,3
Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,204,4
Dringende persönliche o. humanitäre Gründe Härtefälle,204,4
Duldung,204,4
Familiennachzug,204,4
Geflüchtete und geduldete Personen insgesamt,204,4
Niederlassungserlaubnis ,204,4
Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,204,4
Verbot der Abschiebung Subsidiärer Schutz1),153,3
