Value,Disaggregation combinations using this value,Number of indicators
Frauen,34,1
Insgesamt,34,1
Männer,34,1
Veränderung in Prozent ggegenüber 2005,1,1
Veränderung in Prozent ggegenüber 2006,1,1
Veränderung in Prozent ggegenüber 2007,1,1
Veränderung in Prozent ggegenüber 2008,1,1
Veränderung in Prozent ggegenüber 2009,1,1
Veränderung in Prozent ggegenüber 2010,1,1
Veränderung in Prozent ggegenüber 2011,1,1
Veränderung in Prozent ggegenüber 2012,1,1
Veränderung in Prozent ggegenüber 2013,1,1
Veränderung in Prozent ggegenüber 2014,1,1
Veränderung in Prozent ggegenüber 2015,1,1
Veränderung in Prozent ggegenüber 2016,1,1
Veränderung in Prozent ggegenüber 2017,1,1
Veränderung in Prozent ggegenüber 2018,1,1
Veränderung in Prozent ggegenüber 2019,1,1
Veränderung in Prozent ggegenüber 2020,1,1
Veränderung in Prozent ggegenüber 2021,1,1
Veränderung in Prozent ggegenüber 2022,1,1
Veränderung in Prozent ggegenüber 2023,1,1
Veränderung in Prozent ggegenüber 2024,1,1
Veränderung in Prozent ggegenüber 2025,1,1
Veränderung in Prozent ggegenüber 2026,1,1
Veränderung in Prozent ggegenüber 2027,1,1
Veränderung in Prozent ggegenüber 2028,1,1
Veränderung in Prozent ggegenüber 2029,1,1
Veränderung in Prozent ggegenüber 2030,1,1
Veränderung in Prozent ggegenüber 2031,1,1
Veränderung in Prozent ggegenüber 2032,1,1
Veränderung in Prozent ggegenüber 2033,1,1
Veränderung in Prozent ggegenüber 2034,1,1
Veränderung in Prozent ggegenüber 2035,1,1
Veränderung in Prozent ggegenüber 2036,1,1
Veränderung in Prozent ggegenüber 2037,1,1
Veränderung in Prozent ggegenüber 2038,1,1
Veränderung in Prozent ggegenüber 2039,1,1
Veränderung in Prozent ggegenüber 2040,1,1
Veränderung in Prozent ggegenüber 2041,1,1
Veränderung in Prozent ggegenüber 2042,1,1
Veränderung in Prozent ggegenüber 2043,1,1
Veränderung in Prozent ggegenüber 2044,1,1
Veränderung in Prozent ggegenüber 2045,1,1
Veränderung in Prozent ggegenüber 2046,1,1
Veränderung in Prozent ggegenüber 2047,1,1
Veränderung in Prozent ggegenüber 2048,1,1
Veränderung in Prozent ggegenüber 2049,1,1
Veränderung in Prozent ggegenüber 2050,1,1
Veränderung in Prozent ggegenüber 2051,1,1
Veränderung in Prozent ggegenüber 2052,1,1
Veränderung in Prozent ggegenüber 2053,1,1
Veränderung in Prozent ggegenüber 2054,1,1
Veränderung in Prozent ggegenüber 2055,1,1
Veränderung in Prozent ggegenüber 2056,1,1
Veränderung in Prozent ggegenüber 2057,1,1
Veränderung in Prozent ggegenüber 2058,1,1
Veränderung in Prozent ggegenüber 2059,1,1
Veränderung in Prozent ggegenüber 2060,1,1
Veränderung in Prozent ggegenüber 2061,1,1
Veränderung in Prozent ggegenüber 2062,1,1
Veränderung in Prozent ggegenüber 2063,1,1
Veränderung in Prozent ggegenüber 2064,1,1
Veränderung in Prozent ggegenüber 2065,1,1
Veränderung in Prozent ggegenüber 2066,1,1
Veränderung in Prozent ggegenüber 2067,1,1
Veränderung in Prozent ggegenüber 2068,1,1
Veränderung in Prozent ggegenüber 2069,1,1
Veränderung in Prozent ggegenüber 2070,1,1
Veränderung in Prozent ggegenüber 2071,1,1
Veränderung in Prozent ggegenüber 2072,1,1
Veränderung in Prozent ggegenüber 2073,1,1
