Value,Disaggregation combinations using this value,Number of indicators
Allgemeine Hochschulreife,60,3
Entlassung aus dem Berufsvorbereitungsjahr,60,3
Entlassungen aus dem Berufsvorbereitungsjahr,60,3
Erfolgreicher Besuch,60,3
erfolgreicher Besuch,60,3
Erreichte Abschlüsse insgesamt,40,2
Fachhochschulreife,60,3
Hauptschulabschluss,60,3
Insgesamt,20,1
nachrichtlich: Abbruch im laufenden Schuljahr,60,3
   nachrichtlich: Abbruch im laufenden Schuljahr,60,3
ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,60,3
Ohne erfolgreichen Besuch/Abschluss,60,3
ohne erfolgreichen Besuch/Abschluss,60,3
Realschulabschluss,60,3
Schulischer Teil der Fachhochschulreife,60,3
