Value,Disaggregation combinations using this value,Number of indicators
Abyen,1,1
Afghanistan,1,1
Akrotiri und Dhekelia,1,1
Albanien,1,1
Algerien,1,1
Amerikanisch-Samoa,1,1
Amerikanische Jungferninseln,1,1
Andorra,1,1
Angola,1,1
Anguilla,1,1
Antigua und Barbuda,1,1
Arabische Republik Syrien,1,1
Argentinien,1,1
Armenien,1,1
Aruba,1,1
Aserbaidschan,1,1
Ashmore- und Cartierinseln,1,1
Australien,1,1
Azoren,1,1
Bahamas,1,1
Bahrain,1,1
Bangladesch,1,1
Barbados,1,1
Belarus,1,1
Belgien,1,1
Belize,1,1
Benin,1,1
Bermuda,1,1
Bhutan,1,1
Bolivarische Republik Venezuela,1,1
Bosnien und Herzegowina,1,1
Botsuana,1,1
Bouvetinsel,1,1
Brasilien,1,1
Britische Jungferninseln,1,1
Britisches Territorium im Indischen Ozean,1,1
Brunei Darussalam,1,1
Bulgarien,1,1
Burkina Faso,1,1
Burundi,1,1
Cabo Verde,1,1
Chile,1,1
China,1,1
Cookinseln,1,1
Costa Rica,1,1
Côte d’Ivoire,1,1
Demokratische Republik Kongo,1,1
Demokratische Volksrepublik Korea,1,1
Demokratische Volksrepublik Laos,1,1
Deutschland,1,1
Dominica,1,1
Dominikanische Republik,1,1
Dschibuti,1,1
Dänemark,1,1
Ecuador,1,1
El Salvador,1,1
Eritrea,1,1
Estland,1,1
Eswatini,1,1
Falklandinseln (Malwinen),1,1
Fidschi,1,1
Finnland,1,1
Frankreich,1,1
Französisch-Guayana,1,1
Französisch-Polynesien,1,1
Färöer,1,1
Föderierte Staaten von Mikronesien,1,1
Gabun,1,1
Gambia,1,1
Georgien,1,1
Ghana,1,1
Gibraltar,1,1
Grenada,1,1
Griechenland,1,1
Grönland,1,1
Guadeloupe,1,1
Guam,1,1
Guatemala,1,1
Guinea-Bissau,1,1
Guinea,1,1
Guyana,1,1
Haiti,1,1
Heard und McDonaldinseln,1,1
Honduras,1,1
Hongkong,1,1
Indien,1,1
Indonesien,1,1
Irak,1,1
Irland,1,1
Islamische Republik Iran,1,1
Island,1,1
Israel,1,1
Italien,1,1
Jamaika,1,1
Japan,1,1
Jemen,1,1
Jordanien,1,1
Kaimaninseln,1,1
Kambodscha,1,1
Kamerun,1,1
Kanada,1,1
Kasachstan,1,1
Katar,1,1
Kenia,1,1
Kirgisistan,1,1
Kiribati,1,1
Kokosinseln,1,1
Kolumbien,1,1
Komoren,1,1
Kongo,1,1
Korallenmeerinseln,1,1
Kroatien,1,1
Kuba,1,1
Kuwait,1,1
Königreich der Niederlande,1,1
Lesotho,1,1
Lettland,1,1
Libanon,1,1
Liberia,1,1
Libyen,1,1
Liechtenstein,1,1
Litauen,1,1
Luxemburg,1,1
Macau,1,1
Madagaskar,1,1
Malawi,1,1
Malaysia,1,1
Malediven,1,1
Mali,1,1
Malta,1,1
Marokko,1,1
Marshallinseln,1,1
Martinique,1,1
Mauretanien,1,1
Mauritius,1,1
Mayotte,1,1
Mexiko,1,1
Monaco,1,1
Mongolei,1,1
Montenegro,1,1
Montserrat,1,1
Mosambik,1,1
Myanmar,1,1
Namibia,1,1
Nauru,1,1
Nepal,1,1
Neukaledonien,1,1
Neuseeland,1,1
Nicaragua,1,1
Niger,1,1
Nigeria,1,1
Niue,1,1
Nordmazedonien,1,1
Norfolkinsel,1,1
Norwegen,1,1
Nördliche Marianen,1,1
Oman,1,1
Pakistan,1,1
Palau,1,1
Panama,1,1
Papua-Neuguinea,1,1
Paraguay,1,1
Peru,1,1
Philippinen,1,1
Pitcairninseln,1,1
Plurinationaler Staat Bolivien,1,1
Polen,1,1
Portugal,1,1
Puerto Rico,1,1
Republik Korea,1,1
Republik Moldau,1,1
Ruanda,1,1
Rumänien,1,1
Russische Föderation,1,1
Réunion,1,1
Salomonen,1,1
Sambia,1,1
Samoa,1,1
San Marino,1,1
Saudi-Arabien,1,1
Schweden,1,1
Schweiz,1,1
Senegal,1,1
Serbien,1,1
Seychellen,1,1
Sierra Leone,1,1
Simbabwe,1,1
Singapur,1,1
Slowakei,1,1
Slowenien,1,1
Somalia,1,1
Spanien,1,1
Spanische Hoheitsplätze in Nordafrika,1,1
Sri Lanka,1,1
St. Kitts und Nevis,1,1
St. Lucia,1,1
St. Vincent und die Grenadinen,1,1
Sudan,1,1
Suriname,1,1
Svalbard und Jan Mayen,1,1
São Tomé und Príncipe,1,1
Südafrika,1,1
Südsudan,1,1
Tadschikistan,1,1
Taiwan,1,1
Thailand,1,1
Timor-Leste,1,1
Togo,1,1
Tokelau,1,1
Tonga,1,1
Trinidad und Tobago,1,1
Tschad,1,1
Tschechien,1,1
Tunesien,1,1
Turkmenistan,1,1
Turks- und Caicosinseln,1,1
Tuvalu,1,1
Türkei,1,1
Uganda,1,1
Ukraine,1,1
Ungarn,1,1
Uruguay,1,1
Usbekistan,1,1
Vanuatu,1,1
Vatikanstadt,1,1
Vereinigte Arabische Emirate,1,1
Vereinigte Republik Tansania,1,1
Vereinigte Staaten,1,1
Vereinigtes Königreich,1,1
Vietnam,1,1
Weihnachtsinsel,1,1
Westsahara,1,1
Zentralafrikanische Republik,1,1
Zypern,1,1
Ägypten,1,1
Äquatorialguinea,1,1
Äthiopien,1,1
Österreich,1,1
