Value,Disaggregation combinations using this value,Number of indicators
Ammerland,6,1
Aurich,6,1
"Braunschweig, Stadt",6,1
Celle,6,1
Cloppenburg,6,1
Cuxhaven,6,1
"dav. Hannover, Lhst.",6,1
"dav. Hannover, Umland",6,1
"Delmenhorst, Stadt",6,1
Diepholz,6,1
"Emden, Stadt",6,1
Emsland,6,1
Friesland,6,1
Gifhorn,6,1
Goslar,6,1
Grafschaft Bentheim,6,1
Göttingen,6,1
Hameln-Pyrmont,6,1
Harburg,6,1
Heidekreis,6,1
Helmstedt,6,1
Hildesheim,6,1
Holzminden,6,1
Leer,6,1
Lüchow-Dannenberg,6,1
Lüneburg,6,1
Niedersachsen,6,1
Nienburg (Weser),6,1
Northeim,6,1
"Oldenburg (Oldb), Stadt",6,1
Oldenburg,6,1
"Osnabrück, Stadt",6,1
Osnabrück,6,1
Osterholz,6,1
Peine,6,1
Region Hannover,6,1
Rotenburg (Wümme),6,1
"Salzgitter, Stadt",6,1
Schaumburg,6,1
Stade,6,1
Statistische Region Braunschweig,6,1
Statistische Region Hannover,6,1
Statistische Region Lüneburg,6,1
Statistische Region Weser-Ems,6,1
Uelzen,6,1
Vechta,6,1
Verden,6,1
Wesermarsch,6,1
"Wilhelmshaven, Stadt",6,1
Wittmund,6,1
Wolfenbüttel,6,1
"Wolfsburg, Stadt",6,1
