Value,Disaggregation combinations using this value,Number of indicators
Ammerland,3,1
Aurich,3,1
"Braunschweig, Stadt",3,1
Celle,3,1
Cloppenburg,3,1
Cuxhaven,3,1
"dav. Hannover, Lhst.",3,1
"dav. Hannover, Umland",9,2
"Delmenhorst, Stadt",3,1
Deutschland,29,3
Diepholz,3,1
"Emden, Stadt",3,1
Emsland,3,1
Friesland,3,1
Gifhorn,3,1
Goslar,3,1
Grafschaft Bentheim,3,1
Göttingen,3,1
Hameln-Pyrmont,3,1
Hannover  Region,106,16
Harburg,3,1
Heidekreis,3,1
Helmstedt,3,1
Hildesheim,3,1
Holzminden,3,1
Leer,3,1
Lüchow-Dannenberg,3,1
Lüneburg,3,1
Niedersachsen,688,34
Nienburg (Weser),3,1
Northeim,3,1
"Oldenburg (Oldb), Stadt",3,1
Oldenburg,3,1
"Osnabrück, Stadt",3,1
Osnabrück,3,1
Osterholz,3,1
Osterode,6,1
Peine,3,1
Region Hannover,32,9
Rotenburg (Wümme),3,1
"Salzgitter, Stadt",3,1
Schaumburg,3,1
Stade,3,1
Statistische Region Braunschweig,240,29
Statistische Region Hannover,240,29
Statistische Region Lüneburg,240,29
Statistische Region Weser-Ems,240,29
Uelzen,3,1
Vechta,3,1
Verden,3,1
Wesermarsch,3,1
"Wilhelmshaven, Stadt",3,1
Wittmund,3,1
Wolfenbüttel,3,1
"Wolfsburg, Stadt",3,1
