Value,Disaggregation combinations using this value,Number of indicators
K030,1,1
K031,1,1
K03101,1,1
K03102,1,1
K03103,1,1
K03151,1,1
K03153,1,1
K03154,1,1
K03155,1,1
K03157,1,1
K03158,1,1
K03159,1,1
K032,1,1
K03241,1,1
K03241001,1,1
K03241999,1,1
K03251,1,1
K03252,1,1
K03254,1,1
K03255,1,1
K03256,1,1
K03257,1,1
K033,1,1
K03351,1,1
K03352,1,1
K03353,1,1
K03354,1,1
K03355,1,1
K03356,1,1
K03357,1,1
K03358,1,1
K03359,1,1
K03360,1,1
K03361,1,1
K034,1,1
K03401,1,1
K03402,1,1
K03403,1,1
K03404,1,1
K03405,1,1
K03451,1,1
K03452,1,1
K03453,1,1
K03454,1,1
K03455,1,1
K03456,1,1
K03457,1,1
K03458,1,1
K03459,1,1
K03460,1,1
K03461,1,1
K03462,1,1
