Value,Disaggregation combinations using this value,Number of indicators
10.1,1,1
10.1519965396788,1,1
10.2937602731553,1,1
10.4653803873177,1,1
10.4891611456245,1,1
10.58344,1,1
10.6166449594968,1,1
10.9728404455406,1,1
101.8,1,1
102.05597,1,1
102.9,1,1
103.20057,1,1
103.7,1,1
104.1,1,1
105.8,1,1
107.3,1,1
108.1,1,1
109.78659,1,1
11.0794033336854,1,1
11.1339417984809,1,1
11.1943013396002,1,1
112.1,1,1
112.2,1,1
115.8593,1,1
116.34834,1,1
116.42134,1,1
117.14478,1,1
117.68768,1,1
117.9,1,1
117.991,1,1
12.31427,1,1
12005.53,1,1
122.26094,1,1
13.96052,1,1
13,1,1
130.6223,1,1
132.4735,1,1
1334828.25,1,1
1345.6,1,1
1355.5,1,1
1386.3,1,1
14.2173309483098,1,1
14.316212698698,1,1
14.3297118234201,1,1
14.4147547700055,1,1
14.6416909932771,1,1
14.6479858010703,1,1
14.7492224780769,1,1
14.8368516870726,1,1
14.8711553371148,1,1
14.9257833294114,1,1
14.9553805990246,1,1
1400.2,1,1
1412.9,1,1
15.0945989494339,1,1
15.1,1,1
1557.2,1,1
16.1,1,1
16.3,1,1
16.3594039577566,1,1
16.4,1,1
16.6,1,1
16.8480059648252,1,1
16.9702720994291,1,1
16,1,1
1655.95492,1,1
17.1181395532618,1,1
17.221560194322,1,1
17.354245878989,1,1
17.3803700869361,1,1
17.4360491650684,1,1
17.4435919675689,1,1
17.5106142734541,1,1
17.6501072092196,1,1
17.8056575776509,1,1
17.8477696014365,1,1
17.8808788018904,1,1
17.9164937435134,1,1
17.930451552983,1,1
17.9798167221524,1,1
1726.1065,1,1
1750.79168,1,1
178355.95,1,1
18.1,1,1
18.1876979380279,1,1
18.2647749303417,1,1
18.3021803996227,1,1
18.5439124013099,1,1
18.6,2,1
18.71777792316,1,1
18.7870140748558,1,1
182.2,1,1
182.4,1,1
183.1,1,1
19.2532906611662,1,1
19.45996,1,1
19.6,1,1
191.5,1,1
193.1,1,1
196,1,1
198.2,1,1
20.0594848018144,1,1
20.16277,1,1
20.6,1,1
20.70491,1,1
20.8418633449834,1,1
200920.61,1,1
200935.84,1,1
201.8,1,1
202.4,1,1
203.1,1,1
204,1,1
20486.07,1,1
205498.51,1,1
206.2,1,1
207.3,1,1
208.3,1,1
209.1,1,1
209.4,1,1
209070.29,1,1
21.0840615707772,1,1
21.1806276788343,1,1
21.2348522149998,1,1
21.4884077195552,1,1
21.5189781264018,1,1
21.6886629563599,1,1
21.7083527046933,1,1
21.9313459132191,1,1
210.1,1,1
210.4,1,1
211.9,1,1
213,1,1
215.2,1,1
217.4,1,1
217.6,1,1
217,1,1
218.40431,1,1
218.7,1,1
219.62191,1,1
22.0630280242962,1,1
22.09327918575,1,1
22.117226951227,1,1
22.1602735124013,1,1
22.2599815096389,1,1
22.2871985669237,1,1
22.318593133632,1,1
22.4868771727699,1,1
22.5,1,1
22.5238549302191,1,1
22.5986420362912,1,1
22.616884594145,1,1
22.7698189213403,1,1
22.8519837472064,1,1
22.901341234937,1,1
220.9,1,1
222.2,1,1
227.47427,1,1
23.0465405346105,1,1
23.0476013387877,1,1
23.1540901315347,1,1
23.1620457421604,1,1
23.2135753097192,1,1
23.2313014873429,1,1
23.2411844783242,1,1
23.3856771031243,1,1
23.5063372396299,1,1
23.5185470722243,1,1
23.5214993678186,1,1
23.7,1,1
23.8062245439856,1,1
232.3,1,1
233.58628,1,1
24.6,1,1
24.7757565553219,1,1
241.4,1,1
246.05445,1,1
25.0216819284248,1,1
25.2,1,1
25.2848442704952,1,1
25.3,1,1
25.9,1,1
25,1,1
252.66542,1,1
252.68516,1,1
256.22624,1,1
256.4,1,1
259.90301,1,1
26.0315464037953,1,1
26.3376845662825,1,1
26.5,2,1
26.7,2,1
260.36651,1,1
265.2847,1,1
27.1782647757982,1,1
27.2715996022233,1,1
27.2828418861205,1,1
27.3,1,1
27.3804527963305,1,1
27.4756295576654,1,1
27.5,1,1
27.9239954996339,1,1
27.9519351520805,1,1
272.82487,1,1
27649.73,1,1
28.0482168056096,1,1
28.0577456468605,1,1
28.1,2,1
28.1315959260795,1,1
28.1945150380187,1,1
28.3539271881529,1,1
28.4580094991364,1,1
28.5786118492079,1,1
28.5927758012738,1,1
28.6464992651816,1,1
28.6794040820441,1,1
28.7368514040147,1,1
28.7777961027967,1,1
28.8069806929414,1,1
28.94056628,1,1
280.37849,1,1
29.1,2,1
29.3543607910032,1,1
29.4179748134184,1,1
29.5093150964127,1,1
29.5341228863347,1,1
29.7454437504589,1,1
29.8,1,1
29.8092999233983,1,1
29.9304407601658,1,1
293.56019,1,1
29643.8,1,1
299.2321,1,1
30.0469688060341,1,1
30.0551296154294,1,1
30.1919486139044,1,1
30.2,2,1
30.3,1,1
30.7189058442526,1,1
30.7831513220131,1,1
30.8047089998399,1,1
30.9826868613076,1,1
30,1,1
30121.73,1,1
31.1038203159661,1,1
31.1131724995741,1,1
31.1225716320826,1,1
31.1648491734678,1,1
31.28835,1,1
31.3,1,1
31.4,1,1
31.4352742859866,1,1
31.475878967258,1,1
31.4770282651342,1,1
31.4975426635436,1,1
31.5,1,1
31.6,1,1
31.6888916654676,1,1
31.6911041447766,1,1
31.7188314340957,1,1
31.77423,1,1
31.8,1,1
31.8646031091345,1,1
31.9,1,1
31.9455261085817,1,1
31,1,1
