Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,3,1
Afrika,3,1
Amerika,3,1
Asien Australien und Ozeanien,3,1
Bosnien und Herzegowina,3,1
Bulgarien,3,1
EU-Staaten,3,1
Europa,3,1
Frankreich,3,1
Griechenland,3,1
Insgesamt,3,1
Irak,3,1
Iran,3,1
Italien,3,1
Kasachstan,3,1
Kosovo,3,1
Kroatien,3,1
Libanon,3,1
Marokko,3,1
Niederlande,3,1
Ohne Angabe,3,1
Polen,3,1
Portugal,3,1
Rumänien,3,1
Russische Föderation,3,1
Serbien,3,1
Sonstiges Europa,3,1
Sowjetunion,3,1
Spanien,3,1
Syrien,3,1
Türkei,3,1
Ukraine,3,1
Vereinigtes Königreich,3,1
Vietnam,3,1
Ägypten Algerien Libyen Tunesien,3,1
Österreich,3,1
