Value,Disaggregation combinations using this value,Number of indicators
10.07,1,1
10.08,1,1
10.14,2,1
10.19,1,1
10.25,2,1
10.4,1,1
10.41,1,1
10.53,1,1
10.72,1,1
10.75,1,1
10.78,1,1
10.82,1,1
10.85,2,1
10.86,1,1
10.88,1,1
10.95,1,1
11.02,1,1
11.03,2,1
11.04,1,1
11.05,1,1
11.07,1,1
11.12,1,1
11.17,1,1
11.31,1,1
11.43,2,1
11.46,1,1
11.47,1,1
11.57,1,1
11.62,1,1
11.64,1,1
11.66,1,1
11.71,2,1
11.79,1,1
11.8,1,1
11.93,1,1
11.97,1,1
12.18,1,1
12.19,1,1
12.21,1,1
12.23,1,1
12.26,3,1
12.27,1,1
12.37,1,1
12.46,2,1
12.52,1,1
12.54,1,1
12.55,1,1
12.59,1,1
12.6,1,1
12.62,1,1
12.64,1,1
12.68,1,1
12.7,2,1
12.72,1,1
12.8,1,1
12.81,1,1
12.87,1,1
12.95,2,1
12.99,1,1
13.03,1,1
13.05,2,1
13.12,2,1
13.15,1,1
13.19,1,1
13.2,2,1
13.21,1,1
13.24,2,1
13.31,1,1
13.41,1,1
13.45,1,1
13.48,1,1
13.52,1,1
13.61,1,1
13.65,1,1
13.66,1,1
13.67,2,1
13.7,1,1
13.72,1,1
13.77,1,1
13.81,1,1
13.83,1,1
13.89,1,1
13.91,1,1
13.93,2,1
13.96,1,1
13.99,1,1
14.01,1,1
14.02,1,1
14.03,1,1
14.09,1,1
14.11,2,1
14.18,1,1
14.19,2,1
14.2,1,1
14.21,1,1
14.25,1,1
14.26,1,1
14.27,2,1
14.31,1,1
14.37,1,1
14.4,1,1
14.47,1,1
14.48,1,1
14.49,1,1
14.5,1,1
14.51,1,1
14.55,1,1
14.58,1,1
14.64,1,1
14.7,1,1
14.8,1,1
14.83,1,1
14.85,3,1
14.89,1,1
14.91,2,1
14.93,1,1
14.94,1,1
14.97,2,1
15.02,1,1
15.04,2,1
15.05,1,1
15.06,1,1
15.09,1,1
15.1,2,1
15.12,1,1
15.15,1,1
15.16,1,1
15.23,1,1
15.24,1,1
15.28,1,1
15.38,1,1
15.4,1,1
15.44,1,1
15.46,1,1
15.48,1,1
15.5,1,1
15.51,1,1
15.52,1,1
15.54,1,1
15.58,1,1
15.62,1,1
15.64,1,1
15.65,1,1
15.66,1,1
15.67,1,1
15.68,1,1
15.69,1,1
15.7,1,1
15.72,1,1
15.8,1,1
15.85,1,1
15.88,1,1
15.92,1,1
15.94,1,1
15.95,1,1
16.01,1,1
16.03,1,1
16.04,1,1
16.07,1,1
16.08,2,1
16.12,2,1
16.17,1,1
16.19,1,1
16.23,1,1
16.24,2,1
16.26,1,1
16.28,1,1
16.3,2,1
16.34,1,1
16.39,1,1
16.4,1,1
16.41,1,1
16.47,1,1
16.48,1,1
16.52,1,1
16.53,1,1
16.55,1,1
16.56,1,1
16.62,2,1
16.63,1,1
16.65,1,1
16.66,1,1
16.67,1,1
16.7,1,1
16.72,1,1
16.74,1,1
16.8,1,1
16.82,1,1
16.83,1,1
16.85,1,1
16.88,1,1
16.95,1,1
16.98,1,1
16.99,1,1
17.01,1,1
17.07,1,1
17.09,1,1
17.1,1,1
17.13,2,1
17.16,1,1
17.17,3,1
17.18,1,1
17.19,1,1
17.23,1,1
17.24,1,1
17.27,1,1
17.29,1,1
17.34,2,1
17.36,3,1
17.37,1,1
17.4,3,1
17.42,2,1
17.44,4,1
17.47,2,1
17.49,1,1
17.5,1,1
17.51,1,1
17.59,1,1
17.63,2,1
17.66,2,1
17.67,1,1
17.68,2,1
17.71,1,1
17.72,1,1
17.77,1,1
17.78,2,1
17.81,1,1
17.84,1,1
17.9,1,1
17.93,1,1
17.97,1,1
17.98,1,1
17.99,1,1
18.01,1,1
18.03,2,1
18.06,1,1
18.08,1,1
18.12,1,1
18.14,1,1
18.16,1,1
18.17,1,1
18.21,1,1
18.24,1,1
18.26,1,1
18.27,1,1
18.29,1,1
18.33,2,1
18.38,1,1
18.39,1,1
18.4,1,1
18.42,1,1
18.43,1,1
18.49,1,1
18.5,1,1
18.51,1,1
18.53,1,1
18.59,1,1
18.61,1,1
18.62,1,1
18.68,2,1
18.69,1,1
18.7,1,1
18.74,1,1
18.8,1,1
18.84,1,1
18.92,1,1
18.94,1,1
18.95,2,1
18.96,1,1
19.01,1,1
19.09,1,1
19.1,1,1
19.12,1,1
19.19,1,1
19.24,2,1
19.25,1,1
19.27,1,1
19.28,2,1
19.3,1,1
19.31,1,1
19.32,1,1
19.33,1,1
19.36,1,1
19.38,1,1
19.41,1,1
19.43,1,1
19.51,1,1
19.54,1,1
19.58,1,1
19.62,1,1
19.63,1,1
19.64,1,1
19.66,1,1
19.69,1,1
19.8,1,1
19.83,1,1
19.85,1,1
19.86,1,1
19.89,1,1
19.92,1,1
19.94,1,1
20.03,1,1
20.06,2,1
20.15,1,1
20.18,1,1
20.21,1,1
20.27,1,1
20.28,1,1
20.29,1,1
20.31,1,1
20.38,1,1
20.41,1,1
20.5,1,1
20.55,1,1
20.56,1,1
20.65,2,1
20.67,1,1
20.69,1,1
20.71,1,1
20.72,1,1
20.76,1,1
20.78,1,1
20.79,1,1
20.8,1,1
20.82,1,1
20.84,1,1
20.91,1,1
20.92,2,1
20.97,1,1
20.99,1,1
21.01,1,1
21.05,1,1
21.07,1,1
21.08,1,1
21.1,2,1
21.13,1,1
21.14,1,1
21.15,1,1
21.21,1,1
21.27,1,1
21.35,1,1
21.42,1,1
21.53,1,1
21.63,1,1
21.71,3,1
21.72,1,1
21.78,2,1
21.83,1,1
21.86,1,1
21.89,1,1
21.93,1,1
21.97,1,1
21.99,1,1
22.06,2,1
22.07,1,1
22.12,1,1
22.16,1,1
22.25,1,1
22.32,1,1
22.43,1,1
22.46,1,1
22.55,1,1
22.56,1,1
22.57,2,1
22.65,1,1
22.66,1,1
22.68,1,1
22.71,1,1
22.74,1,1
22.75,3,1
22.82,2,1
22.91,1,1
22.94,1,1
22.96,1,1
23.03,1,1
23.04,1,1
23.07,1,1
23.12,1,1
23.24,1,1
23.25,1,1
23.47,1,1
23.55,1,1
23.6,1,1
23.69,1,1
23.86,1,1
24.05,1,1
24.09,1,1
24.15,1,1
24.18,1,1
24.19,1,1
24.22,1,1
24.31,1,1
24.34,1,1
24.36,1,1
24.47,1,1
24.5,1,1
24.74,1,1
24.78,1,1
24.79,1,1
24.9,1,1
24.91,1,1
24.94,1,1
25.01,1,1
25.11,1,1
25.16,1,1
25.18,1,1
25.2,1,1
25.22,1,1
25.25,1,1
25.34,1,1
25.4,1,1
25.44,1,1
25.53,1,1
25.57,1,1
25.6,1,1
25.67,1,1
25.8,1,1
25.93,1,1
25.95,1,1
25.97,1,1
26.07,1,1
26.1,1,1
26.17,1,1
26.22,1,1
26.42,1,1
26.61,1,1
26.62,1,1
26.71,1,1
26.75,1,1
26.77,1,1
26.78,1,1
26.84,1,1
26.93,1,1
27.09,1,1
27.15,1,1
27.18,1,1
27.2,1,1
27.24,1,1
27.25,1,1
27.29,1,1
27.5,1,1
27.68,1,1
27.79,1,1
27.81,1,1
27.82,2,1
27,1,1
28.16,1,1
28.22,1,1
28.29,1,1
28.3,1,1
28.54,1,1
28.57,2,1
28.6,1,1
28.67,1,1
28.72,1,1
28.8,1,1
28.87,1,1
28.98,1,1
29.08,1,1
29.11,1,1
29.2,1,1
29.31,1,1
29.4,1,1
29.41,1,1
29.67,1,1
29.97,1,1
30.29,1,1
30.31,1,1
30.33,1,1
30.46,1,1
30.47,1,1
30.54,1,1
30.72,1,1
30.91,1,1
30.93,1,1
31.05,1,1
31.51,1,1
31.62,1,1
31.71,1,1
32.02,1,1
32.21,1,1
32.29,1,1
32.37,1,1
32.58,1,1
32.87,2,1
32.97,1,1
33.12,1,1
33.38,1,1
33.47,1,1
33.69,1,1
33.75,2,1
33.89,1,1
34.48,1,1
34.55,1,1
34.69,1,1
34.91,1,1
34.95,1,1
35.09,1,1
35.34,1,1
35.66,1,1
35.74,1,1
35.95,1,1
36.11,1,1
36.16,1,1
36.2,1,1
36.32,1,1
36.48,1,1
36.5,1,1
36.62,1,1
37.23,1,1
37.27,1,1
37.32,1,1
38.23,1,1
38.3,1,1
5.51,1,1
5.61,1,1
5.68,1,1
5.69,1,1
6.14,1,1
6.53,1,1
6.75,1,1
6.77,1,1
6.84,1,1
7.03,1,1
7.04,1,1
7.09,2,1
7.28,1,1
7.38,1,1
7.75,1,1
7.82,1,1
8.17,1,1
8.19,1,1
8.22,1,1
8.39,1,1
8.46,1,1
8.49,1,1
8.75,2,1
8.89,1,1
8.9,1,1
8.95,1,1
8.96,1,1
9.02,1,1
9.03,1,1
9.17,1,1
9.24,1,1
9.31,1,1
9.34,1,1
9.36,1,1
9.38,2,1
9.39,1,1
9.42,1,1
9.44,1,1
9.45,1,1
9.68,1,1
9.8,1,1
9.83,1,1
9.86,1,1
9.95,1,1
9.98,1,1
%,49,1
in 1000,147,1
