Value,Disaggregation combinations using this value,Number of indicators
Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),1,1
Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,3,1
Anteil an allen Aussländerinnen und Ausländern,52,1
Anteil an allen Einwohnerinnen und Einwohnern,52,1
Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,1,1
Arbeitslosenquote Insgesamt (alle Erwerbspersonen),3,1
Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,1,1
Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),3,1
Ausländische Studierende (Frauen),6,1
Ausländische Studierende (Insgesamt),6,1
Ausländische Studierende (Männer),6,1
Bildungsausländerinnen und Bildungsausländer (Frauen),6,1
Bildungsausländerinnen und Bildungsausländer (Insgesamt),6,1
Bildungsausländerinnen und Bildungsausländer (Männer),6,1
Bildungsinländerinnen und Bildungsinländer (Frauen),6,1
Bildungsinländerinnen und Bildungsinländer (Insgesamt),6,1
Bildungsinländerinnen und Bildungsinländer (Männer),6,1
Erwerbslosenanteil,15,1
Erwerbsquote,15,1
Erwerbstätigenquote,15,1
Insgesamt 3 bis unter 6 Jahre,2,1
Insgesamt bis unter 3 Jahre,2,1
Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,2,1
Kinder mit Migrationshintergrund bis unter 3 Jahre,2,1
Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,2,1
Kinder ohne Migrationshintergrund bis unter 3 Jahre,2,1
