Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,6,1
Afrika insgesamt,6,1
Amerika insgesamt,6,1
Asien insgesamt,6,1
Ausländer insgesamt,6,1
Australien und Ozeanien,6,1
Bulgarien,6,1
China,6,1
Europa insgesamt,6,1
Griechenland,6,1
Indien,6,1
Irak,6,1
"Iran, Islamische Republik",6,1
Italien,6,1
Kosovo,6,1
Kroatien,6,1
Niederlande,6,1
Polen,6,1
Rumänien,6,1
Russische Föderation,6,1
Serbien (ohne Kosovo) ab 2008,6,1
Spanien,6,1
staatenlos,6,1
"Syrien, Arabische Republik",6,1
Türkei,6,1
Ukraine,6,1
"ungeklärt,oh.Angabe,unbekannt",6,1
Vietnam,6,1
übrige afrikanische Staaten,6,1
übrige amerikanische Staaten,6,1
übrige asiatische Staaten,6,1
übrige europäische Staaten,6,1
