Value,Disaggregation combinations using this value,Number of indicators
101.11995,1,1
104.65288,1,1
107.80403,1,1
109.21388,1,1
110.41714,1,1
111.18713,1,1
120.3555,1,1
120.45812,1,1
1215.77487,1,1
122.5922,1,1
123.5822,1,1
127.3368,1,1
128.52501,1,1
131.08146,1,1
134.75756,1,1
135.44643,1,1
1376.76561,1,1
139.61607,1,1
142.35362,1,1
145.38465,1,1
147.35886,1,1
148.27964,1,1
148.50411,1,1
149.91865,1,1
154.45002,1,1
1555.07412,1,1
158.67304,1,1
159.4685,1,1
167.55153,1,1
168.2608,1,1
17.24303,1,1
182.24471,1,1
1949.80386,1,1
205.86343,1,1
212.40115,1,1
22.81403,1,1
22.98583,1,1
222.00241,1,1
23.73949,1,1
230.36566,1,1
244.04398,1,1
244.84191,1,1
25.03221,1,1
25.11859,1,1
25.55404,1,1
25.78452,1,1
26.23949,1,1
26.8827,1,1
27.22827,1,1
27.83386,1,1
27.94275,1,1
28.50136,1,1
29.59058,1,1
30.07384,1,1
30.25837,1,1
30.49755,1,1
30.61693,1,1
30.73387,1,1
30.76566,1,1
325.80624,1,1
33.01158,1,1
33.12859,1,1
33.55037,1,1
33.57171,1,1
34.24154,1,1
34.39217,1,1
34.59922,1,1
34.61805,1,1
34.83887,1,1
35.56577,1,1
35.86365,1,1
36.29123,1,1
36.31281,1,1
36.51895,1,1
36.85867,1,1
37.8999,1,1
375.69542,1,1
395.22775,1,1
40.23817,1,1
40.72839,1,1
40.8411,1,1
41.07761,1,1
41.24492,1,1
41.70749,1,1
41.89066,1,1
42.70598,1,1
429.73432,1,1
43.58521,1,1
43.66345,1,1
44.13902,1,1
445.67547,1,1
458.34471,1,1
465.82401,1,1
47.60669,1,1
47.77837,1,1
479.79468,1,1
49.11408,1,1
49.5103,1,1
490.82403,1,1
50.02443,1,1
51.3437,1,1
521.65695,1,1
54.10312,1,1
54.28118,1,1
543.78541,1,1
55.00087,1,1
55.29236,1,1
56.25741,1,1
56.50987,1,1
60.39272,1,1
608.61859,1,1
6097.41845,1,1
624.1913,1,1
63.16262,1,1
64.04774,1,1
64.63064,1,1
64.6913,1,1
64.80713,1,1
65.4558,1,1
659.76318,1,1
67.52076,1,1
67.59133,1,1
68.08216,1,1
69.0118,1,1
70.45873,1,1
71.47672,1,1
712.33964,1,1
73.54798,1,1
73.64811,1,1
73.84001,1,1
735.98019,1,1
752.57431,1,1
758.83695,1,1
76.10183,1,1
77.73018,1,1
784.15095,1,1
79.01471,1,1
79.3735,1,1
81.55365,1,1
819.52832,1,1
83.47477,1,1
83.649,1,1
84.00421,1,1
85.47587,1,1
87.02307,1,1
88.87478,1,1
88.94713,1,1
89.28329,1,1
90.59088,1,1
91.8377,1,1
92.52516,1,1
98.64695,1,1
98.66657,1,1
Insgesamt,34,1
mit eigener Migrationserfahrung,34,1
ohne eigener Migrationserfahrung,34,1
