Value,Disaggregation combinations using this value,Number of indicators
Alle Haushaltsmitglieder haben einen Migrationshintergrund,84,1
dav. mit eigener Migrationserfahrung,2,1
dav.ohne eigene Migrationserfahrung,2,1
Ein Teil der Haushaltsmitglieder hat einen Migrationshintergrund,84,1
Insgesamt,119,5
Kein Haushaltsmitglied hat einen Migrationshintergrund,84,1
mit Migrationshintergrund und eigener Migrationserfahrung,9,1
mit Migrationshintergrund und ohne eigene Migrationserfahrung,9,1
mit Migrationshintergrund,127,9
mit und ohne Migrationshintergrund,48,3
ohne Migrationshintergrund,107,9
