Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,1,1
Afrika,1,1
Amerika,1,1
Asien,1,1
Australien und Ozeanien,1,1
Bulgarien,1,1
China,1,1
EU Staaten,1,1
Europa,1,1
Griechenland,1,1
Insgesamt,1,1
Irak ,1,1
Italien,1,1
Kroatien,1,1
Niederlande,1,1
Polen,1,1
Portugal,1,1
Rumänien,1,1
Russische Föderation,1,1
Serbien,1,1
Sonstige Ausprägungen,1,1
Spanien,1,1
Staatenlos,1,1
Syrien,1,1
Türkei,1,1
Ukraine,1,1
Ungarn,1,1
Ungeklärt und ohne Angabe,1,1
Vereinigtes Königreich,1,1
Vietnam,1,1
