Value,Disaggregation combinations using this value,Number of indicators
Allgemeine Hochschulreife ¹⁾,32,1
Ausländerinnen und Ausländer,1058,11
Deutsche,1041,10
Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,2,1
Erfolgreicher Besuch,2,1
Fachhochschulreife,29,1
Hauptschulabschluss,2,1
Insgesamt,504,6
nachrichtlich: Abbruch im laufenden Schuljahr,16,1
Ohne erfolgreichen Besuch/Abschluss,29,1
Realschulabschluss,23,1
Schulischer Teil der Fachhochschulreife,31,1
(Spät-)Aussiedlerinnen und (Spät-)Aussiedler,17,1
weitere Deutsche mit Migrationshintergrund,17,1
