Value,Disaggregation combinations using this value,Number of indicators
  Afghanistan                       ,6,2
Afrika insgesamt                    ,6,2
  Ägypten                           ,6,2
  Albanien                          ,6,2
  Algerien                          ,6,2
Amerika insgesamt                   ,6,2
  Angola                            ,6,2
  Argentinien                       ,6,2
  Armenien                          ,6,2
  Aserbaidschan                     ,6,2
Asien insgesamt                     ,6,2
  Äthiopien                         ,6,2
Ausländer insgesamt                 ,6,2
Australien und Ozeanien             ,6,2
  Bangladesch                       ,6,2
  Belgien                           ,6,2
  Benin                             ,6,2
  Bolivien                          ,6,2
  Bosnien und Herzegowina           ,6,2
  Brasilien                         ,6,2
Britische Überseegebiete            ,6,2
  Bulgarien                         ,6,2
  Burkina Faso                      ,6,2
  Chile                             ,6,2
  China                             ,6,2
  Cote d'Ivoire                     ,6,2
  Dänemark                          ,6,2
  Die Palästinänsischen Gebiete     ,6,2
  Dominikanische Republik           ,6,2
  ehem. Sowjetunion                 ,6,2
  ehem. Tschechoslowakei            ,6,2
  Eritrea                           ,6,2
  Estland                           ,6,2
Europa insgesamt                    ,6,2
  Finnland                          ,6,2
  Frankreich                        ,6,2
  Gambia                            ,6,2
  Georgien                          ,6,2
  Ghana                             ,6,2
  Griechenland                      ,6,2
  Indien                            ,6,2
  Indonesien                        ,6,2
  Irak                              ,6,2
  Iran Islamische Republik         ,6,2
  Irland                            ,6,2
  Island                            ,6,2
  Israel                            ,6,2
  Italien                           ,6,2
  Japan                             ,6,2
  Jordanien                         ,6,2
  Kamerun                           ,6,2
  Kanada                            ,6,2
  Kasachstan                        ,6,2
  Kenia                             ,6,2
  Kolumbien                         ,6,2
  Kongo Dem. Volksrepublik (ehem.Za,6,2
  Korea Republik                   ,6,2
  Kosovo                            ,6,2
  Kroatien                          ,6,2
  Kuba                              ,6,2
  Lettland                          ,6,2
  Libanon                           ,6,2
  Liberia                           ,6,2
  Litauen                           ,6,2
  Luxemburg                         ,6,2
  Malaysia                          ,6,2
  Malta                             ,6,2
  Marokko                           ,6,2
  Mazedonien                        ,6,2
  Mexiko                            ,6,2
  Moldau Republik                  ,6,2
  Monaco                            ,6,2
  Montenegro                        ,6,2
  Nepal                             ,6,2
  Niederlande                       ,6,2
  Nigeria                           ,6,2
  Norwegen                          ,6,2
  Österreich                        ,6,2
  Pakistan                          ,6,2
  Peru                              ,6,2
  Philippinen                       ,6,2
  Polen                             ,6,2
  Portugal                          ,6,2
  Rumänien                          ,6,2
  Russische Föderation              ,6,2
  Schweden                          ,6,2
  Schweiz                           ,6,2
  Senegal                           ,6,2
  Serbien (einschl. Kosovo)         ,6,2
  Serbien u.Montenegro Ehem.Jugosla,6,2
  Serbien                           ,6,2
  Sierra Leone                      ,6,2
  Slowakei                          ,6,2
  Slowenien                         ,6,2
  Somalia                           ,6,2
  Spanien                           ,6,2
  Sri Lanka                         ,6,2
staatenlos                          ,6,2
  Südafrika                         ,6,2
  Sudan (ab 2011)                   ,6,2
  Sudan (einschl. Südsudan) (bis 201,6,2
  Südsudan (ab 2011)                ,6,2
  Syrien Arabische Republik        ,6,2
  Taiwan                            ,6,2
  Thailand                          ,6,2
  Togo                              ,6,2
  Tschechische Republik             ,6,2
  Tunesien                          ,6,2
  Türkei                            ,6,2
  übrige afrikanische Staaten       ,6,2
  übrige amerikanische Staaten      ,6,2
  übrige asiatische Staaten         ,6,2
  übrige europäische Staaten        ,6,2
  Ukraine                           ,6,2
  Ungarn                            ,6,2
ungeklärtoh.Angabeunbekannt       ,6,2
  Venezuela                         ,6,2
  Vereinigte Staaten                ,6,2
  Vereinigtes Königreich GB u.Nordir,6,2
  Vietnam                           ,6,2
  Weißrußland                       ,6,2
  Zypern                            ,6,2
