Value,Disaggregation combinations using this value,Number of indicators
Allgemeine Hochschulreife2),6,1
Allgemeine Hochschulreife5),3,1
Entlassung aus dem Berufsvorbereitungsjahr,6,1
Entlassung aus dem Berufsvorbereitungsjahr5),6,1
Entlassungen aus dem Berufsvorbereitungsjahr4),6,1
Erfolgreicher Besuch3),6,1
erfolgreicher Besuch3),6,1
erfolgreicher Besuch4),6,1
erfolgreicher Besuch6),3,1
Fachhochschulreife,6,1
Hauptschulabschluss,6,1
Insgesamt,6,1
nachrichtlich: Abbruch im laufenden Schuljahr,6,1
ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,6,1
Ohne erfolgreichen Besuch/Abschluss,6,1
ohne erfolgreichen Besuch/Abschluss,6,1
Realschulabschluss,6,1
Realschulabschluss3),6,1
Schulischer Teil der Fachhochschulreife,6,1
