Value,Disaggregation combinations using this value,Number of indicators
%,153,1
"dav. Hannover, Landeshauptstadt",12,1
"dav. Hannover, Umland",12,1
in 1000,136,1
Mittelniedersachsen,12,1
Niedersachsen,12,1
Nordniedersachsen,12,1
Nordostniedersachsen,12,1
Oldenburger Raum,12,1
Ostfriesland-Nordseeküste,12,1
Ostniedersachsen,12,1
Region Hannover,12,1
Statistische Region Braunschweig,12,1
Statistische Region Hannover,12,1
Statistische Region Lüneburg,12,1
Statistische Region Weser-Ems,12,1
Südniedersachsen,12,1
Weser-Leine-Bergland,12,1
Westniedersachsen,12,1
