Value,Disaggregation combinations using this value,Number of indicators
-0.28089888,1,1
-0.53191489,1,1
-0.54995417,1,1
-0.5558987,1,1
-0.77410274,1,1
-0.88495575,1,1
-0.89285714,1,1
-0.96153846,1,1
-10.0,1,1
-10.0202918,1,1
-10.0795229,1,1
-10.0811475,1,1
-10.0840336,1,1
-10.0917431,1,1
-10.1297097,1,1
-10.1316543,1,1
-10.2564103,1,1
-10.3797468,1,1
-10.4313277,1,1
-10.4444444,1,1
-10.5145414,1,1
-10.5235963,1,1
-10.5263158,1,1
-10.5407883,1,1
-10.6324473,1,1
-10.710089,1,1
-10.7714064,1,1
-10.8932462,1,1
-10.9375,1,1
-10.989011,1,1
-10.9919571,1,1
-11.0749186,1,1
-11.1059432,1,1
-11.1111111,1,1
-11.1200321,1,1
-1.11642743,1,1
-11.1733582,1,1
-11.1928534,1,1
-11.2076995,1,1
-11.2355737,1,1
-11.3417155,1,1
-11.3573407,1,1
-11.451564,1,1
-11.4785992,1,1
-1.14942529,1,1
-11.4990767,1,1
-11.5181621,1,1
-11.5705765,1,1
-11.6113008,1,1
-11.7791047,1,1
-11.8621604,1,1
-11.8683901,1,1
-11.9162261,1,1
-12.0,1,1
-12.0246085,1,1
-12.0603015,1,1
-12.1598347,1,1
-12.1687599,1,1
-12.1957965,1,1
-12.202381,1,1
-12.2170543,1,1
-12.2438255,1,1
-12.2502172,1,1
-12.295082,1,1
-12.3259494,1,1
-12.3324397,1,1
-12.3514758,1,1
-12.3630673,1,1
-12.371134,1,1
-12.3719993,1,1
-12.4849458,1,1
-12.4917164,1,1
-12.5,2,1
-12.5391427,1,1
-12.5628141,1,1
-12.5838926,1,1
-12.7109886,1,1
-12.716763,1,1
-12.7411697,1,1
-12.7423823,1,1
-12.8440367,1,1
-12.8787879,1,1
-12.9162776,1,1
-12.9175947,1,1
-12.9233726,1,1
-12.9554656,1,1
-12.962963,2,1
-12.9887343,1,1
-12.9908739,1,1
-13.0096483,1,1
-13.0273747,1,1
-13.0320547,1,1
-13.1190269,1,1
-13.1674026,1,1
-13.2780157,1,1
-13.3333333,1,1
-13.4078212,1,1
-13.4314287,1,1
-13.4787472,1,1
-13.5051226,1,1
-13.523901,1,1
-13.528481,1,1
-13.5361689,1,1
-13.5416667,1,1
-13.6140433,1,1
-13.6807818,1,1
-13.6981702,1,1
-13.7037037,1,1
-13.7150911,1,1
-13.7151865,1,1
-13.733635,1,1
-13.7781404,1,1
-13.7896825,1,1
-13.8202838,1,1
-13.8702461,1,1
-13.8828269,1,1
-13.9522258,1,1
-13.9534884,1,1
-13.9606804,1,1
-13.9667618,1,1
-13.9708165,1,1
-14.0159046,1,1
-14.1060971,1,1
-14.1274238,1,1
-14.1346315,1,1
-14.1445337,1,1
-14.1773476,1,1
-14.188124,1,1
-14.2007743,1,1
-14.2566191,1,1
-14.2857143,2,1
-14.3025013,1,1
-14.306879,1,1
-14.4102085,1,1
-14.4295302,1,1
-14.4365104,1,1
-14.4518719,1,1
-14.4851658,1,1
-14.5,1,1
-14.5347028,1,1
-14.556962,1,1
-14.5616642,1,1
-14.6036916,1,1
-14.6382407,1,1
-14.6863469,1,1
-14.7214441,1,1
-14.8062016,1,1
-14.8442677,1,1
-14.8811574,1,1
-14.9501661,1,1
-14.9797571,1,1
-15.0,1,1
-15.009265,1,1
-15.0563287,1,1
-15.0579151,1,1
-15.0762156,1,1
-15.0884818,1,1
-15.0904393,1,1
-15.0943396,1,1
-15.2950622,1,1
-15.3142857,1,1
-15.3434649,1,1
-15.3439153,1,1
-15.3805912,1,1
-15.3846154,2,1
-15.3989444,1,1
-15.5063291,1,1
-15.530303,1,1
-15.5480984,1,1
-15.6195462,1,1
-15.625,1,1
-15.6269302,1,1
-15.7142857,1,1
-15.7166124,1,1
-15.7303371,1,1
-15.7338458,1,1
-15.7499448,1,1
-15.7729532,1,1
-15.7811009,1,1
-15.7940663,1,1
-15.8107688,1,1
-15.8133289,1,1
-15.8739963,1,1
-15.8914729,1,1
-15.9032749,1,1
-15.9069917,1,1
-15.9090909,1,1
-15.9533074,1,1
-15.9873097,1,1
-15.9975293,1,1
-16.0146239,1,1
-16.1073826,1,1
-16.1235574,1,1
-16.2011173,1,1
-16.2445954,1,1
-16.2690524,1,1
-16.2800972,1,1
-16.286332,1,1
-16.3260765,1,1
-16.3339647,1,1
-16.3765823,1,1
-16.4008729,1,1
-16.4174356,1,1
-16.4855635,1,1
-16.5053623,1,1
-16.5289256,1,1
-16.6037736,1,1
-16.6666667,2,1
-16.693038,1,1
-16.724281,1,1
-16.8023887,1,1
-16.8067227,1,1
-16.8549088,1,1
-16.8654738,1,1
-16.9381107,1,1
-16.9471624,1,1
-16.9811321,1,1
-17.0,1,1
-17.0286707,1,1
-17.0738328,1,1
-17.0800187,1,1
-17.1064887,1,1
-17.1348315,1,1
-17.2259508,1,1
-17.3184107,1,1
-17.3553719,1,1
-17.3579109,1,1
-17.3942069,1,1
-1.73957975,1,1
-17.4089394,1,1
-17.4242424,1,1
-17.4311927,1,1
-17.4508505,1,1
-17.5,1,1
-17.5225646,1,1
-17.5876224,1,1
-17.5879397,1,1
-17.5907725,1,1
-17.6074946,1,1
-17.690105,1,1
-1.7699115,1,1
-17.7358491,1,1
-17.752443,1,1
-17.768595,1,1
-17.8338002,1,1
-17.8717271,1,1
-17.881137,1,1
-17.8917081,1,1
-17.8948637,1,1
-17.9530201,1,1
-17.9589132,1,1
-17.9755672,1,1
-18.0378764,1,1
-18.0379747,1,1
-18.0620155,1,1
-18.128655,1,1
-18.1912145,1,1
-18.1931077,1,1
-18.2579126,1,1
-18.258354,1,1
-18.2953312,1,1
-18.3791606,1,1
-18.3884298,1,1
-18.4321725,1,1
-18.487395,1,1
-18.5185185,1,1
-18.5239852,1,1
-18.5271318,1,1
-18.5343823,1,1
-18.5797665,1,1
-18.6210641,1,1
-18.6228482,1,1
-18.7024973,1,1
-18.7080103,1,1
-18.75,1,1
-18.7609075,1,1
-18.766756,1,1
-18.7712152,1,1
-18.796128,1,1
-18.8023083,1,1
-18.8538206,1,1
-18.8571429,1,1
-18.8636364,1,1
-18.9858662,1,1
-18.9903217,1,1
-18.9944134,1,1
-18.9985962,1,1
-19.0645973,1,1
-19.074287,1,1
-19.0909091,1,1
-19.0954774,1,1
-19.1785472,1,1
-19.1876198,1,1
-19.1959799,1,1
-19.2044295,1,1
-19.2124915,1,1
-19.2343604,1,1
-19.2522389,1,1
-19.3137255,1,1
-19.3565263,1,1
-19.3822132,1,1
-19.3829114,1,1
-19.3874329,1,1
-19.4266217,1,1
-19.4811434,1,1
-19.5290859,1,1
-19.5687017,1,1
-19.5710456,1,1
-19.5764463,1,1
-19.6306049,1,1
-19.6349558,1,1
-19.6350999,1,1
-19.6446173,1,1
-19.6627426,1,1
-19.6969697,1,1
-19.7012138,1,1
-19.7207679,1,1
-19.7216565,1,1
-19.7815327,1,1
-19.8412698,1,1
-19.8863636,1,1
-19.9458517,1,1
-20.0,1,1
-20.0030466,1,1
-20.0158228,1,1
-20.0762389,1,1
-20.0956938,1,1
-20.1388889,1,1
-20.1570681,1,1
-20.180679,1,1
-20.1834862,1,1
-20.2243917,1,1
-20.3307393,1,1
-20.3505101,1,1
-20.4113924,1,1
-20.4188482,1,1
-20.4869263,1,1
-20.4900312,1,1
-20.5,1,1
-20.5012385,1,1
-20.5653021,1,1
-20.5870841,1,1
-20.6120848,1,1
-20.6185567,1,1
-20.6487342,1,1
-20.7128099,1,1
-20.7401696,1,1
-20.7407407,1,1
-20.7428721,1,1
-20.754717,1,1
-20.8095127,1,1
-20.8118081,1,1
-20.8551483,1,1
-20.9097081,1,1
-20.9268704,1,1
-20.9639682,1,1
-21.0181452,1,1
-21.069374,1,1
-21.0799226,1,1
-21.0905597,1,1
-21.0944957,1,1
-21.1055276,1,1
-21.1309524,1,1
-21.1352341,1,1
-21.1363636,1,1
-21.1428571,1,1
-21.1594203,1,1
-21.1714993,1,1
-21.1981567,1,1
-21.2443538,1,1
-21.2491514,1,1
-21.3135459,1,1
-21.3483146,1,1
-21.3675214,1,1
-21.3968088,1,1
-21.4285714,2,1
-21.4712408,1,1
-21.5116279,1,1
-21.5275961,1,1
-21.5885947,1,1
-21.6606748,1,1
-21.7527387,1,1
-21.8111939,1,1
-21.835443,1,1
-21.8604651,1,1
-21.8954248,1,1
-21.8959732,1,1
-21.9000437,1,1
-21.9199581,1,1
-21.9312995,1,1
-21.969697,1,1
-22.0100503,1,1
-22.0272904,1,1
-22.0930233,1,1
-22.1105528,1,1
-22.1230159,1,1
-2.22222222,1,1
-22.2222222,2,1
-22.2520107,1,1
-22.2865412,1,1
-22.2916166,1,1
-22.2923903,1,1
-22.3385689,1,1
-22.3735409,1,1
-22.3790323,1,1
-22.4167704,1,1
-22.4683544,1,1
-22.4880383,1,1
-22.5,1,1
-22.5125628,1,1
-22.5352113,1,1
-22.6130653,1,1
-22.6415094,2,1
-22.6519337,1,1
-22.6853325,1,1
-22.718254,1,1
-22.7574751,1,1
-22.7766463,1,1
-22.7789256,1,1
-22.8531856,1,1
-22.8571429,1,1
-22.8830645,1,1
-22.8921451,1,1
-22.8923271,1,1
-22.8989977,1,1
-22.946368,1,1
-22.9520295,1,1
-2.2993455,1,1
-23.0019493,1,1
-23.0101302,1,1
-23.0392157,1,1
-23.0622618,1,1
-23.1160896,1,1
-23.151751,1,1
-23.2101076,1,1
-23.2111693,1,1
-23.2283465,1,1
-23.255814,1,1
-23.2923119,1,1
-23.294347,1,1
-23.3386076,1,1
-23.3714286,1,1
-23.3828298,1,1
-23.4368098,1,1
-23.5602094,1,1
-23.5924933,1,1
-23.6474695,1,1
-23.7037037,1,1
-23.7949762,1,1
-23.8562092,1,1
-23.8777948,1,1
-23.878437,1,1
-23.9027471,1,1
-23.9187181,1,1
-23.9415323,1,1
-24.0,1,1
-24.0702479,1,1
-24.0740741,2,1
-24.0981544,1,1
-24.1245136,1,1
-24.1610738,1,1
-24.1694352,1,1
-24.21915,1,1
-24.2761693,1,1
-24.2857143,1,1
-24.2868157,1,1
-24.2948009,1,1
-24.3478261,1,1
-24.3767313,1,1
-24.380547,1,1
-2.43902439,1,1
-24.4135534,1,1
-24.501845,1,1
-24.5200698,1,1
-24.5612626,1,1
-24.5714286,1,1
-24.6037736,1,1
-24.6376812,1,1
-24.833887,1,1
-24.8500158,1,1
-24.8617257,1,1
-24.8991935,1,1
-24.912504,1,1
-24.9329759,1,1
-24.9706458,1,1
-24.9871992,1,1
-25.0,1,1
-25.0317662,1,1
-25.0632505,1,1
-25.0922509,1,1
-25.1033058,1,1
-25.1578768,1,1
-25.1968504,1,1
-25.2432156,1,1
-25.2491694,1,1
-25.3236501,1,1
-25.389755,1,1
-25.4009956,1,1
-25.4285714,1,1
-25.5,1,1
-25.5047013,1,1
-25.5555556,1,1
-25.5617978,1,1
-25.5738385,1,1
-25.5836576,1,1
-25.5952381,1,1
-25.6298871,1,1
-25.6394064,1,1
-25.6535948,1,1
-25.6651017,1,1
-25.6857154,1,1
-25.716768,1,1
-25.7838091,1,1
-25.7874016,1,1
-25.826272,1,1
-25.8302583,1,1
-25.8891646,1,1
-25.9540929,1,1
-25.9847522,1,1
-26.0,2,1
-26.0797342,1,1
-26.0869565,1,1
-26.0912698,1,1
-26.0923673,1,1
-26.1363636,1,1
-26.1811024,1,1
-26.1819423,1,1
-26.199262,1,1
-26.2709189,1,1
-26.2734584,1,1
-26.3003356,1,1
-2.63157895,1,1
-26.4456438,1,1
-26.4752791,1,1
-26.5,1,1
-26.5325222,1,1
-26.5564202,1,1
-26.5625,1,1
-26.5873016,1,1
-26.6200762,1,1
-26.7857143,1,1
-26.7924528,1,1
-26.8,1,1
-26.8106734,1,1
-26.9005848,1,1
-26.9805918,1,1
-27.0199826,1,1
-27.1396755,1,1
-27.1428571,1,1
-27.1624266,1,1
-27.1694215,1,1
-27.2069465,1,1
-27.2181876,1,1
-27.2344408,1,1
-27.247191,1,1
-27.5,1,1
-27.5291829,1,1
-27.5362319,1,1
-27.5377517,1,1
-27.5730623,1,1
-27.5793651,1,1
-27.613941,1,1
-27.6410999,1,1
-27.6859504,1,1
-27.7023865,1,1
-27.7408638,1,1
-27.7563608,1,1
-27.8846154,1,1
-27.8907243,1,1
-27.9105628,1,1
-27.9778393,1,1
-28.0,1,1
-28.0397022,1,1
-28.0941775,1,1
-28.3006536,1,1
-2.8340081,1,1
-28.3707865,1,1
-28.4043051,1,1
-28.4812125,1,1
-28.4815436,1,1
-28.5260483,1,1
-28.531856,1,1
-28.5714286,1,1
-28.6,1,1
-28.6516854,1,1
-28.6703601,1,1
-28.6792453,1,1
-28.6794355,1,1
-28.6912752,1,1
-28.7576021,1,1
-28.7581699,1,1
-28.7822878,1,1
-28.7969687,1,1
-28.8437103,1,1
-28.8499025,1,1
-28.9128759,1,1
-28.9156627,1,1
-28.9325843,1,1
-28.9548469,1,1
-29.0410959,1,1
-29.0598291,1,1
-29.0670779,1,1
-29.0882779,1,1
-29.1338583,1,1
-29.1428571,1,1
-29.1512915,1,1
-29.192007,1,1
-29.4525829,1,1
-29.4790343,1,1
-29.501385,1,1
-29.5081967,1,1
-29.5202952,1,1
-29.5741694,1,1
-29.5751634,1,1
-29.5849057,1,1
-29.6264118,1,1
-29.6296296,1,1
-2.96420582,1,1
-29.7142857,1,1
-29.7883065,1,1
-29.8118669,1,1
-29.8245614,1,1
-29.8380879,1,1
-30.0,1,1
-30.0194932,1,1
-30.0554017,1,1
-30.1470588,1,1
-30.3149606,1,1
-30.3599374,1,1
-30.4347826,1,1
-30.5100608,1,1
-30.5354559,1,1
-30.5660377,1,1
-30.5714286,1,1
-30.6090979,1,1
-30.6273063,1,1
-30.6451613,1,1
-30.6955645,1,1
-30.7189542,1,1
-30.7479224,1,1
-30.7885906,1,1
-30.8934564,1,1
-30.9296264,1,1
-30.9433962,1,1
-31.092437,1,1
-31.1154599,1,1
-31.1797753,1,1
-3.125,2,1
-31.2590449,1,1
-31.2599681,1,1
-31.3111546,1,1
-31.3207547,1,1
-31.3640313,1,1
-31.4194577,1,1
-31.6981132,1,1
-31.6993464,1,1
-31.7073171,1,1
-31.7531021,1,1
-31.7738791,1,1
-31.7984361,1,1
-31.8627451,1,1
-31.9556452,1,1
-32.2076613,1,1
-32.2896282,1,1
-3.23920266,1,1
-32.4528302,1,1
-32.4853229,1,1
-32.6158166,1,1
-32.6797386,1,1
-32.7062229,1,1
-32.748538,1,1
-32.7956989,1,1
-32.8497894,1,1
-32.922128,1,1
-33.0065359,1,1
-33.2358674,1,1
-33.3177351,1,1
-33.3333333,1,1
-3.33539222,1,1
-33.4637965,1,1
-33.4645669,1,1
-33.5180055,1,1
-33.7197581,1,1
-33.7231969,1,1
-33.8118022,1,1
-34.0508806,1,1
-34.078643,1,1
-3.40909091,1,1
-34.2237903,1,1
-34.4422701,1,1
-34.4927536,1,1
-34.5616264,1,1
-34.7278226,1,1
-34.741784,1,1
-34.7826087,1,1
-34.8336595,1,1
-34.8769899,1,1
-34.9789916,1,1
-35.0293542,1,1
-35.483871,1,1
-35.5146125,1,1
-35.6005789,1,1
-3.56556189,1,1
-35.8121331,1,1
-35.8322745,1,1
-35.8372457,1,1
-3.58902182,1,1
-36.0215054,1,1
-36.2041467,1,1
-36.3636364,1,1
-36.5853659,1,1
-3.66972477,2,1
-37.1626831,1,1
-37.394958,1,1
-37.4021909,1,1
-37.6811594,1,1
-37.7990431,1,1
-38.3788255,1,1
-3.84615385,1,1
-38.6541471,1,1
-38.6554622,1,1
-38.8405797,1,1
-39.0243902,1,1
-3.91061453,1,1
-39.3939394,1,1
-39.4127378,1,1
-40.1260504,1,1
-40.2439024,1,1
-40.3755869,1,1
-4.048583,1,1
-40.5797101,1,1
-4.06504065,1,1
-40.6512605,1,1
-40.8450704,1,1
-41.1764706,1,1
-41.27378,1,1
-4.16666667,1,1
-42.0289855,1,1
-42.0731707,1,1
-4.25531915,1,1
-42.7212572,1,1
-42.7521008,1,1
-43.2773109,1,1
-43.2926829,1,1
-43.3416046,1,1
-4.3345232,1,1
-4.34782609,2,1
-43.5483871,1,1
-43.7551696,1,1
-4.3956044,1,1
-44.375517,1,1
-46.2365591,1,1
-46.4433416,1,1
-4.64461647,1,1
-48.1707317,1,1
-4.8582996,1,1
-4.92957746,1,1
-5.01205649,1,1
-5.05050505,1,1
-5.19480519,1,1
-5.30973451,1,1
-5.40540541,1,1
-54.2682927,1,1
-5.59120073,1,1
-5.66037736,1,1
-5.66801619,1,1
-5.76923077,1,1
-5.82191781,1,1
-6.25,1,1
-6.50406504,1,1
-6.50779102,1,1
-6.53594771,1,1
-6.55737705,1,1
-6.78225395,1,1
-6.81818182,1,1
-6.98623151,1,1
-7.04415886,1,1
-7.14285714,1,1
-7.18954248,1,1
-7.22997416,1,1
-7.24637681,1,1
-7.29166667,1,1
-7.29990909,1,1
-7.30337079,1,1
-7.31707317,1,1
-7.35021618,1,1
-7.38119312,1,1
-7.39202658,1,1
-7.40740741,2,1
-7.43066963,1,1
-7.63807286,1,1
-7.67223886,1,1
-7.69230769,2,1
-7.75114737,1,1
-7.76886656,1,1
-7.79220779,1,1
-7.80730897,1,1
-7.88267644,1,1
-7.95454545,1,1
-7.98875953,1,1
-8.06841241,1,1
-8.07392996,1,1
-8.14393939,1,1
-8.19672131,1,1
-8.24931256,1,1
-8.25688073,1,1
-8.33598473,1,1
-8.41442473,1,1
-8.53658537,1,1
-8.56031128,1,1
-8.56542302,1,1
-8.5994832,1,1
-8.65384615,1,1
-8.69565217,1,1
-8.70786517,1,1
-8.7200408,1,1
-8.75818119,1,1
-8.77103519,1,1
-8.79926673,1,1
-8.80278288,1,1
-8.83177119,1,1
-8.84718499,1,1
-8.88008503,1,1
-8.88888889,1,1
-8.90133831,1,1
-8.90688259,1,1
-8.93854749,1,1
-9.04669261,1,1
-9.09090909,1,1
-9.16996811,1,1
-9.2299847,1,1
-9.38337802,1,1
-9.48495665,1,1
-9.56224775,1,1
-9.6860836,1,1
-9.71585701,1,1
-9.72222222,1,1
-9.87238628,1,1
-9.89010989,1,1
-9.89917507,1,1
-9.91957105,1,1
-9.9908341,1,1
-9.99490056,1,1
0.0,260,1
0.16057808,1,1
0.3033367,1,1
0.4048583,1,1
0.42016807,1,1
0.4784689,1,1
0.55865922,1,1
0.6097561,1,1
0.83632019,1,1
0.91743119,1,1
0.96153846,1,1
1.0,1,1
10.0,1,1
100.0,13,1
1000.0,11,1
1000.40984,1,1
1001.0,1,1
1001.0101,1,1
1001.41928,1,1
100165.0,1,1
1002.15054,1,1
100220.0,1,1
1002.40964,1,1
100310.0,1,1
100.407141,1,1
1004.57516,1,1
1004.65116,1,1
1005.0,3,1
100.503356,1,1
1007.0,1,1
10076.4706,1,1
100.764818,1,1
1008.0,1,1
1008.69565,1,1
100.892857,1,1
1008.95522,1,1
10095.0,1,1
100.955414,1,1
1009.89011,1,1
101.0,3,1
1010.0,5,1
1010.44362,1,1
1012.0,1,1
10120.0,1,1
101200.0,1,1
101.342282,1,1
10136.0,1,1
1015.0,4,1
1015.38462,1,1
101635.0,1,1
101.660988,1,1
101.677852,1,1
101.680672,1,1
101.709402,1,1
101.724138,1,1
1017.3913,1,1
10175.0,1,1
1017.64706,1,1
10182.6087,1,1
1018.35749,1,1
102.0,4,1
1020.0,5,1
10200.0,1,1
1021.0,1,1
102.12766,1,1
1022.0,1,1
10.2272727,1,1
1023.0,2,1
1023.18841,1,1
102.325581,1,1
1023.71134,1,1
102.380952,1,1
1024.0,1,1
102.5,1,1
1025.0,5,1
10.2564103,1,1
1026.0,1,1
10275.0,1,1
102760.0,1,1
1028.0,3,1
1028.4153,1,1
1028.86598,1,1
10295.0,1,1
1029.55466,1,1
103.0,5,1
1030.0,8,1
1030.20833,1,1
1031.0,1,1
103.125,2,1
103.159226,1,1
1031.86813,1,1
103.252033,1,1
1032.6087,1,1
1033.0,1,1
1033.92857,1,1
10345.0,1,1
103.488372,1,1
10349.0,1,1
1035.0,2,1
10.3520757,1,1
1036.62791,1,1
1037.68116,1,1
1038.88889,1,1
10390.0,1,1
103900.0,1,1
10395.0,1,1
103.968254,1,1
104.0,4,1
1040.0,5,1
1040.625,1,1
10410.8696,1,1
104.132231,1,1
10.4166667,1,1
1041.70338,1,1
104.294479,1,1
1043.0,1,1
1043.44262,1,1
104.347826,1,1
104.395604,1,1
1044.0,2,1
1044.23077,1,1
1044.65409,1,1
1045.0,2,1
1046.15385,1,1
104.651163,1,1
104.697987,1,1
1048.02933,1,1
10485.0,1,1
10497.8261,1,1
105.0,9,1
1050.0,7,1
105.042017,1,1
1050.68493,1,1
105.128205,2,1
1051.51515,1,1
1052.0,1,1
1055.0,3,1
105.664454,1,1
10571.0526,1,1
1057.17822,1,1
1057.40741,1,1
105.882353,1,1
105900.0,1,1
10595.0,1,1
106.0,4,1
1060.0,8,1
1060.86957,1,1
1060.9589,1,1
10610.0,1,1
1061.01695,1,1
1061.29032,1,1
10.619469,1,1
1063.36634,1,1
1.06382979,1,1
106400.0,1,1
1064.94845,1,1
1065.0,4,1
106.500956,1,1
1066.66667,1,1
106.818182,1,1
1068.31683,1,1
10690.0,1,1
106900.0,1,1
107.0,5,1
1070.0,1,1
10710.0,1,1
107.142857,1,1
10.7142857,1,1
1073.0,1,1
107.456979,1,1
1075.0,7,1
10765.0,1,1
107.692308,1,1
1077.0,1,1
10770.0,1,1
1077.32558,1,1
10775.0,2,1
10790.0,1,1
107900.0,1,1
1079.64481,1,1
107.97546,1,1
1080.0,4,1
1081.0,1,1
108.108108,1,1
1081.81818,1,1
1082.0,1,1
108.239095,1,1
1082.6087,1,1
108.262351,1,1
108.264672,1,1
1082.7957,1,1
108.295964,1,1
1083.13953,1,1
108.333333,1,1
1084.0,1,1
10.8433735,1,1
1084.8816,1,1
1085.0,7,1
10850.0,1,1
1086.0,1,1
108.626761,1,1
10865.0,1,1
10868.0,1,1
1087.5,1,1
1088.52459,1,1
10895.0,1,1
108.982036,1,1
109.0,2,1
1090.0,7,1
109.016393,1,1
1090.82126,1,1
1091.0,1,1
1091.86047,1,1
1091.91919,1,1
10925.0,1,1
109.272468,1,1
1093.49315,1,1
1095.0,3,1
10950.0,1,1
109.505703,1,1
109.507042,1,1
109.677419,1,1
1097.0,1,1
1097.01493,1,1
109.756098,1,1
1097.8022,1,1
1099.0,1,1
1099.34641,1,1
10.9995986,1,1
11.0,1,1
110.0,10,1
1100.0,9,1
1101.0,1,1
1102.98507,1,1
11030.0,1,1
110.325048,1,1
110.387324,1,1
1104.0,1,1
11040.0,1,1
1104.41989,1,1
1104.71349,1,1
1105.0,3,1
110.57047,1,1
1106.18557,1,1
1106.39535,1,1
1106.66667,1,1
1107.0,1,1
110.821643,1,1
1109.0,1,1
11095.0,1,1
1109.94475,1,1
111.0,5,1
1110.0,5,1
11106.5217,1,1
111.075949,1,1
11.1111111,2,1
1111.86441,1,1
1112.0,1,1
1113.11475,1,1
1114.28571,1,1
1114.87603,1,1
1115.0,2,1
1115.05376,1,1
111.538462,1,1
111.565585,1,1
111598.0,1,1
11160.8696,1,1
111.656215,1,1
1117.3913,1,1
1117.92153,1,1
11195.0,1,1
111.95097,1,1
1119.80676,1,1
112.0,3,1
1120.0,6,1
1120.33898,1,1
112.121212,1,1
1121.24327,1,1
1121.73913,1,1
112.184874,1,1
1122.0,2,1
112.414579,1,1
1125.0,3,1
11260.0,1,1
1126.92308,1,1
112.765957,1,1
1129.85075,1,1
113.0,2,1
1130.0,2,1
113.028169,1,1
1131.1828,1,1
113.150177,1,1
1131.95876,1,1
11331.0,1,1
113.401846,1,1
11345.0,1,1
11347.3684,1,1
1134.80663,1,1
1135.0,4,1
1135.29412,1,1
113.559322,1,1
1137.1134,1,1
1137.28814,2,1
113.807531,1,1
1138.46154,1,1
1139.0,1,1
1139.43662,1,1
1139.58333,1,1
113.996317,1,1
114.0,2,1
1140.0,4,1
11410.0,1,1
114.128035,1,1
114.14914,1,1
11415.0,1,1
1141.93548,1,1
1142.0,1,1
114.285714,2,1
1142.91498,1,1
1143.0,1,1
1143.24324,1,1
1143.58974,1,1
114.358974,1,1
1144.37628,1,1
1145.0,3,1
11450.0,1,1
1145.53571,1,1
1145.96922,1,1
1146.0,1,1
1147.0,1,1
1147.09302,1,1
11475.0,1,1
11476.0,1,1
1147.76119,1,1
1147.82609,1,1
11485.0,1,1
114.970187,1,1
115.0,9,1
1150.0,7,1
115.033591,1,1
1151.0,1,1
1152.0,1,1
115.261538,1,1
11.5411682,1,1
1155.0,4,1
115.502555,1,1
1156.0,1,1
1156.41026,1,1
115.652174,1,1
1157.73196,1,1
115.853659,1,1
1158.72093,1,1
116.0,1,1
1160.0,2,1
11600.0,1,1
11612.0,1,1
1162.0,1,1
116.216216,1,1
11624.0,1,1
1.1627907,1,1
1163.0,1,1
1163.73626,1,1
1164.15094,1,1
1165.0,6,1
11669.7368,1,1
1169.23077,3,1
117.0,4,1
1170.0,2,1
117.08597,1,1
117.213115,1,1
1172.39354,1,1
117.391304,1,1
1174.0,1,1
117.44186,1,1
1175.0,6,1
117.647059,1,1
1176.92308,1,1
117.948718,1,1
118.0,4,1
1180.0,6,1
1181.42077,1,1
118.181818,1,1
1184.0,1,1
1184.19593,1,1
1184.31373,1,1
1185.0,4,1
1185.12397,1,1
118.552246,1,1
1185.71429,1,1
1186.0,1,1
1186.32479,1,1
118.75,3,1
1188.28829,1,1
1188.65979,1,1
11890.0,1,1
119.0,4,1
1190.0,5,1
11900.0,1,1
119.01528,1,1
119.056769,1,1
119230.0,1,1
119.230769,1,1
11.9266055,1,1
119.325153,1,1
119.337017,1,1
11946.0526,1,1
1194.64286,1,1
1195.0,3,1
1195.45455,1,1
1196.05263,1,1
11.9640894,1,1
1196.86576,1,1
1197.10145,1,1
119.767442,1,1
119.798658,1,1
1198.34254,1,1
119.94382,1,1
12.0,1,1
120.0,13,1
1200.0,3,1
1201.35659,1,1
12015.0,1,1
1201.5873,1,1
1201.65289,1,1
1202.0,2,1
1203.0,2,1
