Value,Disaggregation combinations using this value,Number of indicators
Afrika insgesamt,1,1
Amerika insgesamt,1,1
Asien insgesamt,1,1
Australien und Ozeanien,1,1
Bulgarien,1,1
China,1,1
EU Staaten,1,1
Europa insgesamt,1,1
Griechenland,1,1
Insgesamt,1,1
Italien,1,1
"Moldau, Republik",1,1
Niederlande,1,1
ohne Angabe,1,1
Polen,1,1
Rumänien,1,1
Russische Föderation,1,1
Schweiz,1,1
Serbien,1,1
Sonstige Ziele,1,1
Spanien,1,1
Türkei,1,1
Ukraine,1,1
unbekanntes Ausland,1,1
Ungarn,1,1
Vereinigte Staaten,1,1
"Vereinigtes Königreich, Nordirland",1,1
Österreich,1,1
