Value,Disaggregation combinations using this value,Number of indicators
Baugewerbe,5,1
Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,5,1
"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",5,1
"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",5,1
Gastgewerbe,5,1
"Handel, Instandhaltung und Reparatur von Kfz",5,1
Insgesamt (inkl. sonstiger Abschnitte),5,1
"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",5,1
"Land- und Forstwirtschaft, Fischerei",5,1
Verkehr und Lagerei; Information und Kommunikation,5,1
"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",5,1
